"Activation Key Required","要求激活密钥"
"Aspect ratio:","长宽比："
"Selection:","选区："
"Thumbnail Settings","缩略图设置"
"The thumbnail image can be cropped differently. For example it can be square or contain only a portion of the original image to showcase it better. Here you can select whether to apply changes to all image sizes or make the thumbnail different.","可以以不同方式裁切缩略图。比如，为了更佳的显示效果，可以裁切出图片的一小部分。在此，您可选择将变更应用到所有图像尺寸，或仅对缩略图作修改。"
"Current thumbnail","当前缩略图"
"Apply changes to:","将更改应用于："
"All image sizes","所有图像大小"
"All sizes except thumbnail","除缩略图外所有尺寸"
"There are unsaved changes that will be lost. 'OK' to continue, 'Cancel' to return to the Image Editor.","未保存的更改将丢失。按“确定”以继续，按“取消”可返回“图片编辑器”。"
"$image needs to be an WP_Image_Editor object","$image 得是一个 WP_Image_Editor 对象"
"Use WP_Image_Editor::rotate","使用 WP_Image_Editor::rotate"
"Use WP_Image_Editor::flip","使用 WP_Image_Editor::flip"
"Cannot load image metadata.","无法载入图像属性。"
"Cannot save image metadata.","无法保存图像属性。"
"Image metadata is inconsistent.","图像属性不正确。"
"Image restored successfully.","图像还原成功。"
"Unable to create new image.","无法创建新图像。"
"Error while saving the scaled image. Please reload the page and try again.","保存缩放后的图片图像时出错，请刷新后再试。"
"Nothing to save, the image has not changed.","没有可供保存的内容，因此没有修改图像。"
"Unable to save the image.","无法保存图像。"
"Image saved","图像已保存"
"Install the Blogger importer to import posts, comments, and users from a Blogger blog.","安装 Blogger 导入工具，以从 Blogger 博客导入文章、评论和用户。"
"Categories and Tags Converter","分类目录–标签转换器"
"Install the category/tag converter to convert existing categories to tags or tags to categories, selectively.","安装分类目录—标签转换器，以选择性地将已有的分类目录转换为标签，或将标签转换为分类目录。"
"Install the LiveJournal importer to import posts from LiveJournal using their API.","安装 LiveJournal 导入工具，以从 LiveJournal 的 API 导入文章。"
"Movable Type and TypePad","Movable Type 和 TypePad"
"Install the Movable Type importer to import posts and comments from a Movable Type or TypePad blog.","安装 Movable Type 导入工具，以从 Movable Type 或 Typepad 博客导入文章和评论。"
"Blogroll","链接表"
"Install the blogroll importer to import links in OPML format.","安装链接表导入工具，以从 OPML 文件导入链接。"
"Install the RSS importer to import posts from an RSS feed.","安装 RSS 导入工具，以从 RSS feed 导入文章。"
"Install the Tumblr importer to import posts &amp; media from Tumblr using their API.","安装 Tumblr 导入工具，以从 Tumblr 的 API 导入文章和媒体文件。"
"Install the WordPress importer to import posts, pages, comments, custom fields, categories, and tags from a WordPress export file.","安装 WordPress 导入工具，以从 WordPress 导出文件导入文章、页面、评论、自定义栏目、分类目录和标签。"
"From Computer","从计算机"
"From URL","从 URL"
"Gallery (%s)","相册 (%s)"
"Uploads","上传内容"
"File URL","文件 URL"
"Attachment Post URL","附件专页 URL"
"Empty Title filled from filename.","文件名返回了空的标题。"
"Location of the uploaded file.","上传文件的位置。"
"Alt text for the image, e.g. &#8220;The Mona Lisa&#8221;","图像的替代文本，例如“蒙娜丽莎”"
"Show","显示"
"Hide","隐藏"
"File name:","文件名："
"File type:","文件类型："
"Upload date:","上传日期："
"Dimensions:","尺寸："
"Insert into Post","插入到文章"
"You are about to delete <strong>%s</strong>.","您将删除 <strong>%s</strong>。"
"Continue","继续"
"Drop files here","将文件拖到这里"
"or","或"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the browser uploader for files over 100MB.","您的浏览器对多文件上传工具的上传文件大小有限制。请使用浏览器上传工具来上传大于 100MB 的文件。"
"Add media files from your computer","从您的计算机添加媒体文件"
"Save all changes","保存所有更改"
"Insert media from another website","插入其它站点上的媒体"
"All Tabs:","所有单项："
"Sort Order:","排序："
"Ascending","升序"
"Descending","降序"
"Link thumbnails to:","链接缩略图到："
"Image File","图像文件"
"Order images by:","图像排序依据："
"Menu order","菜单排序"
"Date/Time","日期和时间"
"Order:","排序："
"Gallery columns:","相册列数："
"Update gallery settings","更新相册设置"
"Search Media","搜索媒体"
"All Types","所有类型"
"Filter &#187;","筛选 &#187;"
"Image Caption","图像说明"
"Audio, Video, or Other File","音频、视频等文件"
"Link text, e.g. &#8220;Ransom Demands (PDF)&#8221;","链接的文字，例如：“Ransom Demands（PDF）”"
"Link Image To:","将图像链接到："
"Link to image","链接到图像"
"You are using the multi-file uploader. Problems? Try the <a href=\"%s\" target=\"%s\">browser uploader</a> instead.","您正在使用多文件上传工具。遇到问题？请尝试使用<a href=\"#\">标准浏览器上传工具</a> 。"
"You are using the browser&#8217;s built-in file uploader. The WordPress uploader includes multiple file selection and drag and drop capability. <a href=\"#\">Switch to the multi-file uploader</a>.","您正在使用浏览器内置的标准上传工具。WordPress 提供了全新的上传工具，支持多选、拖放上传功能。<a href=\"#\">改用新的上传工具</a>。"
"Scale images to match the large size selected in %simage options%s (%s3$d &times; %s4$d).","按照%s图像选项%s的设置，将图像剪裁到“大尺寸”（%s3$d &times; %s4$d）。"
"Sorry, you have used all of your storage quota of %s MB.","抱歉，您的储存限额已用完（%s MB）。"
"File URL:","文件 URL："
"You do not have sufficient permissions to access this page.","您没有足够的权限访问该页面。"
"Preview Changes","预览更改"
"Visibility:","公开度："
"Password protected","密码保护"
"Stick this post to the front page","将文章置于首页顶端"
"Scheduled for: <b>%s</b>","计划发布于：<b>%s</b>"
"Published on: <b>%s</b>","发布于：</b>%s</b>"
"Publish <b>immediately</b>","<b>立即</b>发布"
"Schedule for: <b>%s</b>","计划发布于：<b>%s</b>"
"Publish on: <b>%s</b>","发布于：<b>%s</b>"
"Uploaded on: <b>%s</b>","上传于：</b>%s</b>"
"Most Used","最常用"
"Excerpts are optional hand-crafted summaries of your content that can be used in your theme. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Learn more about manual excerpts.</a>","摘要是您可以手动添加的内容概要，一些主题会用到这些文字。<a href=\"http://codex.wordpress.org/zh-cn:%sE6%s91%s98%sE8%sA6%s81\" target=\"_blank\">了解关于人工摘要的更多信息。</a>"
"Already pinged:","已 ping 通告过："
"Send trackbacks to:","发送 trackback 到："
"Separate multiple URLs with spaces","多个 URL 用空格分隔"
"Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. If you link other WordPress sites they&#8217;ll be notified automatically using <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, no other action necessary.","Trackback 是针对老式博客系统的一种引用通知方式。如果文章内的链接指向同为 WordPress 的站点，则您无需手动填写 <a href=\"http://codex.wordpress.org/zh-cn:%sE5%s8D%s9A%sE5%sAE%sA2%sE7%sBB%sAA%sE8%sAE%sBA#.E7.AE.A1.E7.90.86.E8.AF.84.E8.AE.BA\" target=\"_blank\">pingback</a> 地址。"
"Custom fields can be used to add extra metadata to a post that you can <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">use in your theme</a>.","自定义栏目用来向文章添加额外的属性，您可以<a href=\"http://codex.wordpress.org/zh-cn:%sE8%s87%sAA%sE5%sAE%s9A%sE4%sB9%s89%sE6%sA0%s8F%sE7%s9B%sAE\" target=\"_blank\">在主题中使用它们</a>。"
"Allow comments.","允许评论。"
"Allow <a href=\"%s\" target=\"_blank\">trackbacks and pingbacks</a> on this page.","这个页面接受 <a href=\"%s\" target=\"_blank\">trackback 和 pingback</a>。"
"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments","http://codex.wordpress.org/zh-cn:%sE5%s8D%s9A%sE5%sAE%sA2%sE7%sBB%sAA%sE8%sAE%sBA#.E7.AE.A1.E7.90.86.E8.AF.84.E8.AE.BA"
"Add comment","添加评论"
"Show comments","显示评论"
"(no parent)","(无父级)"
"Need help? Use the Help tab in the upper right of your screen.","需要帮助？请点击页面右上角的“帮助”选项卡。"
"Visit Link","访问链接"
"Keep this link private","将这个链接设为私密链接"
"You are about to delete this link '%s'\n 'Cancel' to stop, 'OK' to delete.","您将删除链接“%s”\n 按“取消”停止，按“确定”删除。"
"+ Add New Category","+ 添加分类目录"
"New category name","新分类目录名称"
"<code>_blank</code> &mdash; new window or tab.","<code>_blank</code> &mdash; 新窗口或新标签。"
"<code>_top</code> &mdash; current window or tab, with no frames.","<code>_top</code> &mdash; 不包含框架的当前窗口或标签。"
"<code>_none</code> &mdash; same window or tab.","<code>_none</code> &mdash; 同一窗口或标签。"
"Choose the target frame for your link.","为您的链接选择目标框架。"
"rel:","关系（rel）："
"identity","同一个人"
"another web address of mine","我的另一个 web 地址"
"friendship","友情"
"contact","偶有联系"
"acquaintance","熟人"
"friend","朋友"
"physical","网下接触"
"met","已见过面"
"professional","职场关系"
"co-worker","同事"
"colleague","同行"
"geographical","地理关系"
"co-resident","同住"
"neighbor","邻居"
"family","家庭关系"
"child","子女"
"kin","亲戚"
"parent","父母"
"sibling","兄弟姐妹"
"spouse","配偶"
"romantic","情感关系"
"muse","灵感女神"
"crush","迷恋"
"date","交往中"
"sweetheart","恋人"
"If the link is to a person, you can specify your relationship with them using the above form. If you would like to learn more about the idea check out <a href=\"http://gmpg.org/xfn/\">XFN</a>.","如果链接指向某个人，您可以用上面的表单指定您与此人的关系。如果您想了解更多，请查看：<a href=\"http://gmpg.org/xfn/\">XFN</a>。"
"Image Address","图像地址"
"RSS Address","RSS 地址"
"Notes","备注"
"(Leave at 0 for no rating.)","（0 代表不评分。）"
"Admin Color Scheme","管理界面配色方案"
"Sorry, you must delete files before you can upload any more.","抱歉，您上传更多文件前须先删除一些文件。"
"Not enough space to upload. %s KB needed.","空间不足。需要 %s KB。"
"This file is too big. Files must be less than %s KB in size.","单文件过大。文件大小不得超过 %s KB。"
"You have used your space quota. Please delete files before uploading.","您用完了磁盘配额。请先删除一些文件再上传。"
"Back","返回"
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","尊敬的用户，\n\n您近期申请了为站点更换管理员电子邮件地址。\n确认更改请点击下面的链接：\n###ADMIN_URL###\n\n如果您不希望更改，请放心忽略本邮件。\n\n这封邮件是发送给 ###EMAIL### 的。\n\n祝好，\n###SITENAME### 全体\n###SITEURL### "
"[%s] New Admin Email Address","[%s] 新管理邮件地址"
"<strong>ERROR</strong>: The email address is already used.","<strong>错误</strong>：电子邮件地址已被使用。"
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","尊敬的用户，\n\n您近期申请了为帐户更换电子邮件地址。\n确认更改请点击下面的链接：\n###ADMIN_URL###\n\n如果您不希望更改，请放心忽略本邮件。\n\n这封邮件是发送给 ###EMAIL### 的。\n\n祝好，\n###SITENAME### 全体\n###SITEURL### "
"[%s] New Email Address","[%s] 新电子邮件地址"
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.","电子邮件之更改需要确认才能生效。请在 %s 查收确认邮件。"
"Sorry, you have used your space allocation. Please delete some files to upload more files.","您用完了磁盘配额。请先删除一些文件再上传。"
"Used: %s%s% of %s","已用：%s 中的 %s%s%"
"Site Upload Space Quota","站点磁盘空间配额"
"MB (Leave blank for network default)","MB（留空则使用站点网络全局默认限制）"
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.","您正尝试访问“%s”的“仪表盘”，但您无权执行此操作。如果您确信这是我们的操作失误，请联系网络管理员。"
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.","如果本来想访问其它页面，但不小心访问到本页面，下方的链接或许能帮到您。"
"Your Sites","您的站点"
"Visit Dashboard","访问“仪表盘”"
"View Site","查看站点"
"American English","美式英语"
"British English","英式英语"
"English","英语"
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.","警告！虽然 WordPress 加密用户 cookies，但您必须向 <strong>wp-config.php</strong> 加入下面的内容才能进一步提高安全性。"
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:","在 <code>/* 好了！请不要再继续编辑。请保存本文件。使用愉快！ */</code> 或 <code>/* That's all, stop editing! Happy blogging. */</code> 一行上方加入："
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.","多谢升级 WordPress！请使用<a href=\"%s\">升级网络</a>页面来升级您网络中的所有站点。"
"Primary Site","主站点"
"%s (Invalid)","%s (无效)"
"%s (Pending)","%s (待审)"
"Move up","上移"
"Move down","下移"
"Edit Menu Item","编辑菜单条目"
"Navigation Label","导航标签"
"Title Attribute","标题属性"
"CSS Classes (optional)","CSS 类（可选）"
"The description will be displayed in the menu if the current theme supports it.","若您的主题支持，此处的详细描述将被显示出来。"
"Original: %s","原始：%s"
"Home: %s","首页：%s"
"Theme Locations","主题位置"
"Custom Links","自定义链接"
"The current theme does not natively support menus, but you can use the &#8220;Custom Menu&#8221; widget to add any menus you create here to the theme&#8217;s sidebar.","当前的主题不提供原生的自定义菜单支持。您可以用“自定义菜单”小工具将您在这里创建的菜单添加至主题的侧边栏。"
"Label","标签"
"Menu Item","菜单项目"
"Add to Menu","添加至菜单"
"No items.","无项目。"
"Most Recent","最近"
"View All","查看所有"
"Select menu items (pages, categories, links) from the boxes at left to begin building your custom menu.","从左侧挑选一些项目（页面、分类目录、链接等）来开始构建您的自定义菜单。"
"The Walker class named <strong>%s</strong> does not exist.","名为 <strong>%s</strong> 的 Walker 类不存在。"
"Click Save Menu to make pending menu items public.","点击“保存菜单”使刚刚做出的改动于前台生效。"
"There are some invalid menu items. Please check or delete them.","发现无效的菜单项。请进行检查，或删除它们。"
"Show advanced menu properties","显示菜单高级属性"
"Link Target","链接目标"
"CSS Classes","CSS 类"
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=\"http://wordpress.org/support/\">support forums</a>.","发生了未知错误。有可能是因为 WordPress.org 工作不正常，或本地配置有误。如果问题持续存在，请浏览<a href=\"http://zh-cn.forums.wordpress.org/\">中文支持论坛</a>。"
"Plugins extend and expand the functionality of WordPress. You may automatically install plugins from the <a href=\"http://wordpress.org/extend/plugins/\">WordPress Plugin Directory</a> or upload a plugin in .zip format via <a href=\"%s\">this page</a>.","插件为 WordPress 添加新功能。您可以在您的控制板选择并直接安装 <a href=\"http://wordpress.org/extend/plugins/\">WordPress 插件目录</a>中的插件，或者在<a href=\"%s\">这个页面</a>上传 .zip 格式的插件包。"
"Popular tags","热门标签"
"You may also browse based on the most popular tags in the Plugin Directory:","您也可以浏览插件目录中最流行的标签："
"%s plugin","%d 个插件"
"%s plugins","%d 个插件"
"Keyword","关键词"
"Search Plugins","搜索插件"
"Install a plugin in .zip format","使用 .zip 文件格式安装插件"
"If you have a plugin in a .zip format, you may install it by uploading it here.","如果您有 .zip 格式的插件文件，可以在这里通过上传安装它。"
"Plugin zip file","插件 zip 文件"
"If you have marked plugins as favorites on WordPress.org, you can browse them here.","您可在此浏览在 WordPress.org 上收藏过的插件。"
"Your WordPress.org username:","您的 WordPress.org 用户名："
"Get Favorites","获取收藏列表"
"Installation","安装"
"FAQ","常见问题"
"Screenshots","截图"
"Changelog","修订历史"
"Other Notes","其它备注"
"Plugin Install","插件安装"
"Install Update Now","现在安装更新"
"Newer Version (%s) Installed","新版本（%s）已安装"
"Latest Version Installed","已安装最新版本"
"FYI","信息"
"Author:","作者："
"Last Updated:","最近更新："
"Requires WordPress Version:","需要 WordPress 版本："
"%s or higher","%s 或更高"
"Compatible up to:","兼容至："
"Downloaded:","下载量："
"WordPress.org Plugin Page &#187;","WordPress.org 插件页面 &#187;"
"Plugin Homepage &#187;","插件主页 &#187;"
"Average Rating","综合评级"
"<strong>Warning:</strong> This plugin has <strong>not been tested</strong> with your current version of WordPress.","<strong>警告：</strong>目前<strong>尚未测试</strong>该插件与您当前使用的 WordPress 版本的兼容性。"
"<strong>Warning:</strong> This plugin has <strong>not been marked as compatible</strong> with your version of WordPress.","<strong>警告：</strong>该插件<strong>还未被标记为</strong>“与您当前使用的 WordPress 版本兼容”。"
"The <code>%s</code> plugin header is deprecated. Use <code>%s</code> instead.","<code>%s</code> 插件头已不被建议使用。请换用 <code>%s</code>。"
"Visit plugin homepage","访问插件主页"
"By %s.","作者为 %s。"
"Advanced caching plugin.","高级缓存插件。"
"Custom database class.","自定义数据库类。"
"Custom database error message.","自定义数据库错误消息。"
"Custom install script.","自定义安装脚本。"
"Custom maintenance message.","自定义维护消息。"
"External object cache.","外部对象缓存。"
"Executed before Multisite is loaded.","在多站点加载前运行。"
"Custom site deleted message.","自定义“站点已删除”提示消息。"
"Custom site inactive message.","自定义\"站点未启用\"消息。"
"Custom site suspended message.","自定义“站点挂起”消息。"
"The plugin generated unexpected output.","此插件产生了一个异常输出。"
"One of the plugins is invalid.","其中有一个插件无效。"
"Could not fully remove the plugin(s) %s.","无法彻底删除 %s 插件。"
"Invalid plugin path.","插件路径无效。"
"Plugin file does not exist.","插件文件不存在。"
"The plugin does not have a valid header.","该插件没有有效的标题。"
"The \"%s\" options group has been removed. Use another settings group.","“%s”选项组已被移除，请使用另一个选项组。"
"You are not allowed to edit pages as this user.","您无法以当前用户的身份编辑这个页面。"
"You are not allowed to edit posts as this user.","您无法以当前用户的身份编辑文章。"
"You are not allowed to edit pages.","您没有编辑页面的权限。"
"You are not allowed to edit posts.","您没有编辑文章的权限。"
"Auto Draft","自动草稿"
"You are not allowed to create pages on this site.","您无权在该站点创建页面。"
"You are not allowed to create posts or drafts on this site.","您无权在本站点创建文章或草稿。"
"Click to edit this part of the permalink","点击编辑这部分固定链接"
"Temporary permalink. Click to edit this part.","临时固定链接，点击可更改这部分。"
"Permalink:","固定链接："
"Change Permalinks","更改固定链接"
"Remove featured image","移除特色图像"
"Warning: %s is currently editing this post","注意：%s 正在编辑该文章"
"Warning: %s is currently editing this page","注意：%s 正在编辑该页面"
"Warning: %s is currently editing this.","注意：%s 当前正在编辑。"
"Preview not available. Please save as a draft first.","预览不可用。请先保存草稿。"
"0","Asia/Shanghai"
"My Site","我的站点"
"Just another WordPress site","又一个 WordPress 站点"
"F j, Y","Y 年 n 月 j 日"
"g:i a","a g:i"
"F j, Y g:i a","Y 年 n 月 j 日a g:i"
"Just another %s site","又一个 %s 站点"
"Administrator","管理员"
"Editor","编辑"
"Contributor","投稿者"
"Subscriber","订阅者"
"You must provide a domain name.","您必须提供域名。"
"You must provide a name for your network of sites.","您必须为您的站点网络指定一个名称。"
"The network already exists.","该网络已存在。"
"You must provide a valid e-mail address.","您必须提供有效的电子邮件地址。"
"Welcome to <a href=\"SITE_URL\">SITE_NAME</a>. This is your first post. Edit or delete it, then start blogging!","欢迎使用 <a href=\"SITE_URL\">SITE_NAME</a>。这是您的第一篇文章。编辑或删除它，然后开始您的博客！"
"Warning! Wildcard DNS may not be configured correctly!","警告！泛 DNS 配置可能有误！"
"The installer attempted to contact a random hostname (<code>%s</code>) on your domain.","安装器已尝试连接您域名下的一个随机主机名（<code>%s</code>）。"
"This resulted in an error message: %s","此操作造成了一个错误：%s"
"To use a subdomain configuration, you must have a wildcard entry in your DNS. This usually means adding a <code>*</code> hostname record pointing at your web server in your DNS configuration tool.","要使用子域名配置，您必须设置一个泛 DNS 记录。通常，这意味着在 DNS 配置工具中，将指向您服务器的记录的主机名设为 <code>*</code>。"
"You can still use your site but any subdomain you create may not be accessible. If you know your DNS is correct, ignore this message.","您依然可以访问您的站点，但是可能无法访问任何子域名。如果您确信 DNS 设置无误，请忽略本提示。"
"Contextual Help Tab","“上下文帮助”选项卡"
"Screen Options","显示选项"
"Enable accessibility mode","启用无障碍模式"
"Disable accessibility mode","停用无障碍模式"
"Screen Options Tab","“显示选项”选项卡"
"Show on screen","显示下列项目"
"Screen Layout","页面布局"
"Number of Columns:","分栏数目："
"You did not enter a category name.","您没有输入分类目录名称。"
"Reply to Comment","回复评论"
"Add new Comment","添加新评论"
"Add Comment","添加评论"
"Update Comment","更新评论"
"Submit Reply","提交回复"
"Comment by %s moved to the trash.","%s 的评论已被移动到回收站。"
"Comment by %s marked as spam.","%s 的评论已被标记为垃圾评论。"
"Value","值"
"Key","键"
"Add New Custom Field:","添加自定义栏目："
"Enter new","输入新栏目"
"Add Custom Field","添加自定义栏目"
"%s-%s","%s"
"%s%s, %s @ %s : %s","%s年%s月%s日 %s : %s"
"Thumbnail linked to file","缩略图，链接到文件"
"Image linked to file","图像，链接到文件"
"Thumbnail linked to page","缩略图，链接到页面"
"Image linked to page","图像，链接到文件页面"
"Link to file","链接到文件"
"Link to page","链接到页面"
"Before you can upload your import file, you will need to fix the following error:","在上传您的导入文件之前，您需要修正以下错误："
"Choose a file from your computer:","从您的计算机上选择一个文件："
"Maximum size: %s","最大大小：%s"
"Upload file and import","上传文件并导入"
"Click to toggle","点击以切换"
"The miscellaneous options group has been removed. Use another settings group.","“杂项”设置已被移除，请使用另一个设置组。"
"The privacy options group has been removed. Use another settings group.","“杂项”设置已被移除，请使用另一个设置组。"
"Find Posts or Pages","查找文章或页面"
"Save Changes","保存更改"
"New Feature: Toolbar","新功能：一体化工具栏"
"We&#8217;ve combined the admin bar and the old Dashboard header into one persistent toolbar. Hover over the toolbar items to see what&#8217;s new.","我们将“管理工具栏”和原先的“控制板”（是的，中文翻译已将其改译成“仪表盘”了）的顶部部分合并成了一直显示的一体化工具栏。将鼠标移至工具栏的项目上，看看具体发生了什么变化。"
"Network Admin is now located in the My Sites menu.","“管理网络”链接现已处于“我的站点”菜单之下。"
"New Feature: Saving Widgets","新功能：保留小工具设置"
"If you change your mind and revert to your previous theme, we&#8217;ll put the widgets back the way you had them.","如果您还是喜欢原来的主题，在您切换回原来主题之后，我们会为您恢复原来的边栏小工具配置。"
"New Feature: Customizer","新功能：自定义主题细节"
"Click Customize to change the header, background, title and menus of the current theme, all in one place.","点击“自定义”可修改当前主题的顶部、背景、标题和目录等位置的外观。"
"Click the Live Preview links in the Available Themes list below to customize and preview another theme before activating it.","在“可用主题”区域，点击主题下方的“实时预览”链接可以在启用主题之前预览和自定义主题样式。"
"New Feature: Choose Image from Library","新功能：从媒体库中选图像"
"Want to use an image you uploaded earlier? Select it from your media library instead of uploading it again.","要使用之前上传的图像？不必再次上传了，您可直接从媒体库中选择。"
"Uploading files and creating image galleries has a whole new look. Check it out!","我们重新设计了上传文件和创建相册的界面。去看看吧！"
"Likely direct inclusion of wp-admin/includes/template.php in order to use add_meta_box(). This is very wrong. Hook the add_meta_box() call into the add_meta_boxes action instead.","您使用的插件或主题为了使用 add_meta_box() 似乎直接包含了 wp-admin/includes/template.php 这个文件，这是十分错误的。请告知插件或主题的作者使用 add_meta_boxes 动作（action）来调用包含使用 add_meta_box() 的函数。"
"Search for themes by keyword.","根据关键词搜索主题。"
"Type of search","搜索类型"
"Search by keyword","根据关键词查找"
"Search by author","根据作者查找"
"Search by tag","根据标签查找"
"Feature Filter","特性筛选"
"Find a theme based on specific features.","根据主题特性寻找主题。"
"Find Themes","寻找主题"
"Install a theme in .zip format","使用 .zip 包安装主题"
"If you have a theme in a .zip format, you may install it by uploading it here.","如果您有 .zip 格式的主题，可以在这里通过上传的方式安装。"
"Theme Install","主题安装"
"Unable to locate WordPress theme directory.","无法找到 WordPress 主题目录。"
"Could not fully remove the theme %s.","无法完全删除主题 %s。"
"Updating this theme will lose any customizations you have made. 'Cancel' to stop, 'OK' to update.","升级这个主题会导致您定制内容的丢失。按“取消”停止，按“确定”升级。"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>.","%s 有新版本。<a href=\"%s\" class=\"thickbox\" title=\"%s\">查看 %s 版本的详细信息</a>。"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this theme.</em>","%s 有新版本。<a href=\"%s\" class=\"thickbox\" title=\"%s\">查看 %s 版本详情</a>。<strong>该主题无法自动更新。</strong>"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a> or <a href=\"%s\" %s>update now</a>.","%s 有新版本。<a href=\"%s\" class=\"thickbox\" title=\"%s\">查看 %s 版本详情</a>或<a href=\"%s\" %s>自动更新</a>。"
"Tan","褐色"
"Dark","深色"
"Light","浅色系"
"One Column","一栏"
"Two Columns","两栏"
"Three Columns","三栏"
"Four Columns","四栏"
"Left Sidebar","边栏在左侧"
"Right Sidebar","边栏在右侧"
"Fixed Width","固定宽度"
"Flexible Width","可变宽度"
"Features","特色"
"Custom Colors","自定义颜色"
"Editor Style","编辑器样式支持"
"Featured Image Header","顶部特色图像"
"Featured Images","特色图像"
"Flexible Header","灵活顶部"
"Front Page Posting","首页发布功能"
"Full Width Template","占满宽度的模板"
"Microformats","微格式"
"Post Formats","文章形式"
"RTL Language Support","右至左书写方向支持"
"Sticky Post","文章置顶"
"Theme Options","主题选项"
"Threaded Comments","嵌套评论"
"Translation Ready","支持多国语言翻译"
"Subject","主题"
"Holiday","节日"
"Photoblogging","照片博客"
"Seasonal","四季"
"Verifying the unpacked files&#8230;","正在校验解压的文件&#8230;"
"The update could not be unpacked","无法解压升级包"
"The update cannot be installed because WordPress %s requires PHP version %s or higher and MySQL version %s or higher. You are running PHP version %s and MySQL version %s.","升级无法完成，因为 WordPress %s 需要 PHP %s 或更高版本和 MySQL %s 或更高版本。而您当前的 PHP 版本为 %s，MySQL 版本为 %s。"
"The update cannot be installed because WordPress %s requires PHP version %s or higher. You are running version %s.","无法安装更新，因为 WordPress %s 要求 PHP 版本 %s 或更高，而您运行的 PHP 版本为 %s。"
"The update cannot be installed because WordPress %s requires MySQL version %s or higher. You are running version %s.","无法安装更新，因为 WordPress %s 要求 MySQL 版本 %s 或更高，而您运行的 MySQL 版本为 %s。"
"Upgrading database&#8230;","正在升级数据库&#8230;"
"WordPress updated successfully","WordPress 升级成功"
"Welcome to WordPress %s. You will be redirected to the About WordPress screen. If not, click <a href=\"%s\">here</a>.","欢迎使用 WordPress %s。我们将带您到“关于 WordPress”页面。如果没有自动跳转，请<a href=\"%s\">点击这里</a>。"
"Welcome to WordPress %s. <a href=\"%s\">Learn more</a>.","欢迎使用 WordPress %s。<a href=\"%s\">了解更多</a>。"
"You are using a development version (%s). Cool! Please <a href=\"%s\">stay updated</a>.","您在使用开发版本（%s）。太棒了，请<a href=\"%s\">保持更新</a>。"
"<a href=\"%s\">Get Version %s</a>","<a href=\"%s\">获取新版本 %s</a>"
"<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> is available! <a href=\"%s\">Please update now</a>.","<a href=\"http://codex.wordpress.org/zh-cn:%s_%s%E7%s%89%s%88%s%E6%s%9C%s%AC\">WordPress %s</a> 现已发布！<a href=\"%s\">现在就更新</a>。"
"<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> is available! Please notify the site administrator.","<a href=\"http://codex.wordpress.org/zh-cn:%s_%s%E7%s%89%s%88%s%E6%s%9C%s%AC\">WordPress %s</a> 现已发布！请通知站点管理员。"
"You are using <span class=\"b\">WordPress %s</span>.","您正在使用 <span class=\"b\">WordPress %s</span>。"
"Update to %s","更新到 %s"
"Latest","最新版本"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this plugin.</em>","%s 有新版本。<a href=\"%s\" class=\"thickbox\" title=\"%s\">查看 %s 版本的详细信息</a>。<em>该插件无法通过自动更新来升级。</em>"
