"Activation Key Required","Требуется ключ активации"
"RSS Address","Адрес RSS"
"Notes","Заметки"
"(Leave at 0 for no rating.)","(Оставьте 0, если рейтинг не важен.)"
"Admin Color Scheme","Цветовая схема"
"Sorry, you must delete files before you can upload any more.","Извините, вам придётся удалить файлы, чтобы загрузить другие."
"Not enough space to upload. %s KB needed.","Недостаточно места для загрузки. Требуется %s КБ."
"This file is too big. Files must be less than %s KB in size.","Файл слишком велик. Размер файлов должен быть менее %s КБ."
"You have used your space quota. Please delete files before uploading.","Вы использовали всё пространство. Удалите старые файлы, прежде чем загружать новые."
"Back","Назад"
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Уважаемый пользователь,\n\nНедавно вы запросили смену электронного адреса администратора\nна вашем сайте.\nЕсли это так, перейдите по следующей ссылке, чтобы изменить его:\n###ADMIN_URL###\n\nЕсли вы не хотите этого делать, просто проигнорируйте\nи удалите это письмо.\n\nЭто письмо было отправлено на ###EMAIL###\n\nУспехов,\nКоманда сайта «###SITENAME###»\n###SITEURL###"
"[%s] New Admin Email Address","[%s] Новый адрес администратора"
"<strong>ERROR</strong>: The email address is already used.","<strong>ОШИБКА</strong>: Адрес e-mail уже используется."
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Уважаемый пользователь,\n\nНедавно вы запросили смену электронного адреса вашей учётной записи.\nЕсли это так, перейдите по следующей ссылке, чтобы изменить его:\n###ADMIN_URL###\n\nЕсли вы не хотите этого делать, просто проигнорируйте\nи удалите это письмо.\n\nЭто письмо было отправлено на ###EMAIL###\n\nУспехов,\nКоманда сайта «###SITENAME###»\n###SITEURL###"
"[%s] New Email Address","[%s] Новый адрес"
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.","Ваш e-mail ещё не обновлён. Пожалуйста, проверьте почтовый ящик %s на предмет письма с подтверждением."
"Sorry, you have used your space allocation. Please delete some files to upload more files.","К сожалению, вы использовали всё доступное пространство. Пожалуйста, удалите несколько файлов, чтобы загрузить новые."
"GB","ГБ"
"MB","МБ"
"Used: %s%s% of %s","Занято: %s%s% из %s"
"Site Upload Space Quota","Пространство для файлов"
"MB (Leave blank for network default)","МБ (оставьте пустым для значения по умолчанию)"
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.","Вы попытались войти в консоль сайта &laquo;%s&raquo;, но у вас на текущий момент нет туда доступа. Если вы считаете, что должны иметь доступ к сайту &laquo;%s&raquo;, свяжитесь с администратором сети."
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.","Если вы попали на этот экран по ошибке и хотите открыть один из своих собственных сайтов, можно воспользоваться приведёнными ниже ссылками."
"Your Sites","Ваши сайты"
"Visit Dashboard","Перейти в консоль"
"View Site","Посмотреть сайт"
"American English","Американский английский"
"British English","Британский английский"
"English","Английский"
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.","Внимание! WordPress шифрует файлы cookie, однако вы должны добавить следующие строки в файл <strong>wp-config.php</strong> для повышения безопасности."
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:","Перед строкой <code>/* Это всё, дальше не редактируем. Успехов! */</code> добавьте следующий код:"
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.","Благодарим за установку свежей версии! Пожалуйста, перейдите на страницу <a href=\"%s\">&laquo;Обновить сеть&raquo;</a>, чтобы обновить все сайты."
"Primary Site","Основной сайт"
"%s (Invalid)","%s (Некорректно)"
"%s (Pending)","%s (На утверждении)"
"Move up","Переместить вверх"
"Move down","Переместить вниз"
"Edit Menu Item","Изменить элемент меню"
"Navigation Label","Текст ссылки"
"Title Attribute","Атрибут title"
"CSS Classes (optional)","Классы CSS (необязательно)"
"The description will be displayed in the menu if the current theme supports it.","Описание будет отображаться в меню, если текущая тема его поддерживает."
"Original: %s","Оригинал: %s"
"Home: %s","Главная: %s"
"Theme Locations","Области темы"
"Custom Links","Произвольные ссылки"
"The current theme does not natively support menus, but you can use the &#8220;Custom Menu&#8221; widget to add any menus you create here to the theme&#8217;s sidebar.","Текущая тема не поддерживает создание меню, однако вы можете использовать виджет &laquo;Произвольное меню&raquo;, чтобы добавить любое из созданных здесь меню в боковую колонку темы."
"Label","Текст"
"Menu Item","Элемент меню"
"Add to Menu","Добавить в меню"
"No items.","Нет элементов."
"Most Recent","Самые свежие"
"View All","Все"
"Select menu items (pages, categories, links) from the boxes at left to begin building your custom menu.","Выберите элементы (страницы, рубрики, ссылки) в блоках слева, чтобы начать создавать меню."
"The Walker class named <strong>%s</strong> does not exist.","Класса обхода с именем <strong>%s</strong> не существует."
"Click Save Menu to make pending menu items public.","Нажмите &laquo;Сохранить меню&raquo;, чтобы опубликовать черновики элементов."
"There are some invalid menu items. Please check or delete them.","Некоторые элементы меню некорректны. Проверьте или удалите их."
"Show advanced menu properties","Показывать расширенные свойства меню"
"Link Target","Цель ссылки"
"CSS Classes","Классы CSS"
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=\"http://wordpress.org/support/\">support forums</a>.","Произошла непредвиденная ошибка. Возможно, что-то не так с сайтом WordPress.org или с настройками вашего сервера. Если проблема не решится, обратитесь на <a href=\"http://ru.forums.wordpress.org/\">форумы поддержки</a>."
"Plugins extend and expand the functionality of WordPress. You may automatically install plugins from the <a href=\"http://wordpress.org/extend/plugins/\">WordPress Plugin Directory</a> or upload a plugin in .zip format via <a href=\"%s\">this page</a>.","Плагины расширяют и дополняют функциональность WordPress. Можно установить их из <a href=\"http://wordpress.org/extend/plugins/\">каталога плагинов WordPress</a> автоматически, либо загрузить архив плагина в формате .zip на <a href=\"%s\">этой странице</a>."
"Popular tags","Популярные метки"
"You may also browse based on the most popular tags in the Plugin Directory:","Можно также просмотреть содержимое популярных меток в каталоге плагинов:"
"%s plugin","%s плагин"
"%s plugins","Плагинов: %s"
"Keyword","Слово"
"Search Plugins","Поиск плагинов"
"Install a plugin in .zip format","Установить плагин в формате .zip"
"If you have a plugin in a .zip format, you may install it by uploading it here.","Если у вас есть архив плагина в формате .zip, здесь можно загрузить и установить его."
"Plugin zip file","Архив плагина"
"If you have marked plugins as favorites on WordPress.org, you can browse them here.","Если вы добавили плагины на WordPress.org в список любимых, здесь вы можете их просмотреть."
"Your WordPress.org username:","Ваше имя пользователя на WordPress.org:"
"Get Favorites","Получить список"
"Installation","Установка"
"Screenshots","Скриншоты"
"Changelog","Изменения"
"Other Notes","Заметки"
"Plugin Install","Установка плагина"
"Install Update Now","Установить обновление"
"Newer Version (%s) Installed","Установлена более новая версия (%s)"
"Latest Version Installed","Установлена свежая версия"
"FYI","Детали"
"Author:","Автор:"
"Last Updated:","Обновление:"
"Requires WordPress Version:","Требуемая версия WordPress:"
"%s or higher","%s или выше"
"Compatible up to:","Совместим вплоть до:"
"Downloaded:","Скачан:"
"%s time","%s раз"
"%s times","%s раза"
"WordPress.org Plugin Page &#187;","Страница на WordPress.org &#187;"
"Plugin Homepage &#187;","Домашняя страница &#187;"
"Average Rating","Средний рейтинг"
"<strong>Warning:</strong> This plugin has <strong>not been tested</strong> with your current version of WordPress.","<strong>Внимание:</strong> Этот плагин <strong>не был протестирован</strong> с вашей версией WordPress."
"<strong>Warning:</strong> This plugin has <strong>not been marked as compatible</strong> with your version of WordPress.","<strong>Внимание:</strong> Этот плагин не был помечен как <strong>совместимый</strong> с вашей версией WordPress."
"The <code>%s</code> plugin header is deprecated. Use <code>%s</code> instead.","Строка <code>%s</code> в заголовке плагина считается устаревшей. Используйте <code>%s</code>."
"Visit plugin homepage","Перейти на страницу плагина"
"By %s.","Автор: %s."
"Advanced caching plugin.","Расширенный плагин кеширования."
"Custom database class.","Произвольный класс базы данных."
"Custom database error message.","Произвольное сообщение об ошибке при подключении к базе данных."
"Custom install script.","Произвольный скрипт установки."
"Custom maintenance message.","Произвольное сообщение о техническом обслуживании."
"External object cache.","Внешний кеш для объектов."
"Executed before Multisite is loaded.","Выполняется перед загрузкой поддержки сети."
"Custom site deleted message.","Произвольное сообщение об удалённом сайте."
"Custom site inactive message.","Произвольное сообщение о неактивном сайте."
"Custom site suspended message.","Произвольное сообщение о замороженном сайте."
"The plugin generated unexpected output.","Плагин произвёл неожиданный вывод на экран."
"One of the plugins is invalid.","Один из плагинов неработоспособен."
"Could not fully remove the plugin(s) %s.","Не удалось полностью удалить плагин(ы) %s."
"Invalid plugin path.","Неверный путь к плагину."
"Plugin file does not exist.","Файл плагина не найден."
"The plugin does not have a valid header.","У плагина нет корректного заголовка."
"The \"%s\" options group has been removed. Use another settings group.","Группа настроек &laquo;%s&raquo; была удалена. Используйте другую группу настроек."
"You are not allowed to edit pages as this user.","Вам не разрешено редактировать страницы от лица этого пользователя."
"You are not allowed to edit posts as this user.","Вам не разрешено редактировать записи от лица этого пользователя."
"You are not allowed to edit pages.","Вам не разрешено редактировать страницы."
"You are not allowed to edit posts.","Вам не разрешено редактировать записи."
"Auto Draft","Черновик"
"You are not allowed to create pages on this site.","Вам не разрешено создавать страницы на этом сайте."
"You are not allowed to create posts or drafts on this site.","Вам не разрешено создавать записи или черновики на этом сайте."
"Click to edit this part of the permalink","Нажмите, чтобы изменить эту часть постоянной ссылки"
"Temporary permalink. Click to edit this part.","Временная ссылка. Нажмите, чтобы изменить эту часть."
"Permalink:","Постоянная ссылка:"
"Change Permalinks","Изменить постоянные ссылки"
"Remove featured image","Удалить миниатюру"
"Warning: %s is currently editing this post","Внимание: эту запись сейчас редактирует %s"
"Warning: %s is currently editing this page","Внимание: эту страницу сейчас редактирует %s"
"Warning: %s is currently editing this.","Внимание: то же самое сейчас редактирует %s."
"Preview not available. Please save as a draft first.","Просмотр недоступен. Пожалуйста, сохраните черновик."
"0","4"
"My Site","Мой сайт"
"Just another WordPress site","Ещё один сайт на WordPress"
"F j, Y","d.m.Y"
"g:i a","H:i"
"F j, Y g:i a","d.m.Y H:i"
"Just another %s site","Ещё один сайт сети «%s»"
"Administrator","Администратор"
"Editor","Редактор"
"Contributor","Участник"
"Subscriber","Подписчик"
"You must provide a domain name.","Вы должны указать домен."
"You must provide a name for your network of sites.","Вы должны указать название вашей сети."
"The network already exists.","Сеть уже существует."
"You must provide a valid e-mail address.","Вы должны указать корректный адрес e-mail."
"Welcome to <a href=\"SITE_URL\">SITE_NAME</a>. This is your first post. Edit or delete it, then start blogging!","Добро пожаловать на сайт <a href=\"SITE_URL\">&laquo;SITE_NAME&raquo;</a>. Это ваша первая запись. Отредактируйте или удалите её, затем пишите!"
"Warning! Wildcard DNS may not be configured correctly!","Внимание! Возможно, маска DNS настроена неправильно!"
"The installer attempted to contact a random hostname (<code>%s</code>) on your domain.","Скрипт установки попытался открыть случайный адрес (<code>%s</code>) на вашем домене."
"This resulted in an error message: %s","Это привело к сообщению об ошибке: %s"
"To use a subdomain configuration, you must have a wildcard entry in your DNS. This usually means adding a <code>*</code> hostname record pointing at your web server in your DNS configuration tool.","Чтобы использовать режим поддоменов, необходимо использовать маску в записях DNS. В общем случае достаточно добавить с помощью инструмента настройки DNS запись с адресом <code>*</code>, указывающую на ваш сервер."
"You can still use your site but any subdomain you create may not be accessible. If you know your DNS is correct, ignore this message.","Можно использовать основной сайт, однако любой созданный поддомен будет недоступен. Если вы уверены, что ваши настройки DNS верны, проигнорируйте это сообщение."
"Contextual Help Tab","Вкладка контекстной помощи"
"Screen Options","Настройки экрана"
"Enable accessibility mode","Включить режим специальных возможностей"
"Disable accessibility mode","Отключить режим специальных возможностей"
"Screen Options Tab","Вкладка «Настройки экрана»"
"Show on screen","На экране отображаются"
"Welcome","Добро пожаловать"
"Screen Layout","Разметка экрана"
"Number of Columns:","Количество столбцов:"
"You did not enter a category name.","Вы не ввели название рубрики."
"Reply to Comment","Ответить на комментарий"
"Add new Comment","Добавить комментарий"
"Add Comment","Добавить комментарий"
"Update Comment","Обновить комментарий"
"Submit Reply","Опубликовать ответ"
"Comment by %s moved to the trash.","Комментарий автора %s перемещён в корзину."
"Comment by %s marked as spam.","Комментарий автора %s помечен как спам."
"Value","Значение"
"Key","Ключ"
"Add New Custom Field:","Добавить новое поле:"
"Enter new","Введите новое"
"Add Custom Field","Добавить произвольное поле"
"%s%s, %s @ %s : %s","%s%s, %s в %s : %s"
"Thumbnail linked to file","Миниатюра ссылается на файл"
"Image linked to file","Картинка ссылается на файл"
"Thumbnail linked to page","Миниатюра ссылается на страницу"
"Image linked to page","Картинка ссылается на страницу"
"Link to file","Ссылка на файл"
"Link to page","Ссылка на страницу"
"Before you can upload your import file, you will need to fix the following error:","Перед тем, как вы сможете загрузить файл импорта, необходимо исправить следующие ошибки:"
"Choose a file from your computer:","Выберите файл на своём компьютере:"
"Maximum size: %s","Размер: не более %s"
"Upload file and import","Загрузить и импортировать файл"
"Click to toggle","Нажмите, чтобы переключить"
"The miscellaneous options group has been removed. Use another settings group.","Группа &laquo;Разные настройки&raquo; была удалена. Используйте другую группу настроек."
"The privacy options group has been removed. Use another settings group.","Группа &laquo;Приватность&raquo; была удалена. Используйте другую группу настроек."
"Find Posts or Pages","Найти записи или страницы"
"Save Changes","Сохранить изменения"
"New Feature: Toolbar","Новая функция: верхняя панель"
"We&#8217;ve combined the admin bar and the old Dashboard header into one persistent toolbar. Hover over the toolbar items to see what&#8217;s new.","Мы объединили предыдущую панель и старый заголовок панели управления в новую единую панель. Наведите курсор на элементы панели, чтобы увидеть новые пункты."
"Network Admin is now located in the My Sites menu.","Раздел &laquo;Управление сетью&raquo; теперь находится в меню &laquo;Мои сайты&raquo;."
"New Feature: Saving Widgets","Новая функция: сохранение виджетов"
"If you change your mind and revert to your previous theme, we&#8217;ll put the widgets back the way you had them.","Если вы передумаете и вернётесь к предыдущей теме оформления, ваши виджеты вернутся на свои места."
"New Feature: Customizer","Новая функция: настройка тем"
"Click Customize to change the header, background, title and menus of the current theme, all in one place.","Нажмите ссылку &laquo;Настроить&raquo;, чтобы изменить заголовок, фон и меню текущей темы, всё в одном месте."
"Click the Live Preview links in the Available Themes list below to customize and preview another theme before activating it.","Нажмите ссылку &laquo;Просмотреть&raquo; под любой темой из списка доступных, чтобы настроить и просмотреть тему без её активации."
"New Feature: Choose Image from Library","Новая функция: выбор изображений из библиотеки"
"Want to use an image you uploaded earlier? Select it from your media library instead of uploading it again.","Хотите использовать изображение, загруженное ранее? Выберите его из библиотеки файлов, вместо того чтобы загружать снова."
"Uploading files and creating image galleries has a whole new look. Check it out!","Загрузка файлов и создание галерей теперь выглядит совсем по-другому. Убедитесь сами!"
"Likely direct inclusion of wp-admin/includes/template.php in order to use add_meta_box(). This is very wrong. Hook the add_meta_box() call into the add_meta_boxes action instead.","Похоже, для вызова функции add_meta_box() был напрямую подключён файл wp-admin/includes/template.php. Так делать нельзя. Используйте для вызова add_meta_box() действие add_meta_boxes."
"Search for themes by keyword.","Поищите темы по ключевому слову."
"Type of search","Тип поиска"
"Search by keyword","Поиск по ключевому слову"
"Search by author","Поиск по автору"
"Search by tag","Поиск по метке"
"Feature Filter","Фильтр характеристик"
"Find a theme based on specific features.","Найдите тему по определённым особенностям."
"Find Themes","Найти темы"
"Install a theme in .zip format","Установить тему в формате .zip"
"If you have a theme in a .zip format, you may install it by uploading it here.","Если у вас есть архив темы в формате .zip, здесь можно загрузить и установить её."
"Theme Install","Установка темы"
"Unable to locate WordPress theme directory.","Не удалось определить директорию тем WordPress."
"Could not fully remove the theme %s.","Не удалось полностью удалить тему %s."
"Updating this theme will lose any customizations you have made. 'Cancel' to stop, 'OK' to update.","При обновлении этой темы будут утеряны внесённые вами изменения. «Отмена» — прервать, «OK» — обновить."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>.","Доступна свежая версия %s. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Посмотреть информацию о версии %s</a>."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this theme.</em>","Доступна свежая версия %s. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Посмотреть информацию о версии %s</a>. <em>Автоматическое обновление этой темы невозможно.</em>"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a> or <a href=\"%s\" %s>update now</a>.","Доступна свежая версия %s. Можно <a href=\"%s\" class=\"thickbox\" title=\"%s\">посмотреть информацию о версии %s</a> или <a href=\"%s\" %s>обновить сейчас</a>."
"Tan","Жёлто-коричневый"
"Dark","Тёмный"
"Light","Светлый"
"One Column","Одна колонка"
"Two Columns","Две колонки"
"Three Columns","Три колонки"
"Four Columns","Четыре колонки"
"Left Sidebar","Меню слева"
"Right Sidebar","Меню справа"
"Fixed Width","Фиксированная"
"Flexible Width","Гибкая"
"Features","Функции"
"Blavatar","Блаватар"
"Custom Colors","Настройка цветов"
"Editor Style","Стиль для редактора"
"Featured Image Header","Миниатюры записей в заголовке"
"Featured Images","Миниатюры записей"
"Flexible Header","Гибкий заголовок"
"Front Page Posting","Публикация с главной"
"Full Width Template","Одноколоночный шаблон"
"Microformats","Микроформаты"
"Post Formats","Форматы записей"
"RTL Language Support","Поддержка языков с письмом справа налево"
"Sticky Post","Запись-липучка"
"Theme Options","Настройки темы"
"Threaded Comments","Вложенные комментарии"
"Translation Ready","Готова к переводу"
"Subject","Тема"
"Holiday","Праздник"
"Photoblogging","Фотоблог"
"Seasonal","Времена года"
"Verifying the unpacked files&#8230;","Проверка распакованных файлов&#8230;"
"The update could not be unpacked","Обновление не удалось распаковать"
"The update cannot be installed because WordPress %s requires PHP version %s or higher and MySQL version %s or higher. You are running PHP version %s and MySQL version %s.","Обновление не может быть установлено, так как WordPress %s требует PHP версии %s или выше и MySQL версии %s или выше. У вас используется PHP %s и MySQL %s."
"The update cannot be installed because WordPress %s requires PHP version %s or higher. You are running version %s.","Обновление не может быть установлено, так как WordPress %s требует PHP версии %s или выше. У вас используется версия %s."
"The update cannot be installed because WordPress %s requires MySQL version %s or higher. You are running version %s.","Обновление не может быть установлено, так как WordPress %s требует MySQL версии %s или выше. У вас используется версия %s."
"Upgrading database&#8230;","Обновление базы данных&#8230;"
"WordPress updated successfully","WordPress успешно обновлён"
"Welcome to WordPress %s. You will be redirected to the About WordPress screen. If not, click <a href=\"%s\">here</a>.","Добро пожаловать в WordPress %s. Сейчас вы будете перенаправлены на экран &laquo;О WordPress&raquo;. Если этого не произошло, нажмите <a href=\"%s\">сюда</a>."
"Welcome to WordPress %s. <a href=\"%s\">Learn more</a>.","Добро пожаловать в WordPress %s. <a href=\"%s\">Узнать больше</a>."
"You are using a development version (%s). Cool! Please <a href=\"%s\">stay updated</a>.","Вы используете версию %s. Супер! <a href=\"%s\">Следите за обновлениями</a>."
"<a href=\"%s\">Get Version %s</a>","<a href=\"%s\">Скачать версию %s</a>"
"<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> is available! <a href=\"%s\">Please update now</a>.","Доступен <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a>! <a href=\"%s\">Пожалуйста, обновитесь</a>."
"<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> is available! Please notify the site administrator.","Доступен <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a>! Пожалуйста, сообщите администратору сайта."
"You are using <span class=\"b\">WordPress %s</span>.","Вы используете <span class=\"b\">WordPress %s</span>."
"Update to %s","Обновить до %s"
"Latest","текущей"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this plugin.</em>","Доступна свежая версия %s. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Посмотреть информацию о версии %s</a>. <em>Автоматическое обновление этого плагина невозможно</em>."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a> or <a href=\"%s\">update now</a>.","Доступна свежая версия %s. Можно <a href=\"%s\" class=\"thickbox\" title=\"%s\">посмотреть информацию о версии %s</a> или <a href=\"%s\">обновить сейчас</a>."
"An automated WordPress update has failed to complete - <a href=\"%s\">please attempt the update again now</a>.","Автоматическое обновление WordPress завершить не удалось &#8212; <a href=\"%s\">пожалуйста, попробуйте ещё раз</a>."
"An automated WordPress update has failed to complete! Please notify the site administrator.","Автоматическое обновление WordPress завершить не удалось! Пожалуйста, сообщите администратору сайта."
"<strong><em>Note that password</em></strong> carefully! It is a <em>random</em> password that was generated just for you.","<strong><em>Запомните этот пароль!</em></strong> Он абсолютно <em>случаен</em> и создан специально для вас."
"Your chosen password.","Выбранный вами пароль."
"User already exists. Password inherited.","Пользователь уже существует. Пароль унаследован."
"The password you chose during the install.","Пароль, выбранный вами при установке."
"Welcome to WordPress. This is your first post. Edit or delete it, then start blogging!","Добро пожаловать в WordPress. Это ваша первая запись. Отредактируйте или удалите её, затем пишите!"
"Hello world!","Привет, мир!"
"hello-world","привет-мир"
"Mr WordPress","Мистер WordPress"
"Hi, this is a comment.\nTo delete a comment, just log in and view the post&#039;s comments. There you will have the option to edit or delete them.","Привет! Это комментарий.\nЧтобы удалить его, авторизуйтесь и просмотрите комментарии к записи. Там будут ссылки для их изменения или удаления."
"This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:\n\n<blockquote>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my blog. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</blockquote>\n\n...or something like this:\n\n<blockquote>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</blockquote>\n\nAs a new WordPress user, you should go to <a href=\"%s\">your dashboard</a> to delete this page and create new pages for your content. Have fun!","Это пример страницы. От записей в блоге она отличается тем, что остаётся на одном месте и отображается в меню сайта (в большинстве тем). На странице &laquo;Детали&raquo; владельцы сайтов обычно рассказывают о себе потенциальным посетителям. Например, так:\n\n<blockquote>Привет! Днём я курьер, а вечером &#8212; подающий надежды актёр. Это мой блог. Я живу в Ростове-на-Дону, люблю своего пса Джека и пинаколаду. (И ещё попадать под дождь.)</blockquote>\n\n...или так:\n\n<blockquote>Компания &laquo;Штучки XYZ&raquo; была основана в 1971 году и с тех пор производит качественные штучки. Компания находится в Готэм-сити, имеет штат из более чем 2000 сотрудников и приносит много пользы жителям Готэма.</blockquote>\n\nПерейдите <a href=\"%s\">в консоль</a>, чтобы удалить эту страницу и создать новые. Успехов!"
"Sample Page","Пример страницы"
"Your new WordPress site has been successfully set up at:\n\n%s\n\nYou can log in to the administrator account with the following information:\n\nUsername: %s\nPassword: %s\n\nWe hope you enjoy your new site. Thanks!\n\n--The WordPress Team\nhttp://wordpress.org/\n","Ваш новый сайт на WordPress успешно создан по адресу:\n\n%s\n\nВы можете войти в панель управления со следующими координатами:\n\nИмя пользователя: %s\nПароль: %s\n\nМы надеемся, что вам понравится новый сайт. Спасибо!\n\n--Команда разработчиков WordPress\nhttp://wordpress.org/\n"
"New WordPress Site","Новый сайт на WordPress"
"You can&#8217;t give users that role.","Вы не можете присваивать пользователям эту роль."
"<strong>ERROR</strong>: You entered your new password only once.","<strong>ОШИБКА</strong>: Вы ввели новый пароль только один раз."
"<strong>ERROR</strong>: Please enter your password.","<strong>ОШИБКА</strong>: Пожалуйста, введите пароль."
"<strong>ERROR</strong>: Please enter your password twice.","<strong>ОШИБКА</strong>: Пожалуйста, введите пароль дважды."
"<strong>ERROR</strong>: Passwords may not contain the character \"\\\".","<strong>ОШИБКА</strong>: Пароль не должен содержать символ \"\\\"."
"<strong>ERROR</strong>: Please enter the same password in the two password fields.","<strong>ОШИБКА</strong>: Пожалуйста, введите одинаковые пароли в обоих полях."
"<strong>ERROR</strong>: Please enter an e-mail address.","<strong>ОШИБКА</strong>: Пожалуйста, введите адрес e-mail."
"Notice:","Уведомление:"
"You&rsquo;re using the auto-generated password for your account. Would you like to change it to something easier to remember?","Вы используете автоматически созданный пароль для учётной записи. Хотите сменить его на что-то легко запоминаемое?"
"Yes, take me to my profile page","Да, перейти на страницу профиля"
"No thanks, do not remind me again","Нет, спасибо. Больше не напоминать мне об этом."
"Welcome to your WordPress Dashboard! This is the screen you will see when you log in to your site, and gives you access to all the site management features of WordPress. You can get help for any screen by clicking the Help tab in the upper corner.","Добро пожаловать в консоль WordPress! Этот экран вы будете видеть после авторизации. Он даёт доступ ко всем функциям управления сайтом. Можно получить помощь по каждому экрану, нажав на вкладку &laquo;Помощь&raquo; в правом верхнем углу."
"The left-hand navigation menu provides links to all of the WordPress administration screens, with submenu items displayed on hover. You can minimize this menu to a narrow icon strip by clicking on the Collapse Menu arrow at the bottom.","В меню навигации слева расположены ссылки на все экраны управления WordPress, а при наведении курсора появляются подменю. Можно свернуть меню в узкую полоску иконок, нажав на ссылку &laquo;Свернуть меню&raquo; внизу."
"Links in the Toolbar at the top of the screen connect your dashboard and the front end of your site, and provide access to your profile and helpful WordPress information.","Ссылки в верхней панели соединяют консоль с внешней частью сайта, а также предоставляют доступ к вашему профилю и к полезной информации о WordPress."
"You can use the following controls to arrange your Dashboard screen to suit your workflow. This is true on most other administration screens as well.","Вы можете использовать следующие элементы управления, чтобы настроить консоль согласно своим предпочтениям. Это относится и ко многим другим экранам панели управления."
"<strong>Screen Options</strong> - Use the Screen Options tab to choose which Dashboard boxes to show, and how many columns to display.","<strong>Настройки экрана</strong> &#8212; используйте вкладку &laquo;Настройки экрана&raquo;, чтобы выбрать нужные блоки и количество столбцов."
"<strong>Drag and Drop</strong> - To rearrange the boxes, drag and drop by clicking on the title bar of the selected box and releasing when you see a gray dotted-line rectangle appear in the location you want to place the box.","<strong>Перетаскивание</strong> &#8212; чтобы перегруппировать блоки, сделайте щелчок на заголовке выбранного блока, начните перетаскивать его и отпустите, когда увидите прямоугольник с пунктирной рамкой на том месте, куда вы хотите поместить блок."
"<strong>Box Controls</strong> - Click the title bar of the box to expand or collapse it. In addition, some boxes have configurable content, and will show a &#8220;Configure&#8221; link in the title bar if you hover over it.","<strong>Настройки блока</strong> &#8212; нажмите на заголовок блока, чтобы развернуть или свернуть его. Некоторые блоки поддаются дополнительным изменениям &#8212; при наведении курсора на их заголовок появится ссылка &laquo;Настроить&raquo;."
"Layout","Разметка"
"The boxes on your Dashboard screen are:","На экране &laquo;Консоль&raquo; доступны следующие блоки:"
"<strong>Right Now</strong> - Displays a summary of the content on your site and identifies which theme and version of WordPress you are using.","<strong>Прямо сейчас</strong> &#8212; отображает статистику содержимого вашего сайта, показывает используемую тему и версию WordPress."
"<strong>Recent Comments</strong> - Shows the most recent comments on your posts (configurable, up to 30) and allows you to moderate them.","<strong>Свежие комментарии</strong> &#8212; показывает самые свежие комментарии к вашим записям (количество настраивается, до 30) и позволяет модерировать их."
"<strong>Incoming Links</strong> - Shows links to your site found by Google Blog Search.","<strong>Входящие ссылки</strong> &#8212; показывает ссылки на ваш сайт, найденные службой поиска Google по блогам."
