"New password","Nytt lösenord"
"ID #%s: %s <strong>You don't have permission to remove this user.</strong>","ID #%s: %s <strong>Du saknar behörighet för att ta bort denna användare.</strong>"
"Confirm Removal","Bekräfta borttagning"
"There are no valid users selected for removal.","Inga giltiga användare är valda för borttagning."
"User deleted.","Användare raderad."
"%s users deleted.","%s användare raderade."
"New user created. <a href=\"%s\">Edit user</a>","Ny användare skapad. <a href=\"%s\">Redigera användare</a>"
"New user created.","Ny användare skapad."
"Changed roles.","Rollerna är ändrade."
"The current user&#8217;s role must have user editing capabilities.","Den nuvarande användarens roll måste ha rättigheten för att ändra användares rättigheter."
"Other user roles have been changed.","Andra användares roller har ändrats."
"You can&#8217;t delete the current user.","Du kan inte radera den nuvarande användaren."
"Other users have been deleted.","Andra användare har raderats."
"User removed from this site.","Användaren har tagits bort från den här webbplatsen."
"You can't remove the current user.","Du kan inte radera den nuvarande användaren."
"Other users have been removed.","Andra användare har tagits bort."
"Widgets are independent sections of content that can be placed into any widgetized area provided by your theme (commonly called sidebars). To populate your sidebars/widget areas with individual widgets, drag and drop the title bars into the desired area. By default, only the first widget area is expanded. To populate additional widget areas, click on their title bars to expand them.","Widgets är oberoende delar av innehåll som kan placeras i de widgetfält som finns i ditt tema (allmänt kallat sidopanel). För att fylla dina sidopaneler/widgetfält med enskilda widgets, dra och släpp titellisterna till önskat fält. Som standard så är bara den första widgetfältet utvidgat. Om du vill fylla ytterligare widgetfält, klicka på deras titelrad för att expandera dem."
"The Available Widgets section contains all the widgets you can choose from. Once you drag a widget into a sidebar, it will open to allow you to configure its settings. When you are happy with the widget settings, click the Save button and the widget will go live on your site. If you click Delete, it will remove the widget.","Sektionen Tillgängliga widgets innehåller alla widgets som du kan välja mellan. När du drar en widget till en sidopanel så kommer den att öppna för att låta dig konfigurera dess inställningar. När du är nöjd med widgeten inställningarna klickar du på knappen Spara och widget kommer att visas live på din webbplats. Om du klickar Radera så tas widgeten bort."
"Removing and Reusing","Borttagning och återanvändning"
"If you want to remove the widget but save its setting for possible future use, just drag it into the Inactive Widgets area. You can add them back anytime from there. This is especially helpful when you switch to a theme with fewer or different widget areas.","Om du vill ta bort widgets men spara dess inställningar för framtida användning, dra helt enkelt bara widgeten till panelen Inaktiva widgets. Du kan när som helst återanvända dessa widgets. Kan vara särskilt användbart när man byter till ett tema med en annan uppsättning widgets."
"Widgets may be used multiple times. You can give each widget a title, to display on your site, but it&#8217;s not required.","Widgets kan användas flera gånger. Du kan ange en titel som visas på din sida för varje widget, men det är inte obligatoriskt."
"Enabling Accessibility Mode, via Screen Options, allows you to use Add and Edit buttons instead of using drag and drop.","Att aktivera kompatibilitetsläge via Panelinställningar tillåter dig att använda knapparna Lägg till och Redigera istället för dra och släpp."
"Missing Widgets","Saknade widgets"
"Many themes show some sidebar widgets by default until you edit your sidebars, but they are not automatically displayed in your sidebar management tool. After you make your first widget change, you can re-add the default widgets by adding them from the Available Widgets area.","Många teman visar ett par widgets som standard tills du redigera din sidopaneler, men de visas inte automatiskt i widgethanteraren. När du gör dina första ändringar för widgetfälten så kan du lägga till motsvarande standardwidgets från panelen Tillgängliga widgets."
"When changing themes, there is often some variation in the number and setup of widget areas/sidebars and sometimes these conflicts make the transition a bit less smooth. If you changed themes and seem to be missing widgets, scroll down on this screen to the Inactive Widgets area, where all of your widgets and their settings will have been saved.","När man ändrar teman så förekommer ofta variationer på antal tillgängliga widgetfält och detta kan i vissa fall röra till det. Om du byter teman och verkar sakna widgets, rulla ner en bit på denna sida, till panelen Inaktiva widgets där du hittar alla dina widgets med sina inställningar sparade."
"<a href=\"http://codex.wordpress.org/Appearance_Widgets_Screen\" target=\"_blank\">Documentation on Widgets</a>","<a href=\"http://codex.wordpress.org/Appearance_Widgets_Screen\" target=\"_blank\">Dokumentation för widgets</a>"
"The theme you are currently using isn&#8217;t widget-aware, meaning that it has no sidebars that you are able to change. For information on making your theme widget-aware, please <a href=\"http://codex.wordpress.org/Widgetizing_Themes\">follow these instructions</a>.","Temat du använder stöder inte widgets. Det innebär att det inte finns några sidopaneler som du kan ändra på. <a href=\"http://wp-support.se/dokumentation/Modifiering:Aktivera_widgets_för_tema\">Följ de här instruktionerna</a> för att lägga till stöd för widgets i ditt tema."
"Inactive Sidebar (not used)","Inaktivt sidofält (används inte)"
"This sidebar is no longer available and does not show anywhere on your site. Remove each of the widgets below to fully remove this inactive sidebar.","Detta sidofält är inte längre tillgängligt och visas inte någonstans på din webbplats. Ta bort varje widget nedan för att helt ta bort detta inaktiva sidofält."
"Inactive Widgets","Inaktiva widgets"
"Drag widgets here to remove them from the sidebar but keep their settings.","Dra widgets hit för att inaktivera dem på sidan men behålla dess inställningar."
"Select both the sidebar for this widget and the position of the widget in that sidebar.","Välj både panel och position i den panelen för denna widget."
"Save Widget","Spara widget"
"Changes saved.","Ändringar sparade."
"Error while saving.","Fel vid sparande."
"Error in displaying the widget settings form.","Ett fel uppstod när inställningsformuläret för widgeten skulle visas."
"Available Widgets","Tillgängliga widgets"
"Deactivate","Inaktivera"
"Drag widgets from here to a sidebar on the right to activate them. Drag widgets back here to deactivate them and delete their settings.","Dra widgets nedan till en panel till höger för att aktivera dem. Dra dem tillbaka hit för att inaktivera dem och radera dess inställningar."
"Used by millions, Akismet is quite possibly the best way in the world to <strong>protect your blog from comment and trackback spam</strong>. It keeps your site protected from spam even while you sleep. To get started: 1) Click the \"Activate\" link to the left of this description, 2) <a href=\"http://akismet.com/get/?return=true\">Sign up for an Akismet API key</a>, and 3) Go to your Akismet configuration page, and save your API key.","Använt av miljoner, Akismet är troligen det absolut bästa sättet att <strong>skydda din webbplats från skräppost i kommentars och trackbacks</strong>. Det skyddar din webbplats från skräppost även när du sover. För att komma igång: 1) Klicka på länken \"Aktivera\" till vänster om beskrivningen, 2) <a href=\"http://akismet.com/get/?return=true\">Registrera dig för en Akismet API-nyckel</a>, och 3) Gå till sidan för <a href=\"admin.php?page=akismet-key-config\">Konfiguration av Akismet</a>, och spara din API-nyckel."
"This is not just a plugin, it symbolizes the hope and enthusiasm of an entire generation summed up in two words sung most famously by Louis Armstrong: Hello, Dolly. When activated you will randomly see a lyric from <cite>Hello, Dolly</cite> in the upper right of your admin screen on every page.","Detta är inte bara ett tillägg, det symboliserar hopp och entusiasm för en hel generation summerat i två ord, mest känt vokaliserat av Louis Armstrong: Hello, Dolly. När aktiverat så visas slumpvalda delar av texten från <cite>Hello, Dolly</cite> uppe i det högra hörnet av din adminpanel."
"It looks like you're using an old version of <a href='%s'>%s</a>. For the best WordPress experience, please update your browser.","Det ser ut som du använder en gammal version av <a href='%s'>%s</a>. För bästa upplevels med WordPress, vänligen uppdatera din webbläsare."
"<a href=\"%s\" class=\"update-browser-link\">Update %s</a> or learn how to <a href=\"%s\" class=\"browse-happy-link\">browse happy</a>","<a href=\"%s\" class=\"update-browser-link\">Uppdatera %s</a> eller lär dig mer om hur du<a href=\"%s\" class=\"browse-happy-link\">surfar med glädje</a>"
"Welcome to WordPress!","Välkommen till WordPress!"
"We&#8217;ve assembled some links to get you started:","Vi har sammanställt ett par länkar så att du kan komma igång:"
"Get Started","Kom igång"
"Customize Your Site","Anpassa din webbplats"
"or, <a href=\"%s\">change your theme completely</a>","eller <a href=\"%s\">ändra tema helt</a>"
"Next Steps","Nästa steg"
"Edit your front page","Redigera din startsida"
"Add additional pages","Lägg till ytterligare sidor"
"Add a blog post","Skapa ett blogginlägg"
"Write your first blog post","Skriv ditt första inlägg"
"Add an About page","Lägg till en sida om dig själv"
"View your site","Visa din webbplats"
"More Actions","Fler åtgärder"
"Manage <a href=\"%s\">widgets</a> or <a href=\"%s\">menus</a>","Hantera <a href=\"%s\">widgets</a> eller <a href=\"%s\">menyer</a>"
"Turn comments on or off","Slå på eller av kommentarer"
"Learn more about getting started","Ta reda på mer om hur du kommer igång"
"No matching users were found!","Hittade inga lämpliga användare!"
"Displaying %s&#8211;%s of %s","Visar %s&#8211;%s av %s"
"Main Index Template","Huvudmall"
"Visual Editor Stylesheet","Stilmall för den visuella redigeraren"
"Visual Editor RTL Stylesheet","RTL-stilmall för visuell redigerare "
"RTL Stylesheet","RTL Stilmall"
"Popup Comments","Popup-kommentarer"
"Footer","Sidfot"
"Author Template","Mall för författare"
"Tag Template","Mall för etiketter"
"Category Template","Mall för kategorier"
"Page Template","Mall för sidor"
"Search Form","Sökformulär"
"Single Post","Enskilt inlägg"
"404 Template","404-mall"
"Links Template","Mall för länkar"
"Theme Functions","Temafunktioner"
"Attachment Template","Mall för bilagor"
"Image Attachment Template","Mall för bildbilagor"
"Video Attachment Template","Mall för videobilagor"
"Audio Attachment Template","Mall för ljudbilagor"
"Application Attachment Template","Mall för formbilagor"
"my-hacks.php (legacy hacks support)","my-hacks.php (stöd för gamla hack)"
".htaccess (for rewrite rules )",".htaccess (för omskrivningsregler)"
"Comments Template","Mall för kommentarer"
"Popup Comments Template","Mall för poppuppkommentarer"
"%s Page Template","%s sidmall"
"Sorry, can&#8217;t edit files with &#8220;..&#8221; in the name. If you are trying to edit a file in your WordPress home directory, you can just type the name of the file in.","Kan tyvärr inte redigera filer med &#8221;..&#8221; i namnet. Om du försöker redigera en fil i WordPress hemkatalog, behöver du bara skriva in namnet på filen."
"The uploaded file exceeds the upload_max_filesize directive in php.ini.","Den uppladdade filen överskrider upload_max_filesize direktivet i php.ini."
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form.","Den uppladdade filen överskrider MAX_FILE_SIZE direktivet som angavs i HTML-formuläret."
"The uploaded file was only partially uploaded.","Filen är endast delvis uppladdad."
"No file was uploaded.","Ingen fil laddades upp."
"Missing a temporary folder.","En temporär katalog saknas."
"Failed to write file to disk.","Kan inte skriva till disken."
"File upload stopped by extension.","Filuppladdningen stoppades av PHP-tillägget."
"Invalid form submission.","Ogiltigt formulär."
"File is empty. Please upload something more substantial.","Filen är tom. Var vänlig ladda upp något mer substantiellt."
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini or by post_max_size being defined as smaller than upload_max_filesize in php.ini.","Filen är tom. Vänligen ladda upp något med lite mer substans. Felet kan också bero på att uppladdningar är inaktiverade i din php.ini eller att den post_max_size som har definierats är lägre än upload_max_filesize i php.ini"
"Specified file failed upload test.","Den valda filen klarade inte uppladdningsprovet."
"Sorry, this file type is not permitted for security reasons.","Tyvärr, denna filtyp inte tillåtet av säkerhetsskäl."
"The uploaded file could not be moved to %s.","Kunde inte flytta den uppladdade filen till %s."
"The uploaded file exceeds the <code>upload_max_filesize</code> directive in <code>php.ini</code>.","Den uppladdade filen är större är vad som tillåts enligt inställningen <code>upload_max_filesize</code> i <code>php.ini</code>."
"The uploaded file exceeds the <em>MAX_FILE_SIZE</em> directive that was specified in the HTML form.","Den uppladdade filen är större är vad som tillåts enligt inställningen <em>MAX_FILE_SIZE</em> i HTML-formuläret."
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini.","Filen är tom. Vänligen ladda upp något med lite mer substans. Felet kan också bero på att uppladdningar är avstängda i din php.ini."
"Specified file does not exist.","Den specificerade filen finns inte."
"Invalid URL Provided.","Ogiltig URL angiven."
"Could not create Temporary file.","Kunde inte skapa temporär fil."
"Incompatible Archive.","Inkompatibelt arkiv."
"Could not retrieve file from archive.","Kunde inte hämta fil från arkiv."
"Could not extract file from archive.","Kunde inte packa upp fil från arkiv."
"Could not copy file.","Kunde inte kopiera fil."
"Empty archive.","Tomt arkiv."
"<strong>ERROR:</strong> There was an error connecting to the server, Please verify the settings are correct.","<strong>FEL</strong>: Det uppstod ett fel vid anslutning till servern. Kontrollera att inställningarna är korrekta."
"Connection Information","Uppgifter för anslutning"
"To perform the requested action, WordPress needs to access your web server.","För att utföra den begärda åtgärden behöver WordPress få tillgång till din webbserver."
"Please enter your FTP or SSH credentials to proceed.","Var vänlig ange dina FTP- eller SSH-uppgifter för att fortsätta."
"FTP/SSH Username","FTP/SSH-användarnamn"
"FTP/SSH Password","FTP/SSH-lösenord"
"Please enter your FTP credentials to proceed.","Var vänlig ange dina FTP-uppgifter för att fortsätta."
"FTP Username","FTP-användarnamn"
"FTP Password","FTP-lösenord"
"If you do not remember your credentials, you should contact your web host.","Om du inte minns dina uppgifter, kontakta ditt webbhotell."
"Hostname","Servernamn"
"Authentication Keys","Identifieringsnycklar"
"Public Key:","Publik nyckel:"
"Private Key:","Privat nyckel:"
"Enter the location on the server where the keys are located. If a passphrase is needed, enter that in the password field above.","Ange sökvägen på servern där nycklarna finns tillgängliga. Om en lösenordsfras krävs, ange den i lösenordsfältet ovan."
"Connection Type","Anslutningstyp"
"Proceed","Fortsätt"
"Image data does not exist. Please re-upload the image.","Bilddata saknas. Var vänlig ladda upp bilden igen."
"Crop","Beskär"
"Rotate counter-clockwise","Rotera moturs"
"Rotate clockwise","Rotera medurs"
"Image rotation is not supported by your web host.","Rotering av bilder stöds inte av ditt webbhotell."
"Flip vertically","Vänd vertikalt"
"Flip horizontally","Vänd horizontalt"
"Scale Image","Skala bild"
"You can proportionally scale the original image. For best results the scaling should be done before performing any other operations on it like crop, rotate, etc. Note that if you make the image larger it may become fuzzy.","Du kan skala originalbilden proportionellt. För bästa resultat så bör skalningen genomföras innan andra förändringar görs, så som att beskära, rotera osv. Notera att om du gör bilden större så kan den bli suddig."
"Original dimensions %s","Ursprungsdimensioner %s"
"Discard any changes and restore the original image.","Förkasta alla ändringar och återställ originalbilden."
"Previously edited copies of the image will not be deleted.","Tidigare redigerade kopior av bilden kommer inte att raderas."
"Restore image","Återställ bild"
"Image Crop","Beskär bild"
"(help)","(hjälp)"
"The image can be cropped by clicking on it and dragging to select the desired part. While dragging the dimensions of the selection are displayed below.","Bilden kan beskäras genom att klicka och dra en markering av den önskade delen. Under tiden du skapar en markering så visas dess dimensioner nedan."
"Crop Aspect Ratio","Beskär bildförhållande"
"You can specify the crop selection aspect ratio then hold down the Shift key while dragging to lock it. The values can be 1:1 (square), 4:3, 16:9, etc. If there is a selection, specifying aspect ratio will set it immediately.","Du kan specificera bildförhållande för den markerade yta som ska beskäras och sedan trycka och hålla in Shift-tangenten för att låsa detsamma. Värden kan vara 1:1 (fyrkant), 4:3, 16:9, osv. Vid existerande markering så kommer angivelsen av bildförhållandet sätta dessa värden direkt."
"Crop Selection","Beskär markering"
"Once started, the selection can be adjusted by entering new values (in pixels). Note that these values are scaled to approximately match the original image dimensions. The minimum selection size equals the thumbnail size as set in the Media settings.","När du väl kommit igång så kan markeringen justeras genom att ange nya värden (i pixlar). Notera att dessa värden anpassas för att matcha originalbildens dimensioner. Den minsta möjliga storleken för en markering är den storlek som angetts för miniatyrer i inställningar för media."
"Aspect ratio:","Bildförhållande:"
"Selection:","Markering:"
"Thumbnail Settings","Inställningar för miniatyr"
"The thumbnail image can be cropped differently. For example it can be square or contain only a portion of the original image to showcase it better. Here you can select whether to apply changes to all image sizes or make the thumbnail different.","Miniatyrbilder kan beskäras på olilka sätt. Till exempel så kan de vara fyrkantiga eller bara innehålla en del av originalbilden för bättre visning. Här kan du välja om du vill ange ändringar för alla bildstorlekar eller göra miniatyren annorlunda."
"Current thumbnail","Nuvarande miniatyr"
"Apply changes to:","Utför ändringar till:"
"All image sizes","Alla bildstorlekar"
"All sizes except thumbnail","Alla storlekar förutom miniatyr"
"There are unsaved changes that will be lost. 'OK' to continue, 'Cancel' to return to the Image Editor.","Det finns icke sparade ändringar som kommer att gå förlorade.  'OK' för att fortsätta, 'Avbryt' för att återgå till bildredigeraren."
"$image needs to be an WP_Image_Editor object","$image måste vara ett WP_Image_Editor objekt"
"Use WP_Image_Editor::rotate","Använd WP_Image_Editor::rotate"
"Use WP_Image_Editor::flip","Använd WP_Image_Editor::flip"
"Cannot load image metadata.","Kan inte ladda bildens metadata."
"Cannot save image metadata.","Kan inte spara bildens metadata."
"Image metadata is inconsistent.","Bildens metadata är inkonsekvent."
"Image restored successfully.","Bilden har återställts."
"Unable to create new image.","Kunde inte skapa ny bild."
"Error while saving the scaled image. Please reload the page and try again.","Ett fel uppstod när den skalade bilden skulle sparas. Ladda om sidan och försök igen."
"Nothing to save, the image has not changed.","Det finns inget att spara, bilden har inte ändrats."
"Unable to save the image.","Kunde inte spara bilden."
"Image saved","Bilden sparad."
"Install the Blogger importer to import posts, comments, and users from a Blogger blog.","Installera Blogger-importören för att importera inlägg, kommentarer och användare från en Blogger-blogg."
"Categories and Tags Converter","Kategori och etikett-konvertering"
"Install the category/tag converter to convert existing categories to tags or tags to categories, selectively.","Installera kategori/etikett-konverteraren för att konvertera existerande kategorier till etiketter eller vise versa selektivt."
"Install the LiveJournal importer to import posts from LiveJournal using their API.","Installera importören för LiveJournal för att importera inlägg från LiveJournal genom att använda deras API."
"Movable Type and TypePad","Movable Type och TypePad"
"Install the Movable Type importer to import posts and comments from a Movable Type or TypePad blog.","Installera Movable Type-importören för att importera inlägg och kommentarer från en Movable Type- eller TypePad-blogg."
"Blogroll","Länklista"
"Install the blogroll importer to import links in OPML format.","Installera länklisteimportören för att importera länkar i OPML-format."
"Install the RSS importer to import posts from an RSS feed.","Installera RSS-importören för att importera inlägg från ett RSS-flöde."
"Install the Tumblr importer to import posts &amp; media from Tumblr using their API.","Installera Tumblr-importören för att importera inlägg &amp; media från Tumblr via deras API."
"Install the WordPress importer to import posts, pages, comments, custom fields, categories, and tags from a WordPress export file.","Installera WordPress-importören för att importera inlägg, kommentarer, anpassade fält, sidor, kategorier och etiketter från en WordPress-exportfil."
"From Computer","Från dator"
"From URL","Från adressen"
"Gallery (%s)","Galleri (%s)"
"Uploads","Uppladdningar"
"File URL","Filadress"
"Attachment Post URL","Bilagans inläggsadress"
"Empty Title filled from filename.","Rensa titel ifylld från filnamnet."
"Location of the uploaded file.","Plats för den uppladdade filen."
"Alt text for the image, e.g. &#8220;The Mona Lisa&#8221;","Alternerande text, ex. &#8221;Mona Lisa&#8221;"
"Show","Visa"
"Hide","Göm"
"File name:","Filnamn:"
"File type:","Filtyp:"
"Upload date:","Uppladdat den:"
"Dimensions:","Dimensioner:"
"Insert into Post","Infoga i innehåll"
"You are about to delete <strong>%s</strong>.","Du håller på att radera följande <strong>%s</strong>."
"Continue","Fortsätt"
"Drop files here","Släpp filer här"
"or","eller"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the browser uploader for files over 100MB.","Din webbläsare har vissa begränsningar vid uppladdning av stora filer med multifilsuppladdaren. Använd den webbläsarbaserade uppladdaren för filer över 100MB."
"Add media files from your computer","Välj en fil på din dator"
"Save all changes","Spara alla ändringar"
"Insert media from another website","Infoga media från en annan webbplats"
"All Tabs:","Alla flikar"
"Sort Order:","Sorteringsordning:"
"Ascending","Stigande"
"Descending","Fallande"
"Link thumbnails to:","Länka miniatyrer till:"
"Image File","Bildfil"
"Order images by:","Ordna bilder efter:"
"Menu order","Menyordning"
"Date/Time","Datum/Tid"
"Order:","Ordning:"
"Gallery columns:","Gallerikolumner:"
"Update gallery settings","Uppdatera inställningar för galleri"
"Search Media","Sök media"
"All Types","Alla typer"
"Filter &#187;","Filtrera &#187;"
"Image Caption","Bildbeskrivning"
"Audio, Video, or Other File","Ljud, video eller annan fil"
"Link text, e.g. &#8220;Ransom Demands (PDF)&#8221;","Länktext, ex. &#8221;Min CV (PDF)&#8221;"
"Link Image To:","Länka bild till:"
"Link to image","Länk till bild"
"You are using the multi-file uploader. Problems? Try the <a href=\"%s\" target=\"%s\">browser uploader</a> instead.","Du använder multifilsuppladdaren. Problem? Försök med <a href=\"%s\" target=\"%s\">webbläsarbaserade uppladdaren</a> istället."
"You are using the browser&#8217;s built-in file uploader. The WordPress uploader includes multiple file selection and drag and drop capability. <a href=\"#\">Switch to the multi-file uploader</a>.","Du använder den webbläsarbaserade uppladdaren. WordPress uppladdare inkluderar funktioner för att välja flera filer åt gången och dra och släpp. <a href=\"#\">Växla till multifilsuppladdaren</a>."
"Scale images to match the large size selected in %simage options%s (%s3$d &times; %s4$d).","Skala bilder för att matcha den storlek valts under %sbildinställningar%s2​​$s (%s3$d &times; %s4$d)."
"Sorry, you have used all of your storage quota of %s MB.","Beklagar, du har använt hela din utrymmeskvot av %s MB."
"File URL:","Fil-URL:"
"You do not have sufficient permissions to access this page.","Du har inte tillräcklig behörighet för att få tillgång till denna sida."
"Preview Changes","Förhandsgranska ändringar"
"Visibility:","Synlighet:"
"Password protected","Lösenordsskyddat"
"Stick this post to the front page","Klistra det här inlägget till förstasidan"
"Scheduled for: <b>%s</b>","Tidsinställt för: <b>%s</b>"
"Published on: <b>%s</b>","Publicerat den: <b>%s</b>"
"Publish <b>immediately</b>","Publicera <b>direkt</b>"
"Schedule for: <b>%s</b>","Tidsinställ för: <b>%s</b>"
"Publish on: <b>%s</b>","Publicera den: <b>%s</b>"
"Uploaded on: <b>%s</b>","Uppladdad den: <b>%s</b>"
"Most Used","Mest använda"
"Excerpts are optional hand-crafted summaries of your content that can be used in your theme. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Learn more about manual excerpts.</a>","Utdrag är en handskriven valfri summering av innehållet i ditt inlägg som kan användas i temat. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Lär dig mer om manuella utdrag.</a>"
"Already pinged:","Redan pingat:"
"Send trackbacks to:","Skicka trackbacks till:"
"Separate multiple URLs with spaces","Separera flera URLer med mellanslag"
"Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. If you link other WordPress sites they&#8217;ll be notified automatically using <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, no other action necessary.","Trackbacks är ett sätt att notifiera andra bloggsystem att du har länkat till dem. Om du länkar till en annan WordPress-webbplats så kommer dom att notifieras automatiskt med <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, inget behöver då anges."
"Custom fields can be used to add extra metadata to a post that you can <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">use in your theme</a>.","Egna fält kan användas för att lägga till extra metadata som du sedan kan <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">hämta via ditt tema</a>."
"Allow comments.","Tillåt kommentarer."
"Allow <a href=\"%s\" target=\"_blank\">trackbacks and pingbacks</a> on this page.","Tillåt <a href=\"%s\" target=\"_blank\">trackbacks and pingar</a> till den här sidan."
"Add comment","Lägg till kommentar"
"Show comments","Visa kommentarer"
"(no parent)","(utan förälder)"
"Need help? Use the Help tab in the upper right of your screen.","Behöver du hjälp? Använd fliken Hjälp uppe till höger."
"Visit Link","Besök länk"
"Keep this link private","Behåll denna länk privat"
"You are about to delete this link '%s'\n 'Cancel' to stop, 'OK' to delete.","Du är på väg att radera länken '%s'\n  'Avbryt' för att avbryta, 'OK' för att radera."
"+ Add New Category","+ Lägg till ny kategori"
"New category name","Nytt kategorinamn"
"<code>_blank</code> &mdash; new window or tab.","<code>_blank</code> &mdash; nytt fönster eller flik."
"<code>_top</code> &mdash; current window or tab, with no frames.","<code>_top</code> &mdash; nuvarande fönster eller flik, utan ramar."
"<code>_none</code> &mdash; same window or tab.","<code>_none</code> &mdash; samma fönster eller flik."
"Choose the target frame for your link.","Välj hur din länk ska öppnas."
"identity","identitet"
"another web address of mine","en annan webbsida jag skapat"
"friendship","vänskap"
"contact","kontakt"
"acquaintance","bekant"
"friend","vän"
"physical","fysisk"
"met","träffats"
"professional","arbete"
"co-worker","arbetskamrat"
"colleague","kollega"
"geographical","geografisk"
"co-resident","samboende"
"neighbor","granne"
"family","familj"
"child","barn"
"kin","släkt"
"parent","förälder"
"sibling","syskon"
"spouse","make/maka"
"romantic","romantisk"
"muse","inspiration"
"crush","förälskelse"
"date","träff"
"sweetheart","älskling"
"If the link is to a person, you can specify your relationship with them using the above form. If you would like to learn more about the idea check out <a href=\"http://gmpg.org/xfn/\">XFN</a>.","Om länken är till en person så kan du specificera din relation till personen med valen ovan. Om du vill veta mer om relationslänkar så kan du besöka <a href=\"http://gmpg.org/xfn/\">XFN</a>."
"Image Address","Bildadress"
"RSS Address","RSS-adress"
"Notes","Noteringar"
"(Leave at 0 for no rating.)","(lämna som 0 om du inte vill ange omdöme)"
"Admin Color Scheme","Färgschema för adminpanel"
"Sorry, you must delete files before you can upload any more.","Beklagar, du måste radera filer innan du kan ladda upp nya."
"Not enough space to upload. %s KB needed.","Inte tillräckligt med utrymme för att ladda upp. %s KB behövs."
"This file is too big. Files must be less than %s KB in size.","Den här filen är för stor. Filer måste vara mindre än %s Kb."
"You have used your space quota. Please delete files before uploading.","Du har använt allt tilldelat utrymme. Var vänlig radera några filer för att kunna ladda upp nya."
"Back","Tillbaka"
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Kära användare,\n\nDu efterfrågade nyligen en ändring av den administrativa e-postadressen\nför din webbplats.\nOm detta är korrekt, var vänlig klicka på följande länk för att genomföra ändringen:\n###ADMIN_URL###\n\nDu kan ignorera och radera detta meddelande om du inte önskar utför\ndenna åtgärd.\nDet här meddelandet har skickats till ###EMAIL###\n\nHälsningar,\nAlla på ###SITENAME###\n###SITEURL### "
"[%s] New Admin Email Address","[%s] Ny e-postadress för admin"
"<strong>ERROR</strong>: The email address is already used.","<strong>FEL</strong>: E-postadressen används redan."
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Kära användare,\n\nDu efterfrågade nyligen en ändring av e-postadressen för ditt konto.\nOm detta är korrekt, var vänlig klicka på följande länk för att genomföra ändringen:\n###ADMIN_URL###\n\nDu kan ignorera och radera detta meddelande om du inte önskar utför\ndenna åtgärd.\n\nDet här meddelandet har skickats till ###EMAIL###\n\nHälsningar,\nAlla på ###SITENAME###\n###SITEURL###"
"[%s] New Email Address","[%s] Ny e-postadress"
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.","Din e-postadress har inte uppdaterats än. Var vänlig kolla i din inkorg för %s efter ett bekräftelsemeddelande."
"Sorry, you have used your space allocation. Please delete some files to upload more files.","Du har använt allt tilldelat utrymme. Var vänlig radera några filer för att kunna ladda upp nya."
"Used: %s%s% of %s","Använt: %s%s% av %s"
"Site Upload Space Quota","Utrymmeskvot för uppladdning på webbplats"
"MB (Leave blank for network default)","MB (Lämna tomt för nätverksstandard)"
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.","Du försökte få tillgång till adminpanelen för \"%s\", men du har för närvarande inte behörighet på denna webbplats. Om du anser att du bör kunna få tillgång till adminpanelen på \"%s\", kontakta din nätverksadministratör."
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.","Om du nått denna sida av misstag och menade att besöka en av dina egna sajter så följer här några genvägar för att hjälpa dig att hitta vägen."
"Your Sites","Dina webbplatser"
"Visit Dashboard","Besök adminpanel"
"View Site","Visa webbplats"
"American English","Engelska (Amerikansk)"
"British English","Engelska (Brittisk)"
"English","Engelska"
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.","Varning! WordPress krypterar användarcookies, men du måste ange följande rader i din <strong>wp-config.php</strong> för att det ska vara säkert."
