"New password","Nieuw wachtwoord"
"Database Name","Databasenaam"
"The name of the database you want to run WP in.","De naam van de database waarin WP moet draaien."
"User Name","Gebruikersnaam"
"username","gebruikersnaam"
"Your MySQL username","Je MySQL-gebruikersnaam"
"password","wachtwoord"
"&hellip;and your MySQL password.","&hellip;en je MySQL wachtwoord."
"Database Host","Database-host"
"You should be able to get this info from your web host, if <code>localhost</code> does not work.","Je kan deze informatie opvragen bij je hosting provider als <code>localhost</code> niet werkt."
"Table Prefix","Tabelprefix"
"If you want to run multiple WordPress installations in a single database, change this.","Wanneer je meerdere WordPress installaties wil gebruiken in een database moet je dit aanpassen."
"Sorry, but I can&#8217;t write the <code>wp-config.php</code> file.","Helaas, niet mogelijk om te schrijven in <code>wp-config.php</code>."
"You can create the <code>wp-config.php</code> manually and paste the following text into it.","Je kan een <code>wp-config.php</code> handmatig aanmaken en de volgende tekst hierin plakken."
"After you&#8217;ve done that, click &#8220;Run the install.&#8221;","Wanneer je dit hebt gedaan, klik &#8220;Starten met installeren.&#8221;"
"Run the install","De installatie starten"
"All right sparky! You&#8217;ve made it through this part of the installation. WordPress can now communicate with your database. If you are ready, time now to&hellip;","Helemaal goed vriend! Dit deel van de installatie is succesvol verlopen. WordPress kan communiceren met de database. Wanneer je klaar bent, ga verder&hellip;"
"You do not have sufficient permissions to edit templates for this site.","Je hebt onvoldoende rechten om templates te bewerken op deze site."
"Edit Themes","Weergave | Thema&#39;s bewerken"
"You can use the Theme Editor to edit the individual CSS and PHP files which make up your theme.","Je kunt de Thema editor gebruiken om de individuele CSS- en PHP-bestanden te bewerken waaruit je thema is opgebouwd."
"Begin by choosing a theme to edit from the dropdown menu and clicking Select. A list then appears of all the template files. Clicking once on any file name causes the file to appear in the large Editor box.","Begin met het kiezen van een thema om te bewerken in het dropdown menu en op selecteren te klikken. Een lijst van alle bestanden van het thema verschijnt vervolgens. Klik op 1 van de bestandsnamen om het bestand te openen in de grote Editor box."
"For PHP files, you can use the Documentation dropdown to select from functions recognized in that file. Lookup takes you to a web page with reference material about that particular function.","Voor PHP-bestanden kan je het Documentatie menu gebruiken om te selecteren uit de herkende functies in dat bestand. Doorzoeken brengt je naar een webpagina met referentiemateriaal over die specifieke functie."
"After typing in your edits, click Update File.","Klik na het bewerken op Bestand bijwerken."
"<strong>Advice:</strong> think very carefully about your site crashing if you are live-editing the theme currently in use.","<strong>Advies:</strong> Denk goed na over een mogelijke sitecrash als je het huidige thema live gaat bewerken."
"Upgrading to a newer version of the same theme will override changes made here. To avoid this, consider creating a <a href=\"http://codex.wordpress.org/Child_Themes\" target=\"_blank\">child theme</a> instead.","Upgraden naar een nieuwere versie van hetzelfde thema wordt overschreven door de veranderingen die je hier maakt. Om dit te voorkomen, kun je een <a href=\"http://codex.wordpress.org/Child_Themes\" target=\"_blank\">Sub Thema&#39;s</a> cre&#235;ren."
"<a href=\"http://codex.wordpress.org/Theme_Development\" target=\"_blank\">Documentation on Theme Development</a>","<a href=\"http://codex.wordpress.org/Theme_Development\" target=\"_blank\">Documentatie over het Ontwikkelen van Thema&#39;s</a>"
"<a href=\"http://codex.wordpress.org/Using_Themes\" target=\"_blank\">Documentation on Using Themes</a>","<a href=\"http://codex.wordpress.org/Using_Themes\" target=\"_blank\">Documentatie over het gebruik van Thema&#39;s</a>"
"<a href=\"http://codex.wordpress.org/Editing_Files\" target=\"_blank\">Documentation on Editing Files</a>","<a href=\"http://codex.wordpress.org/Editing_Files\" target=\"_blank\">Documentatie over het Bewerken van Bestanden </a>"
"<a href=\"http://codex.wordpress.org/Template_Tags\" target=\"_blank\">Documentation on Template Tags</a>","<a href=\"http://codex.wordpress.org/Template_Tags\" target=\"_blank\">Documentatie over Template Tags</a>"
"The requested theme does not exist.","Dat thema bestaat niet."
"Function Name...","Functienaam..."
"Select theme to edit:","Selecteer thema om te bewerken"
"This theme is broken.","Dit thema is kapot."
"This child theme inherits templates from a parent theme, %s.","Dit subthema overerft templates van een hoofdthema, %s."
"Oops, no such file exists! Double check the name and try again, merci.","Dit bestand bestaat niet! Controleer de naam en probeer het opnieuw."
"This is a file in your current parent theme.","Dit is een bestand in je huidige hoofdthema."
"You do not have sufficient permissions to install themes on this site.","Je hebt onvoldoende rechten om thema&#39;s te installeren op deze site."
"Install Themes","Thema&#39;s installeren"
"You can find additional themes for your site by using the Theme Browser/Installer on this screen, which will display themes from the <a href=\"%s\" target=\"_blank\">WordPress.org Theme Directory</a>. These themes are designed and developed by third parties, are available free of charge, and are compatible with the license WordPress uses.","Je kunt additionele them&#39;'s vinden voor je website met de Thema Browser/Installer in dit scherm Deze laat de thema's zien van de  <a href=\"%s\" target=\"_blank\">WordPress.org Theme Directory</a>. Deze thema's zijn vormgegeven en ontwikkeld door derden, zijn gratis beschikbaar en zijn compatible met de licentie die WordPress gebruikt. "
"You can Search for themes by keyword, author, or tag, or can get more specific and search by criteria listed in the feature filter. Alternately, you can browse the themes that are Featured, Newest, or Recently Updated. When you find a theme you like, you can preview it or install it.","Je kan zoeken naar thema&#39;s met kernwoorden, auteur of tags, of je kan meer specifiek zoeken met behulp van de criteria in de eigenschap filter. Daarnaast kan je ook door de uitgelichte, nieuwste of onlangs bijgewerkte thema&#39;s bladeren. Als je een leuk thema vindt, kan je een voorbeeld bekijken of het thema installeren."
"You can Upload a theme manually if you have already downloaded its ZIP archive onto your computer (make sure it is from a trusted and original source). You can also do it the old-fashioned way and copy a downloaded theme&#8217;s folder via FTP into your <code>/wp-content/themes</code> directory.","Je kunt een thema handmatig uploaden als je deze reeds als ZIP-archief hebt gedownload (zorg ervoor dat het van een betrouwbare en originele bron afkomstig is). Je kunt het ook doen op de ouderwetse manier en de gedownloade thema&#39;s map via FTP naar je <code>/wp-content/themes</code> directory uploaden."
"Once you have generated a list of themes, you can preview and install any of them. Click on the thumbnail of the theme you&#8217;re interested in previewing. It will open up in a full-screen Preview page to give you a better idea of how that theme will look.","Zodra je een lijst van thema&#8217;s hebt gegenereerd, kan je ze vooraf bekijken of installeren. Klik op de thumbnail van het thema welke je vooraf wilt bekijken. Een nieuw volledig scherm zal geopend worden om je een beter idee te geven van het uiterlijk van het thema."
"To install the theme so you can preview it with your site&#8217;s content and customize its theme options, click the \"Install\" button at the top of the left-hand pane. The theme files will be downloaded to your website automatically. When this is complete, the theme is now available for activation, which you can do by clicking the \"Activate\" link, or by navigating to your Manage Themes screen and clicking the \"Live Preview\" link under any installed theme&#8217;s thumbnail image.","Om een thema te installeren, zodat deze kan worden bekeken en de thema instellingen gewijzigd kunnen worden, klik op de \"Installeren\" knop linksbovenin. De themabestanden worden vervolgens automatisch gedownload naar de website.Wanneer dit is afgerond is het thema beschikbaar voor activatie. Het activeren kan worden gedaan door op de \"Activeren\" link te klikken of door het Thema&#39;s scherm te openen en op \"Live voorbeeld\" link te klikken, welke beschikbaar is onder de thumbnail van een thema."
"Previewing and Installing","Voorbeeld en installeren"
"<a href=\"http://codex.wordpress.org/Using_Themes#Adding_New_Themes\" target=\"_blank\">Documentation on Adding New Themes</a>","<a href=\"http://codex.wordpress.org/Using_Themes#Adding_New_Themes\" target=\"_blank\">Documentatie over het toevoegen van nieuwe thema&#39;s</a>"
"Manage Themes","Thema&#39;s beheren"
"Aside from the default theme included with your WordPress installation, themes are designed and developed by third parties.","Behalve het standaard thema die wordt meegeleverd met WordPress worden alle thema&#39;s ontworpen en ontwikkeld door derden."
"You can see your active theme at the top of the screen. Below are the other themes you have installed that are not currently in use. You can see what your site would look like with one of these themes by clicking the Live Preview link (see \"Previewing and Customizing\" help tab). To change themes, click the Activate link.","Je kunt je geactiveerde thema bovenaan het scherm zien. Onderaan zie je de andere thema&#39;s die je hebt g&#239;ïnstalleerd, maar op dit moment niet in gebruik zijn. Je kunt zien hoe je site er uit zal zien met een van deze thema's door te klikken op de \"Voorbeeld\" link (zie \"Voorbeeld en Aanpassen\" help tab). Om thema&#39;s aan te passen, klik de \"Activeer\" link."
"Installing themes on Multisite can only be done from the Network Admin section.","Thema&#39;s voor een multisite kunnen alleen via de Netwerk admin sectie worden ge&#239;nstalleerd."
"If you would like to see more themes to choose from, click on the &#8220;Install Themes&#8221; tab and you will be able to browse or search for additional themes from the <a href=\"%s\" target=\"_blank\">WordPress.org Theme Directory</a>. Themes in the WordPress.org Theme Directory are designed and developed by third parties, and are compatible with the license WordPress uses. Oh, and they&#8217;re free!","Als je meer thema&#39;s wilt zien om uit te kiezen, klik op de &#8220;Thema&39;s installeren&#8221; tab. Je kunt dan bladeren en zoeken voor thema&#39;s in de <a href=\"%s\" target=\"_blank\">WordPress.org thema directory</a>. Thema&#39;s in de WordPress.org thema directory zijn vormgegeven en ontwikkeld door derden en zijn overeenkomstig met de licentie die WordPress gebruikt. Maar bovenal, en ze zijn gratis!"
"Adding Themes","Thema&#39;s toevoegen"
"Click on the \"Live Preview\" link under any theme to preview that theme and change theme options in a separate, full-screen view. Any installed theme can be previewed and customized in this way.","Klik op de \"Voorbeeld\" link onder een thema om een voorvertoning van het thema te zien en om thema opties te veranderen in een afgesplitst volledig scherm. Ieder ge&#239;nstalleerd thema kan vooraf worden bekeken en worden aangepast op deze manier."
"The theme being previewed is fully interactive &mdash; navigate to different pages to see how the theme handles posts, archives, and other page templates.","Het thema dat vooraf bekeken wordt, is volledig interactief &mdash; navigeer naar verschillende pagina&#39;s om te kijken hoe het thema de verschillende berichten, archieven en andere pagina templates afhandelt."
"In the left-hand pane you can edit the theme settings. The settings will differ, depending on what theme features the theme being previewed supports. To accept the new settings and activate the theme all in one step, click the \"Save &amp; Activate\" button at the top of the left-hand pane.","In het linker deelvenster kun je de thema opties bewerken. De opties lopen uiteen, afhankelijk van welke thema functies het thema, dat vooraf wordt bekeken, ondersteund. Om de nieuwe opties te accepteren en het thema in een stap te activeren, klik de \"Opslaan &amp; Activeren\" knop links bovenaan."
"When previewing on smaller monitors, you can use the \"Collapse\" icon at the bottom of the left-hand pane. This will hide the pane, giving you more room to preview your site in the new theme. To bring the pane back, click on the Collapse icon again.","Wanneer je op kleinere monitoren een voorbeeld bekijkt kun je de \"Inklappen\" knop gebruiken aan de linkerkant. Dit verbergt dit gedeelte zodat je meer ruimte heb om het voorbeeld van je site in het nieuwe thema goed te bekijken. Klik op dezelfde knop op het gedeelte weer zichtbaar te maken."
"Previewing and Customizing","Voorbeeld bekijken en aanpassen"
"The active theme is broken. Reverting to the default theme.","het actieve thema is kapot. Terugdraaien naar het standaard thema."
"Settings saved and theme activated. <a href=\"%s\">Visit site</a>","Instellingen opgeslagen en thema geactiveerd. <a href=\"%s\">Bezoek site</a>"
"New theme activated. <a href=\"%s\">Visit site</a>","Nieuw thema geactiveerd. <a href=\"%s\">Bezoek de site</a>."
"Theme deleted.","Theme verwijderd."
"Current theme preview","Huidig thema voorbeeld"
"Current Theme","Huidig thema"
"Options:","Opties:"
"Available Themes","Beschikbare thema&#39;s"
"Search Installed Themes","Ge&#239;nstalleerde thema&#39;s zoeken"
"Theme filters","Thema filters"
"Apply Filters","Filters toepassen"
"Close filters","Filters sluiten"
"Broken Themes","Beschadigde thema&#39;s"
"The following themes are installed but incomplete. Themes must have a stylesheet and a template.","De volgende thema&#39;s zijn ge&#239;nstalleerd, maar incompleet. Thema&#39;s moeten een stylesheet en een template bevatten."
"Categories have hierarchy, meaning that you can nest sub-categories. Tags do not have hierarchy and cannot be nested. Sometimes people start out using one on their posts, then later realize that the other would work better for their content.","Categorie&#235;n hebben een hi&#235;rarchie, wat betekent dat ze ondergebracht kunnen worden in subcategorie&#235;n. Tags hebben geen hi&#235;rarchie en kunnen niet genest worden. Soms starten mensen met gebruik van &#233;&#233;n van deze op hun berichten, terwijl ze later bedenken dat de andere beter werkt voor hun inhoud."
"The Categories and Tags Converter link on this screen will take you to the Import screen, where that Converter is one of the plugins you can install. Once that plugin is installed, the Activate Plugin &amp; Run Importer link will take you to a screen where you can choose to convert tags into categories or vice versa.","De categorie&#235;n en tags converterlink brengt je naar de importeerpagina, waar de Converteer mogelijkheid &#233;&#233;n van de plugins is welke je kunt installeren. Eenmaal ge&#239;nstalleerd, brengt de link op deze pagina je naar een scherm waar je kunt kiezen wat je wilt omzetten."
"<a href=\"http://codex.wordpress.org/Tools_Screen\" target=\"_blank\">Documentation on Tools</a>","<a href=\"http://codex.wordpress.org/Tools_Screen\" target=\"_blank\">Documentatie over hulpmiddelen</a>"
"If you want to convert your categories to tags (or vice versa), use the <a href=\"%s\">Categories and Tags Converter</a> available from the Import screen.","Als je de categorie&#235;n wilt converteren naar tags(of andersom), gebruik dan de <a href=\"%s\">Categorie&#235;n and Tags</a> converteermogelijkheid beschikbaar via het Importeerscherm."
"You do not have sufficient permissions to update this site.","Je hebt onvoldoende rechten om deze site te bewerken."
"You are using a development version of WordPress. You can update to the latest nightly build automatically or download the nightly build and install it manually:","Je gebruikt een ontwikkelversie van WordPress. Je kan automatisch updaten naar de laatste nightly build of de nightly build downloaden en handmatig installeren."
"You have the latest version of WordPress. You do not need to update. However, if you want to re-install version %s, you can do so automatically or download the package and re-install manually:","Je gebruikt de laatste versie van WordPress. Je hoeft niet bij te werken. Alleen als je versie %s opnieuw wil installeren kun je dit automatisch doen of je kunt het pakket downloaden en het handmatig installeren:"
"Re-install Now","Nu opnieuw installeren"
"You cannot update because <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> requires PHP version %s or higher and MySQL version %s or higher. You are running PHP version %s and MySQL version %s.","Het is niet mogelijk om WordPress te updaten naar <a href=\"http://codex.wordpress.org/Version_%s\">versie %s</a> omdat deze PHP versie %s of hoger vereist en MySQL versie %s of hoger. Je site draait momenteel op PHP versie %s en MySQL versie %s."
"You cannot update because <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> requires PHP version %s or higher. You are running version %s.","Het bijwerken is niet mogelijk omdat <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a>  PHP versie %s of hoger vereist. Je maakt gebruik van versie: %s."
"You cannot update because <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> requires MySQL version %s or higher. You are running version %s.","Bijwerken niet mogelijk omdat <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> MySQL versie %s of hoger vereist. Je gebruikt versie: %s."
"You can update to <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> automatically or download the package and install it manually:","Doe een geautomatiseerde update naar <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> of download het pakket hier en installeer het handmatig."
"Download %s","Versie %s downloaden"
"Hide this update","Verberg deze update"
"Bring back this update","De nieuwe versie (update) uitpakken"
"This localized version contains both the translation and various other localization fixes. You can skip upgrading if you want to keep your current translation.","Deze gelokaliseerde versie bevat zowel de vertaling en diverse andere gelokaliseerde oplossingen. Je kunt het bijwerken overslaan als je de huidige status van de vertaling wilt behouden."
"You are about to install WordPress %s <strong>in English (US).</strong> There is a chance this update will break your translation. You may prefer to wait for the localized version to be released.","Je staat op het punt WordPress %s te installeren in de <strong>Engelse taal(US)</strong>. Er bestaat een kans dat deze update je vertaling verwijdert. Misschien wil je wachten tot WordPress in je eigen taal beschikbaar is?"
"Show hidden updates","Verborgen updates tonen"
"Hide hidden updates","Verborgen updates verbergen"
"You have the latest version of WordPress.","Je hebt de laatste versie van WordPress."
"<strong>Important:</strong> before updating, please <a href=\"http://codex.wordpress.org/WordPress_Backups\">back up your database and files</a>. For help with updates, visit the <a href=\"http://codex.wordpress.org/Updating_WordPress\">Updating WordPress</a> Codex page.","<strong>Belangrijk:</strong> voordat je update, ga eerst naar <a href=\"http://codex.wordpress.org/WordPress_Backups\">database en bestanden backuppen</a>. Voor hulp met updaten, bezoek de <a href=\"http://codex.wordpress.org/Updating_WordPress\">WordPress updaten</a> Codex pagina."
"An updated version of WordPress is available.","Een nieuwe versie van WordPress is beschikbaar."
"While your site is being updated, it will be in maintenance mode. As soon as your updates are complete, your site will return to normal.","Wanneer je site geupdated wordt zal deze in onderhoudsmodus zijn. Zodra het updaten is afgerond wordt de site weer normaal."
"<a href=\"%s\">Learn more about WordPress %s</a>.","<a href=\"%s\">Meer leren over WordPress %s</a>."
"Your plugins are all up to date.","Alle plugins zijn bijgewerkt."
"The following plugins have new versions available. Check the ones you want to update and then click &#8220;Update Plugins&#8221;.","Voor de volgende plugins zijn nieuwere versies beschikbaar. Geef aan welke je wilt bijwerken en klik op &#8220;Plugins bijwerken&#8221;. "
"Compatibility with WordPress %s: 100%s% (according to its author)","Compatibel met WordPress %s: 100%s% (volgens de auteur)"
"Compatibility with WordPress %s: %s2$d%s% (%s3$d \"works\" votes out of %s4$d total)","Compatibel met WordPresss %s: %s2$d%s% (%s3$d  \"werkt\" stemmen van totaal %s4$d)"
"Compatibility with WordPress %s: Unknown","Compatibel met WordPress %s: Onbekend"
"View version %s details","Details van versie %s bekijken"
"You have version %s installed. Update to %s.","Je hebt versie %s ge&#239;nstalleerd. Naar versie %s bijwerken."
"Your themes are all up to date.","Alle thema&#39;s zijn bijgewerkt."
"The following themes have new versions available. Check the ones you want to update and then click &#8220;Update Themes&#8221;.","Voor de volgende thema&#39;s zijn nieuwe versies beschikbaar. Geef aan welke je wilt bijwerken die je wilt updaten en klik &#8220;Thema&#39;s bijwerken&#8221;. "
"<strong>Please Note:</strong> Any customizations you have made to theme files will be lost. Please consider using <a href=\"%s\">child themes</a> for modifications.","<strong>Let op:</strong> Alle aanpassingen die je aan een thema maakt raak je kwijt. De oplossing is een  <a href=\"%s\">child thema</a> te maken voor aanpassingen."
"Update Themes","Thema&#39;s bijwerken"
"Update WordPress","WordPress bijwerken"
"Installation Failed","Installatie is mislukt"
"WordPress Updates","WordPress bijwerken"
"This screen lets you update to the latest version of WordPress as well as update your themes and plugins from the WordPress.org repository. When updates are available, the number of available updates will appear in a bubble on the left hand menu as a notification.","Dit scherm laat je de laatste versie van WordPress updaten evenals je thema&#39;s en plugins vanaf de WordPress.org bibliotheek. Als er updates beschikbaar zijn, zal het aantal beschikbare updates als notificatie verschijnen in een ballonnetje in het menu aan de linkerkant."
"It is very important to keep your WordPress installation up to date for security reasons, so when you see a number appear, make sure you take the time to update, which is an easy process.","Het is belangrijk om je WordPress installatie up-to-date te houden vanwege verschillende veiligheidsredenen, zo... als je een nummer ziet verschijnen, maak dan tijd om te updaten, wat een eenvoudig proces is."
"How to Update","Hoe bijwerken"
"Updating your WordPress installation is a simple one-click procedure; just click on the Update button when it says a new version is available.","Het bijwerken van de WordPress installatie is een simpele actie; klik op de Bijwerken-knop als er wordt gemeld dat er een nieuwere versie aanwezig is."
"To update themes or plugins from this screen, use the checkboxes to make your selection and click on the appropriate Update button. Check the box at the top of the Themes or Plugins section to select all and update them all at once.","Om thema&#39;s of plugins vanaf dit scherm te updaten, gebruik de selectievakjes om je keuzes te maken en klik op de Update knop. Als je alle thema&#39;s of plugins tegelijk wilt updaten, klik dan helemaal bovenin van de sectie op het selectievakje. "
"<a href=\"http://codex.wordpress.org/Dashboard_Updates_Screen\" target=\"_blank\">Documentation on Updating WordPress</a>","<a href=\"http://codex.wordpress.org/Dashboard_Updates_Screen\" target=\"_blank\">Documentatie over het bijwerken van WordPress</a>"
"Please select one or more themes to update.","Selecteer een of meerdere  thema&#39;s om bij te werken."
"Please select one or more plugins to update.","Selecteer een of meerdere plugins om bij te werken."
"Last checked on %s at %s.","Laatste controle op %s om %s."
"Check Again","Opnieuw controleren"
"You do not have sufficient permissions to update plugins for this site.","Je hebt onvoldoende rechten om plugins bij te werken voor deze site."
"Plugin Reactivation","Plugin reactivatie"
"Plugin reactivated successfully.","Plugin met succes opnieuw geactiveerd."
"Plugin failed to reactivate due to a fatal error.","Plugin kan niet opnieuw worden geactiveerd vanwege een fatale fout."
"Installing Plugin: %s","Plugin %s wordt ge&#239;nstalleerd."
"Upload Plugin","Plugin uploaden"
"Installing Plugin from uploaded file: %s","Bezig met installeren van plugin vanuit bestand: %s"
"You do not have sufficient permissions to update themes for this site.","Je hebt onvoldoende rechten om thema&#39;s bij te werken voor deze site."
"Installing Theme: %s","Thema %s aan het installeren."
"Upload Theme","Thema uploaden"
"Installing Theme from uploaded file: %s","Bezig met installeren van thema vanuit bestand: %s"
"WordPress &rsaquo; Update","WordPress &rsaquo; bijwerken"
"No Update Required","Bijwerken niet nodig"
"Your WordPress database is already up-to-date!","Je WordPress-database is al up-to-date."
"Database Update Required","Bijwerken database vereist"
"WordPress has been updated! Before we send you on your way, we have to update your database to the newest version.","WordPress is vernieuwd! Voordat we je je eigen gang laten gaan, moeten wij de database bijwerken naar de nieuwste versie."
"The update process may take a little while, so please be patient.","Het bijwerkproces kan enige tijdje duren, wees geduldig."
"Update WordPress Database","WordPress database bijwerken"
"Update Complete","Bijwerken is afgerond"
"Your WordPress database has been successfully updated!","Je WordPress database is succesvol bijgewerkt!"
"%s queries","%s verzoeken"
"%s seconds","%s seconden"
"You are not allowed to scan for lost attachments.","Je hebt geen toestemming om te zoeken naar verloren bijlagen."
"You are not allowed to move this post to the trash.","Je hebt geen toestemming om dit bericht te verplaatsen naar de prullenbak."
"Error in moving to trash...","Fout bij het verplaatsen naar de prullenbak..."
"You are not allowed to move this post out of the trash.","Je hebt geen toestemming om dit bericht uit de prullenbak te herstellen."
"Error in restoring from trash...","Fout bij herstellen vanuit de prullenbak..."
"You are not allowed to delete this post.","Je hebt geen toestemming om dit bericht te verwijderen."
"All the files you&#8217;ve uploaded are listed in the Media Library, with the most recent uploads listed first. You can use the Screen Options tab to customize the display of this screen.","Alle bestanden die geupload zijn bevinden zich in de media bibliotheek, met de laatst geuploade bovenaan. Gebruik de <eScherminstellingentab om het uiterlijk van het scherm te wijzigen."
"You can narrow the list by file type/status using the text link filters at the top of the screen. You also can refine the list by date using the dropdown menu above the media table.","Je kunt de lijst beperken tot een bepaald bestandstype of status met de tekst link filters bovenin het scherm. Je kunt de lijst ook verfijnen op datum met het dropdown menu boven de media tabel."
"Hovering over a row reveals action links: Edit, Delete Permanently, and View. Clicking Edit or on the media file&#8217;s name displays a simple screen to edit that individual file&#8217;s metadata. Clicking Delete Permanently will delete the file from the media library (as well as from any posts to which it is currently attached). View will take you to the display page for that file.","Hoveren over een rij tonen actielinks: Bewerk, Permanent verwijderen en Bekijken. Klikken op Bewerk of klikken op de mediabestandsnaam toont een eenvoudig scherm om de individuele bestandsmetadata te bewerken. Klikken op Definitief verwijderen zal het bestand uit de mediabibliotheek verwijderen(en ook van elk bericht/pagina waar het aan is toegevoegd). Bekijken brengt je naar de schermpagina van het bestand."
"Attaching Files","Bestanden toevoegen"
"If a media file has not been attached to any post, you will see that in the Attached To column, and can click on Attach File to launch a small popup that will allow you to search for a post and attach the file.","Als een media bestand niet is toegevoegd aan een bericht, wordt dit aangegeven in de Gekoppeld aan kolom, klikken op Koppelen aan een bericht/pagina geeft een klein pop-up venster waar je kunt zoeken naar een bericht en het bestand aan kunt toevoegen."
"<a href=\"http://codex.wordpress.org/Media_Library_Screen\" target=\"_blank\">Documentation on Media Library</a>","<a href=\"http://codex.wordpress.org/Media_Library_Screen\" target=\"_blank\">Documentatie over de mediabibliotheek</a>"
"Reattached %d attachment.","Opnieuw bijgevoegd %d bijlage."
"Reattached %d attachments.","Opnieuw bijgevoegd %d bijlagen."
"Media attachment permanently deleted.","Mediabijlage permanent verwijderd."
"%d media attachments permanently deleted.","%d mediabijlagen permanent verwijderen."
"Media attachment moved to the trash.","Mediabijlage verplaatst naar de prullenbak."
"%d media attachments moved to the trash.","%d mediabijlagen verplaatst naar de prullenbak."
"Media attachment restored from the trash.","Media bijlage hersteld uit de prullenbak."
"%d media attachments restored from the trash.","%d media bijlagen hersteld uit de prullenbak."
"Media permanently deleted.","Media permanent verwijderd."
"Error saving media attachment.","Fout bij het opslaan van media-attachment."
"Media moved to the trash.","Media verplaatst naar de prullenbak."
"Media restored from the trash.","Media hersteld vanuit de prullenbak."
"Edit User","Gebruiker bewerken"
"Your profile contains information about you (your &#8220;account&#8221;) as well as some personal options related to using WordPress.","Je profiel bevat informatie over jou (jouw &#8220;account&#8221;) evenals een aantal persoonlijke opties met betrekking tot het gebruik van WordPress."
"You can change your password, turn on keyboard shortcuts, change the color scheme of your WordPress administration screens, and turn off the WYSIWYG (Visual) editor, among other things. You can hide the Toolbar (formerly called the Admin Bar) from the front end of your site, however it cannot be disabled on the admin screens.","Je kunt je wachtwoord wijzigen, de sneltoetsen inschakelen, het kleurenschema van je Dashboard wijzigen en de  WYSIWYG (What-You-See-Is-What-You-Get) bewerker uitschakelen, en wat andere dingen. Je kunt de toolbar (voorheen adminbar genoemd) verbergen van de voorkant van je site. Deze toolbar kan echter niet verwijderd worden op de dashboardschermen."
"Your username cannot be changed, but you can use other fields to enter your real name or a nickname, and change which name to display on your posts.","Je gebruikersnaam kan niet worden gewijzigd, maar je kunt gebruik maken van andere velden om je echte naam of een nickname in te voeren en die naam weergeven bij je berichten."
"Required fields are indicated; the rest are optional. Profile information will only be displayed if your theme is set up to do so.","Verplichte velden zijn aangegeven; de overige velden zijn optioneel. Profiel informatie wordt alleen weergegeven als je theme is ingesteld om dit te doen."
"Remember to click the Update Profile button when you are finished.","Let op dat je de profiel bijwerken-knop klikt zodra je klaar bent."
"<a href=\"http://codex.wordpress.org/Users_Your_Profile_Screen\" target=\"_blank\">Documentation on User Profiles</a>","<a href=\"http://codex.wordpress.org/Users_Your_Profile_Screen\" target=\"_blank\">Documentatie over gebruikersprofielen</a>"
"Use https","HTTPS gebruiken"
"Always use https when visiting the admin","Altijd HTTPS-gebruiken voor beheerhandelingen"
"You do not have permission to edit this user.","Je hebt geen rechten om deze gebruiker aan te passen."
"Important:","Belangrijk:"
"This user has super admin privileges.","Deze gebuiker heeft beheerrechten."
"Profile updated.","Profiel bijgewerkt."
"User updated.","Gebruiker bijgewerkt."
"&larr; Back to Users","&larr; Terug naar de gebruikers"
"Add Existing","Bestaande toevoegen"
"Personal Options","Persoonlijke opties"
"Visual Editor","Wysiwyg bewerking"
"Disable the visual editor when writing","De wysiwyg-teksteditor uitschakelen tijdens het schrijven"
"Keyboard Shortcuts","Sneltoetsen"
"Enable keyboard shortcuts for comment moderation.","Inschakelen toetsenbord snelkoppelingen voor het modereren van reacties."
"<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">More information</a>","<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">Meer informatie</a>"
"Show Toolbar when viewing site","Toon toolbar tijdens bekijken van de site"
"Usernames cannot be changed.","Gebruikersnamen kunnen niet worden veranderd."
"&mdash; No role for this site &mdash;","&mdash; Geen rol voor deze site &mdash;"
"Grant this user super admin privileges for the Network.","Geeft deze gebruiker super beheerrechten voor het netwerk."
"Super admin privileges cannot be removed because this user has the network admin email.","Super admin privileges kunnen niet verwijderd worden omdat deze gebruiker de eigenaar van netwerk admin e-mail is."
"First Name","Voornaam"
"Last Name","Achternaam"
"Nickname","Schermnaam"
"Display name publicly as","Schermnaam (zoals getoond op de site)"
"Contact Info","Contactinformatie"
"There is a pending change of your e-mail to <code>%s</code>. <a href=\"%s\">Cancel</a>","Een wijziging van je e-mailadres in <code>%s</code> is nog niet goedgekeurd. <a href=\"%s\">Annuleer</a>"
"About Yourself","Over jezelf"
"About the user","Over de gebruiker"
"Biographical Info","Biografie"
"Share a little biographical information to fill out your profile. This may be shown publicly.","Vertel iets over jezelf. Dit kan voor iedereen zichtbaar zijn."
"New Password","Nieuw wachtwoord"
"If you would like to change the password type a new one. Otherwise leave this blank.","Als je het wachtwoord wilt wijzigen. Anders niets invullen."
"Type your new password again.","Voer je nieuwe wachtwoord nogmaals."
"Additional Capabilities","Aanvullende mogelijkheden"
"Update Profile","Profiel bijwerken"
