"New password","Nytt passord"
"Learn more about getting started","Lær mer om å komme i gang"
"No matching users were found!","Fant ingen brukere som passet!"
"Displaying %s&#8211;%s of %s","Viser %s&#8211;%s av %s"
"Main Index Template","Hovedmal"
"Visual Editor Stylesheet","Visuell tekstbehandlermal"
"Visual Editor RTL Stylesheet","Stilsett for visuell redigering for RTL"
"RTL Stylesheet","RTL stilsett"
"Popup Comments","Kommentarer i sprettoppvindu"
"Footer","Bunntekst"
"Author Template","Forfattermal"
"Tag Template","Stikkordmal"
"Category Template","Kategorimal"
"Page Template","Sidemal"
"Search Form","Søkeskjema"
"Single Post","Enkeltinnlegg"
"404 Template","404-mal"
"Links Template","Lenkemal"
"Theme Functions","Temafunksjoner"
"Attachment Template","Vedleggsmal"
"Image Attachment Template","Bilde vedleggsmal"
"Video Attachment Template","Film vedleggsmal"
"Audio Attachment Template","Lyd vedleggsmal"
"Application Attachment Template","Applikasjon vedleggsmal"
"my-hacks.php (legacy hacks support)","my-hacks.php (støtte for gamle hacks)"
".htaccess (for rewrite rules )",".htaccess (for omskrivningsregler)"
"Comments Template","Kommentarmal"
"Popup Comments Template","Mal for sprettoppkommentarer"
"%s Page Template","%s Sidemal"
"Sorry, can&#8217;t edit files with &#8220;..&#8221; in the name. If you are trying to edit a file in your WordPress home directory, you can just type the name of the file in.","Beklager, kan ikke redigere filer med &laquo;..&raquo; i navnet. Hvis du prøver å redigere en fil som finnes i WordPress-mappen din, kan du bare skrive inn navnet."
"The uploaded file exceeds the upload_max_filesize directive in php.ini.","Den opplastede filen er større enn upload_max_filesize-regelen i php.ini."
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form.","Den opplastede filen er større enn MAX_FILE_SIZE-regelen som ble spesifisert i HTML-skjemaet."
"The uploaded file was only partially uploaded.","Filen ble bare delvis lastet opp."
"No file was uploaded.","Ingen fil ble lastet opp."
"Missing a temporary folder.","Mangler en midlertidig mappe."
"Failed to write file to disk.","Klarte ikke å skrive til disken."
"File upload stopped by extension.","Opplasting av fil ble stoppet av utvidelse."
"Invalid form submission.","Ugyldig sending av skjemaet."
"File is empty. Please upload something more substantial.","Filen er tom. Vennligst last opp noe mer innholdsrikt."
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini or by post_max_size being defined as smaller than upload_max_filesize in php.ini.","Filen er tom. Vennligst last opp noe mer innholdsrikt. Denne feilen kan også komme av at opplasting er deaktivert i php.ini eller at post_max_size er definert som mindre enn upload_max_filesize i php.ini."
"Specified file failed upload test.","Filen du angav strøk på opplastingstesten."
"Sorry, this file type is not permitted for security reasons.","Beklager, denne filtypen er ikke tillatt av sikkerhetsgrunner."
"The uploaded file could not be moved to %s.","Filen som ble lastet opp kunne ikke flyttes til %s."
"The uploaded file exceeds the <code>upload_max_filesize</code> directive in <code>php.ini</code>.","Filen du har lastet opp overstiger direktivet <code>upload_max_filesize</code> i <code>php.ini</code>."
"The uploaded file exceeds the <em>MAX_FILE_SIZE</em> directive that was specified in the HTML form.","Filen du har lastet opp overstiger direktivet <code>MAX_FILE_SIZE</code> som er satt i HTML-skjemaet."
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini.","Filen er tom. Vennligst last opp noe mer innholdsrikt. Denne feilen kan også komme av at opplasting er deaktivert i php.ini."
"Specified file does not exist.","Spesifisert fil finnes ikke."
"Invalid URL Provided.","Ugyldig URL angitt."
"Could not create Temporary file.","Kunne ikke lage midlertidig fil."
"Incompatible Archive.","Ikke kompatibelt arkiv."
"Could not retrieve file from archive.","Kunne ikke hente fil fra arkivet."
"Could not extract file from archive.","Kunne ikke pakke ut fil fra arkivet."
"Could not copy file.","Kunne ikke kopiere fil."
"Empty archive.","Tomt arkiv."
"<strong>ERROR:</strong> There was an error connecting to the server, Please verify the settings are correct.","<strong>FEIL:</strong> Det skjedde en feil i servertilkoblingen, vennligst kontroller innstillingene."
"Connection Information","Tilkoblingsinformasjon"
"To perform the requested action, WordPress needs to access your web server.","For å utføre denne handlingen trenger WordPress å lese filer på din server."
"Please enter your FTP or SSH credentials to proceed.","Vennligst skriv inn dine FTP- eller SSH-detaljer for å fortsette."
"FTP/SSH Username","FTP/SSH brukernavn"
"FTP/SSH Password","FTP/SSH passord"
"Please enter your FTP credentials to proceed.","Vennligst skriv inn innloggingsdetaljene for FTP-tilgang for å fortsette."
"FTP Username","FTP brukernavn"
"FTP Password","FTP passord"
"If you do not remember your credentials, you should contact your web host.","Hvis du ikke husker brukernavn og passord, bør du kontakte din nettjener."
"Hostname","Servernavn"
"Authentication Keys","Autentiseringsnøkler"
"Public Key:","Offentlig nøkkel:"
"Private Key:","Privat nøkkel:"
"Enter the location on the server where the keys are located. If a passphrase is needed, enter that in the password field above.","Skriv inn stedet på serveren hvor nøklene er. Bruk passordfeltet over hvis et passord kreves."
"Connection Type","Tilkoblingstype"
"Proceed","Fortsett"
"Image data does not exist. Please re-upload the image.","Bildedata finnes ikke. Vennligst last opp bilde på nytt."
"Crop","Klipp"
"Rotate counter-clockwise","Roter mot klokken"
"Rotate clockwise","Roter med klokken"
"Image rotation is not supported by your web host.","Bilderotasjon er ikke støttet av din nettserver."
"Flip vertically","Speilvend vertikalt"
"Flip horizontally","Speilvend horisontalt"
"Scale Image","Skaler bilde"
"You can proportionally scale the original image. For best results the scaling should be done before performing any other operations on it like crop, rotate, etc. Note that if you make the image larger it may become fuzzy.","Du kan skalere det originale bildet proporsjonalt. Resultatet blir best når skaleringen gjøres før andre operasjoner som klipp, roter, osv. Hvis du gjør bildet større kan det bli utydelig."
"Original dimensions %s","Original størrelse %s"
"Discard any changes and restore the original image.","Avbryt endringer og tilbakestill det originale bildet."
"Previously edited copies of the image will not be deleted.","Tidligere redigerte kopier av bildet vil ikke bli slettet."
"Restore image","Gjenopprett bilde"
"Image Crop","Utklipp av bilde"
"(help)","(hjelp)"
"The image can be cropped by clicking on it and dragging to select the desired part. While dragging the dimensions of the selection are displayed below.","Bildet kan klippes med klikk og dra for å velge ønsket del. Dimensjonene på valgt del vil vises under."
"Crop Aspect Ratio","Klipp proporsjon"
"You can specify the crop selection aspect ratio then hold down the Shift key while dragging to lock it. The values can be 1:1 (square), 4:3, 16:9, etc. If there is a selection, specifying aspect ratio will set it immediately.","Du kan låse klippets proporsjoner ved å holde nede shift-knappen under dra-operasjonen i en beskjæring. Proporsjonene kan være 1:1 (kvadratisk), 4:3, 16:9, osv. Proposjoner settes umiddelbart hvis det allerede er valgt en beskjæring."
"Crop Selection","Utklippsvalg"
"Once started, the selection can be adjusted by entering new values (in pixels). Note that these values are scaled to approximately match the original image dimensions. The minimum selection size equals the thumbnail size as set in the Media settings.","Valget kan justeres underveis ved å skrive inn nye verdier (i piksler). Merk at verdiene er skalert for å stemme omtrent med bildets dimensjoner. Minimum størrelse er størrelse på miniatyrbilde i mediainnstillinger."
"Aspect ratio:","Proporsjon:"
"Selection:","Valgt:"
"Thumbnail Settings","Miniatyrbilde innstillinger"
"The thumbnail image can be cropped differently. For example it can be square or contain only a portion of the original image to showcase it better. Here you can select whether to apply changes to all image sizes or make the thumbnail different.","Miniatyrbildet kan klippes forskjellig. Det kan f.eks. være firkantet eller inneholde bare en del av det originale bildet. Her kan du velge å lagre endringer for alle bildestørrelser eller gjøre miniatyrbildet annerledes."
"Current thumbnail","Gjeldende miniatyrbilde"
"Apply changes to:","Lagre endringer på:"
"All image sizes","Alle bildestørrelser"
"All sizes except thumbnail","Alle størrelser unntatt miniatyrbilde"
"There are unsaved changes that will be lost. 'OK' to continue, 'Cancel' to return to the Image Editor.","Det er ulagrede endringer som vil gå tapt. «OK» for å fortsette, «Avbryt» for å gå tilbake til bilderedigereren."
"$image needs to be an WP_Image_Editor object","$image må være et WP_Image_Editor-objekt"
"Use WP_Image_Editor::rotate","Bruk WP_Image_Editor::rotate"
"Use WP_Image_Editor::flip","Bruk WP_Image_Editor::flip"
"Cannot load image metadata.","Kan ikke laste bilde metadata."
"Cannot save image metadata.","Kan ikke lagre metadata for bilde."
"Image metadata is inconsistent.","Metadata for bilde er ikke konsekvent."
"Image restored successfully.","Bilde gjenopprettet."
"Unable to create new image.","Kunne ikke lage nytt bilde."
"Error while saving the scaled image. Please reload the page and try again.","En feil oppstod under lagring av skalert bilde. Vennligst last siden på nytt og prøv igjen."
"Nothing to save, the image has not changed.","Bildet har ikke blitt endret. Ingenting å lagre."
"Unable to save the image.","Kunne ikke lagre bildet."
"Image saved","Bilde lagret"
"Blogger","Gamle Blogger"
"Install the Blogger importer to import posts, comments, and users from a Blogger blog.","Installer Blogger-importereren for å importere innlegg, kommentarer og brukere fra en Blogger-blogg."
"Categories and Tags Converter","Kategorier og stikkord konverterer"
"Install the category/tag converter to convert existing categories to tags or tags to categories, selectively.","Installer kategori/stikkord-konvertereren for å selektivt konvertere eksisterende kategorier til stikkord eller stikkord til kategorier."
"Install the LiveJournal importer to import posts from LiveJournal using their API.","Installer LiveJournal-importereren for å importere innlegg fra LiveJournal med deres API."
"Movable Type and TypePad","Movable Type og TypePad"
"Install the Movable Type importer to import posts and comments from a Movable Type or TypePad blog.","Installer Movable Type-importereren for å importere innlegg og kommentarer fra en Movable Type eller Typepad-blogg."
"Blogroll","Bloggrull"
"Install the blogroll importer to import links in OPML format.","Installer blogroll-importereren for å importere lenker i OPML-format."
"Install the RSS importer to import posts from an RSS feed.","Installer RSS-importereren for å importere innlegg fra en RSS-strøm."
"Tumblr","Tumblr mikroblogg"
"Install the Tumblr importer to import posts &amp; media from Tumblr using their API.","Importer innlegg &amp; media fra Tumblrs mikroblogg ved hjelp av deres API."
"Install the WordPress importer to import posts, pages, comments, custom fields, categories, and tags from a WordPress export file.","Installer WordPress-importereren for å importere innlegg, sider, kommentarer, egendefinerte felter, kategorier og stikkord fra en WordPress-eksportfil."
"From Computer","Fra datamaskin"
"From URL","Fra URL"
"Gallery (%s)","Galleri (%s)"
"Uploads","Opplastinger"
"File URL","URL til fil"
"Attachment Post URL","URL til vedleggsbeskrivelse"
"Empty Title filled from filename.","Tom tittel utfylt fra filnavn."
"Location of the uploaded file.","URL til den opplastede filen."
"Alt text for the image, e.g. &#8220;The Mona Lisa&#8221;","Alternativ tekst for bildet, f.eks. &laquo;Skrik av Edvard Munch&raquo;"
"Show","Vis"
"Hide","Skjul"
"File name:","Filnavn:"
"File type:","Filtype:"
"Upload date:","Opplastet dato:"
"Dimensions:","Dimensjoner:"
"Insert into Post","Sett inn i innlegg"
"You are about to delete <strong>%s</strong>.","Du er i ferd med å slette <strong>%s</strong>."
"Continue","Fortsett"
"Drop files here","Slipp filer her"
"or","eller"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the browser uploader for files over 100MB.","Nettleseren din har noen begrensninger for opplasting av store filer med flerfilopplasteren. Vennligst bruk nettleserens opplaster for filer over 100MB."
"Add media files from your computer","Legg til mediafiler fra din datamaskin"
"Save all changes","Lagre alle endringer"
"Insert media from another website","Sett inn media fra en annen nettside"
"All Tabs:","Alle faner:"
"Sort Order:","Sorteringsrekkefølge:"
"Ascending","Stigende"
"Descending","Synkende"
"Link thumbnails to:","Lenk miniatyrbilder til:"
"Image File","Bildefil"
"Order images by:","Sorter bilder etter:"
"Menu order","Menyrekkefølge"
"Date/Time","Dato/tid"
"Order:","Rekkefølge:"
"Gallery columns:","Galleri kolonner:"
"Update gallery settings","Oppdater galleri innstillinger"
"Search Media","Søk i media"
"All Types","Alle typer"
"Image Caption","Undertittel for bilde"
"Audio, Video, or Other File","Audio, video eller en annen fil"
"Link text, e.g. &#8220;Ransom Demands (PDF)&#8221;","Lenketekst, f.eks. &laquo;Fjellvettreglene (PDF)&raquo;"
"Link Image To:","Lenk bilde til:"
"Link to image","Lenke til bilde"
"You are using the multi-file uploader. Problems? Try the <a href=\"%s\" target=\"%s\">browser uploader</a> instead.","Du bruker fler-filopplasteren. Problemer? Prøv <a href=\"%s\" target=\"%s\">nettleseropplasting</a> isteden."
"You are using the browser&#8217;s built-in file uploader. The WordPress uploader includes multiple file selection and drag and drop capability. <a href=\"#\">Switch to the multi-file uploader</a>.","Du bruker nettleserens innebygde opplaster. Med WordPress' flerfilopplaster kan du velge mange filer samtidig med dra-og-slipp. <a href=\"#\">Bytt til flerfilopplaster</a>"
"Scale images to match the large size selected in %simage options%s (%s3$d &times; %s4$d).","Skalere bilder for å matche den store størrelsen som er valgt i %sbilde-alternativer%s (%s3$d &times; %s4$d)."
"Sorry, you have used all of your storage quota of %s MB.","Beklager, du har brukt opp din lagringskvote på %s MB."
"File URL:","Fil-URL:"
"You do not have sufficient permissions to access this page.","Du har ikke nok rettigheter til å få tilgang til denne siden."
"Preview Changes","Forhåndsvis endringer"
"Visibility:","Synlighet:"
"Password protected","Passordbeskyttet"
"Stick this post to the front page","Gjør innlegget klebrig på forsiden"
"Scheduled for: <b>%s</b>","Planlagt for: <b>%s</b>"
"Published on: <b>%s</b>","Publisert: <b>%s</b>"
"Publish <b>immediately</b>","Publiser <b>umiddelbart</b>"
"Schedule for: <b>%s</b>","Planlegg for: <b>%s</b>"
"Publish on: <b>%s</b>","Publiser: <b>%s</b>"
"Uploaded on: <b>%s</b>","Lastet opp: <b>%s</b>"
"Most Used","Mest brukt"
"Excerpts are optional hand-crafted summaries of your content that can be used in your theme. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Learn more about manual excerpts.</a>","Utdrag er valgfri manuelt skrevet oppsummering av innholdet ditt som kan brukes i temaet ditt. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Lær mer om manuell oppsummering.</a>"
"Already pinged:","Allerede pinget:"
"Send trackbacks to:","Send tilbakesporinger til:"
"Separate multiple URLs with spaces","Skill flere URL-er med mellomrom"
"Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. If you link other WordPress sites they&#8217;ll be notified automatically using <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, no other action necessary.","Tilbakesporinger er en måte å si ifra til andre bloggsystemer at du har lenket til dem. Hvis du lenker til andre WordPress-nettsteder vil de bli fortalt dette automatisk med <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">tilbakeping</a>. Ingen manuell operasjon i tillegg er nødvendig."
"Custom fields can be used to add extra metadata to a post that you can <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">use in your theme</a>.","Tilpassede felter kan brukes til å legge til ekstra metadata til et innlegg som du kan <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">bruke i temaet ditt</a>."
"Allow comments.","Tillat kommentarer."
"Allow <a href=\"%s\" target=\"_blank\">trackbacks and pingbacks</a> on this page.","Tillat <a href=\"%s\" target=\"_blank\">tilbakesporinger og tilbakeping</a> på denne siden."
"Add comment","Legg til kommentar"
"Show comments","Vis kommentarer"
"(no parent)","(ingen forelder)"
"Need help? Use the Help tab in the upper right of your screen.","Trenger du hjelp? Bruk hjelpefanen øverst til høyre på skjermen."
"Visit Link","Gå til lenke"
"Keep this link private","Hold denne lenken privat"
"You are about to delete this link '%s'\n 'Cancel' to stop, 'OK' to delete.","Du er i ferd med å slette lenken '%s'\nKlikk enten 'Avbryt' for å stoppe handlingen, eller 'OK' for å slette."
"+ Add New Category","+ Legg til ny kategori"
"New category name","Ny kategori navn"
"<code>_blank</code> &mdash; new window or tab.","<code>_blank</code> &mdash; nytt vindu eller fane."
"<code>_top</code> &mdash; current window or tab, with no frames.","<code>_top</code> &mdash; gjeldende vindu eller fane, uten rammer."
"<code>_none</code> &mdash; same window or tab.","<code>_none</code> &mdash; samme vindu eller fane."
"Choose the target frame for your link.","Velg målramme for lenken din."
"identity","identitet"
"another web address of mine","Den andre nettadressen min"
"friendship","vennskap"
"contact","kontakt"
"acquaintance","bekjentskap"
"friend","venn"
"physical","fysisk"
"met","møtt i virkeligheten"
"professional","profesjonelt"
"co-worker","medarbeider"
"colleague","kollega"
"geographical","geografisk"
"co-resident","under samme tak"
"neighbor","nabo"
"family","familie"
"child","barn"
"kin","slektning"
"parent","forelder"
"sibling","søsken"
"spouse","ektefelle"
"romantic","romantisk"
"crush","forelsket"
"sweetheart","kjæreste"
"If the link is to a person, you can specify your relationship with them using the above form. If you would like to learn more about the idea check out <a href=\"http://gmpg.org/xfn/\">XFN</a>.","Hvis lenken er til en person kan du velge ditt forhold til dem med skjemaet over. Hvis du vil lære mer om denne ideen kan du ta en titt på <a href=\"http://gmpg.org/xfn/\">XFN</a>."
"Image Address","Bildeadresse"
"RSS Address","RSS-adresse"
"Notes","Notater"
"(Leave at 0 for no rating.)","(Velg 0 for ingen vurdering.)"
"Admin Color Scheme","Adminfargeskjema"
"Sorry, you must delete files before you can upload any more.","Beklager, du må slette filer før du kan laste opp flere."
"Not enough space to upload. %s KB needed.","Ikke nok plass til å laste opp.  %s KB trengs."
"This file is too big. Files must be less than %s KB in size.","Denne filen er for stor. Filer må være mindre enn %s kB stor."
"You have used your space quota. Please delete files before uploading.","Du har brukt opp lagringskvoten din. Vennligst slett filer før du laster opp nye."
"Back","Tilbake"
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Kjære bruker,\n\nDu ville nylig at admin-e-postadressen på \nditt nettsted skulle endres.\nHvis dette er korrekt, vennligst klikk på følgende lenke for å endre den:\n###ADMIN_URL###\n\nDu kan trygt ignorere og slette denne e-posten hvis du ikke vil\ngjøre dette.\n\nDenne e-posten har blitt sendt til ###EMAIL###\n\nVennlig hilsen,\nAlle på ###SITENAME###\n###SITEURL### "
"[%s] New Admin Email Address","[%s] Ny admin-e-postadresse"
"<strong>ERROR</strong>: The email address is already used.","<strong>FEIL</strong>: E-postadressen er allerede i bruk."
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Kjære bruker,\n\nDu ville nylig at e-postadressen til kontoen skulle endres.\nHvis dette er korrekt, vennligst klikk på følgende lenke for å endre den:\n###ADMIN_URL###\n\nDu kan trygt ignorere og slette denne e-posten hvis du ikke vil\ngjøre dette.\n\nDenne e-posten har blitt sendt til ###EMAIL###\n\nVennlig hilsen,\nAlle på ###SITENAME###\n###SITEURL### "
"[%s] New Email Address","[%s] Ny e-postadresse"
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.","Din e-postadresse har ikke blitt oppdatert ennå. Vennligst sjekk din innboks på %s for en bekreftelsese-post."
"Sorry, you have used your space allocation. Please delete some files to upload more files.","Beklager, du har brukt opp all tilgjengelig plass. Du må slette noen filer for å kunne laste opp flere."
"Used: %s%s% of %s","Brukt: %s%s% av %s"
"Site Upload Space Quota","Nettstedets lagringskvote for opplasting"
"MB (Leave blank for network default)","MB (La være blank for nettverksstandard)"
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.","Du forsøkte å få tilgang til kontrollpanelet til \"%s\", men du har for tiden ikke har rettigheter til dette nettstedet. Hvis du mener at du skal kunne få tilgang til \"%s\", vennligst kontakt din nettverksadministrator."
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.","Hvis du kom til denne skjermen ved en feil og egentlig vil besøke et av dine nettsteder, kanskje noen av snarveiene her kan hjelpe deg videre."
"Your Sites","Dine nettsteder"
"Visit Dashboard","Gå til kontrollpanel"
"View Site","Se nettsted"
"American English","Amerikansk engelsk"
"British English","Britisk engelsk"
"English","Engelsk"
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.","Advarsel! WordPress krypterer informasjonskapsler for brukere, men du må legge følgende linjer til <strong>wp-config.php</strong> for å gjøre dem mer sikre."
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:","Før linjen <code>/* That's all, stop editing! Happy blogging. */</code> bør du legge til denne koden:"
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.","Takk for at du oppdaterer! Vennligst besøk <a href=\"%s\">Oppdater nettverk</a>-siden for å oppdatere alle dine nettsteder."
"Primary Site","Primærnettsted"
"%s (Invalid)","%s (Ugyldig)"
"%s (Pending)","%s (venter)"
"Move up","Flytt opp"
"Move down","Flytt ned"
"Edit Menu Item","Rediger menyvalg"
"Navigation Label","Navigasjonsmerke"
"Title Attribute","Tittelattributt"
"CSS Classes (optional)","CSS klasser (valgritt)"
"The description will be displayed in the menu if the current theme supports it.","Beskrivelsen vil vises i menyen hvis gjeldende tema støtter det."
"Home: %s","Hjem: %s"
"Theme Locations","Temaplasseringer"
"Custom Links","Egendefinerte lenker"
"The current theme does not natively support menus, but you can use the &#8220;Custom Menu&#8221; widget to add any menus you create here to the theme&#8217;s sidebar.","Det gjeldende temaet støtter ikke menyer nå, men du kan bruke &laquo;Navigasjonsmeny&raquo;-widgeten for å legge til menyer som du lager her til temaets sidekolonne."
"Label","Merkelapp"
"Menu Item","Menyvalg"
"Add to Menu","Legg til meny"
"No items.","Ingen valg."
"Most Recent","Siste"
"View All","Vis alle"
"Select menu items (pages, categories, links) from the boxes at left to begin building your custom menu.","Velg menyelementer (sider, kategorier, lenker) fra boksene til venstre for å begynne å bygge din egendefinerte meny."
"The Walker class named <strong>%s</strong> does not exist.","Noen Walker-klasse som heter <strong>%s</strong> finnes ikke."
"Click Save Menu to make pending menu items public.","Trykk \"Lagre meny\" for å gjøre ventende menyelementer tilgjengelige."
"There are some invalid menu items. Please check or delete them.","Det er noen ugyldige menyelementer. Vennligst rett opp eller slett dem."
"Show advanced menu properties","Vis avanserte menyegenskaper"
"Link Target","Lenkemål"
"CSS Classes","CSS-klasser"
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=\"http://wordpress.org/support/\">support forums</a>.","Det har skjedd noe uventet. Noe kan være feil med WordPress.org eller innstillingene på denne serveren. Hvis problemet fortsetter kan du prøve <a href=\"http://wordpress.org/support/\">supportforumet (på engelsk)</a>."
"Plugins extend and expand the functionality of WordPress. You may automatically install plugins from the <a href=\"http://wordpress.org/extend/plugins/\">WordPress Plugin Directory</a> or upload a plugin in .zip format via <a href=\"%s\">this page</a>.","Utvidelser øker og utvider funksjonaliteten til WordPress. Du kan installlere utvidelser automatisk fra <a href=\"http://wordpress.org/extend/plugins/\">området for WordPress-utvidelser</a> eller laste opp utvidelser i .zip-format via <a href=\"%s\">denne siden</a>."
"Popular tags","Populære stikkord"
"You may also browse based on the most popular tags in the Plugin Directory:","Du kan også lete basert på de mest populære stikkordene i utvidelseskatalogen på WordPress.org:"
"%s plugin","%s utvidelse"
"%s plugins","%s utvidelser"
"Keyword","Nøkkelord"
"Search Plugins","Søk etter utvidelser"
"Install a plugin in .zip format","Installer en utvidelse i .zip-format"
"If you have a plugin in a .zip format, you may install it by uploading it here.","Hvis du har en utvidelse i .zip-format kan du installere den ved å laste opp her."
"Plugin zip file","Zip-fil med utvidelse"
"If you have marked plugins as favorites on WordPress.org, you can browse them here.","Hvis du har merket utvidelser som favoritter på WordPress.org, kan du bla i dem her."
"Your WordPress.org username:","Ditt brukernavn på WordPress.org:"
"Get Favorites","Hent favoritter"
"Installation","Installasjon"
"FAQ","Vanlige spørsmål"
"Screenshots","Skjermdumper"
"Changelog","Endringslogg"
"Other Notes","Andre bemerkninger"
"Plugin Install","Installer utvidelser"
"Install Update Now","Installer oppdatering nå"
"Newer Version (%s) Installed","Nyere versjon (%s) installert"
"Latest Version Installed","Siste versjon installert"
"FYI","Til info"
"Author:","Forfatter:"
"Last Updated:","Sist oppdatert:"
"Requires WordPress Version:","Krever WordPress versjon"
"%s or higher","%s eller høyere"
"Compatible up to:","Kompatibel opp til:"
"Downloaded:","Lastet ned:"
"%s time","%s gang"
"%s times","%s ganger"
"WordPress.org Plugin Page &#187;","WordPress.org utvidelsesside &#187;"
"Plugin Homepage &#187;","Utvidelser &rarr;"
"Average Rating","Gjennomsnittlig vurdering"
"<strong>Warning:</strong> This plugin has <strong>not been tested</strong> with your current version of WordPress.","<strong>Advarsel:</strong> Denne utvidelsen har <strong>ikke blitt testet</strong> med din versjon av WordPress."
"<strong>Warning:</strong> This plugin has <strong>not been marked as compatible</strong> with your version of WordPress.","<strong>Advarsel:</strong> Denne utvidelsen er <strong>ikke merket som kompatibel</strong> med din versjon av WordPress."
"The <code>%s</code> plugin header is deprecated. Use <code>%s</code> instead.","Beskrivelsen i utvidelsen <code>%s</code> er avleggs. Bruk <code>%s</code> isteden."
"Visit plugin homepage","Gå til utvidelsens nettside"
"By %s.","Av %s."
"Advanced caching plugin.","Avansert hurtiglagringsutvidelse."
"Custom database class.","Egendefinert databaseklasse."
"Custom database error message.","Egendefinert beskjed for databasefeil."
"Custom install script.","Tilpasset installeringsskript."
"Custom maintenance message.","Egendefinert vedlikeholdsbeskjed."
"External object cache.","Ekstern objekt-cache."
"Executed before Multisite is loaded.","Kjørt før flernettsted lastes."
"Custom site deleted message.","Tilpasset beskjed for slettet nettsted."
"Custom site inactive message.","Tilpasset beskjed for ikke aktivt nettsted."
"Custom site suspended message.","Tilpasset melding for suspendert nettsted"
"The plugin generated unexpected output.","Utvidelsen produserte et uventet resultat."
"One of the plugins is invalid.","En av utvidelsene er ugyldig."
"Could not fully remove the plugin(s) %s.","Kunne ikke fjerne utvidelsen(e) %s helt."
"Invalid plugin path.","Ugyldig sti til utvidelsen."
"Plugin file does not exist.","Filen med utvidelsen finnes ikke."
"The plugin does not have a valid header.","Denne utvidelsen har ikke en gyldig beskrivelse."
"The \"%s\" options group has been removed. Use another settings group.","Gruppen med innstillinger for \"%s\" har blitt fjernet. Bruk en annen gruppe med innstillinger."
"You are not allowed to edit pages as this user.","Du har ikke lov til å redigere sider som denne brukeren."
"You are not allowed to edit posts as this user.","Du har ikke lov til å redigere innlegg som denne brukeren."
"You are not allowed to edit pages.","Du har ikke lov til å redigere sider."
"You are not allowed to edit posts.","Du har ikke lov til å redigere innlegg."
"Auto Draft","Automatisk kladd"
"You are not allowed to create pages on this site.","Du har ikke lov til å lage sider på dette nettstedet."
"You are not allowed to create posts or drafts on this site.","Du har ikke lov til å lage innlegg eller kladder på dette nettstedet."
"Click to edit this part of the permalink","Klikk for å redigere denne delen av permalenken"
"Temporary permalink. Click to edit this part.","Midlertidig permalenke. Klikk for å endre denne delen."
"Permalink:","Permalenke:"
"Change Permalinks","Endre permalenker"
"Remove featured image","Slett fremhevet bilde"
"Warning: %s is currently editing this post","Advarsel: %s redigerer dette innlegget nå"
"Warning: %s is currently editing this page","Advarsel: %s redigerer denne siden nå"
"Warning: %s is currently editing this.","Advarsel: %s redigerer dette nå"
"Preview not available. Please save as a draft first.","Forhåndsvisning ikke tilgjengelig. Vennligst lagre som kladd først."
"0","Europe/Oslo"
"My Site","Mitt nettsted"
"Just another WordPress site","Bare enda et WordPress-nettsted"
"F j, Y","j. F Y"
"g:i a","H:i"
"F j, Y g:i a","j. F Y, H:i"
"Just another %s site","Bare enda et %s-nettsted"
"Editor","Redigering"
"Contributor","Bidragsyter"
"Subscriber","Abonnent"
"You must provide a domain name.","Du må skrive inn et domenenavn."
"You must provide a name for your network of sites.","Du må oppgi et navn for ditt nettverk med nettsteder."
"The network already exists.","Nettverket finnes allerede."
"You must provide a valid e-mail address.","Du må skrive inn en e-postadresse."
