"New password","Nuova password"
"Crop Aspect Ratio","Ritaglia l'area selezionata"
"You can specify the crop selection aspect ratio then hold down the Shift key while dragging to lock it. The values can be 1:1 (square), 4:3, 16:9, etc. If there is a selection, specifying aspect ratio will set it immediately.","&Egrave; possibile specificare il rapporto dimensionale della selezione di ritaglio quindi tenere premuto il tasto Shift mentre si trascina per bloccarla. I valori possono essere: 1:1 (quadrato), 4:3, 16:9, ecc. Se è presente una selezione, specificando un rapporto dimensionale questa verrà immediatamente adattata."
"Crop Selection","Selezione da ritagliare"
"Once started, the selection can be adjusted by entering new values (in pixels). Note that these values are scaled to approximately match the original image dimensions. The minimum selection size equals the thumbnail size as set in the Media settings.","Una volta iniziato, la selezione può venir modificata immettendo nuovi valori (in pixel). Si noti che questi valori verranno scalati per corrispondere approssimativamente alla dimensione originale dell'immagine. La dimensione minima di selezione è uguale a quella impostata per le miniature nelle impostazioni Media."
"Aspect ratio:","Rapporto dimensioni:"
"Selection:","Selezione:"
"Thumbnail Settings","Impostazioni miniatura"
"The thumbnail image can be cropped differently. For example it can be square or contain only a portion of the original image to showcase it better. Here you can select whether to apply changes to all image sizes or make the thumbnail different.","L'immagine miniatura può venir ritagliata in maniera differente. A esempio può essere un quadrato o contenere solo una parte dell'immagine originale al fine di apparire migliore. Da qui è possibile è possibile applicare le modifiche a tutte le dimensioni delle immagini o rendere la miniatura in maniera differente."
"Current thumbnail","Miniatura corrente"
"Apply changes to:","Applica le modifiche a:"
"All image sizes","Tutte le dimensioni dell'immagine"
"All sizes except thumbnail","Tutte le dimensioni ad eccezione della miniatura"
"There are unsaved changes that will be lost. 'OK' to continue, 'Cancel' to return to the Image Editor.","Vi sono delle modifiche non ancora salvate che andranno perdute. 'OK' per proseguire 'Annulla' per tornare all'Editor delle immagini."
"$image needs to be an WP_Image_Editor object","$image deve essere un oggetto WP_Image_Editor"
"Use WP_Image_Editor::rotate","Utilizza WP_Image_Editor::rotate"
"Use WP_Image_Editor::flip","Utilizza WP_Image_Editor::flip"
"Cannot load image metadata.","Non posso caricare i metadati dell'immagine."
"Cannot save image metadata.","Impossibile salvare i metadati dell'immagine"
"Image metadata is inconsistent.","I metadati dell'immagine sono inconsistenti."
"Image restored successfully.","Immagine ripristinata con successo."
"Unable to create new image.","Impossibile creare la nuova immagine."
"Error while saving the scaled image. Please reload the page and try again.","Si è verificato un errore durante il salvataggio di una immagine ridimensionata. Ricarica la pagina e riprova."
"Nothing to save, the image has not changed.","Nulla da salvare, l'immagine non è cambiata."
"Unable to save the image.","Impossibile salvare l'immagine."
"Image saved","Immagine salvata."
"Install the Blogger importer to import posts, comments, and users from a Blogger blog.","Installa il plugin di importazione da Blogger per importare articoli, commenti ed utenti da un blog Blogger."
"Categories and Tags Converter","Convertitore di categorie e tag"
"Install the category/tag converter to convert existing categories to tags or tags to categories, selectively.","Installazione del plugin per conversione categorie/tag per convertire selettivamente le categorie esistenti in tag o i tag in categorie."
"Install the LiveJournal importer to import posts from LiveJournal using their API.","Installa il plugin di importazione da LiveJournal per importare articoli da LiveJournal tramite le sue API."
"Movable Type and TypePad","Movable Type e TypePad"
"Install the Movable Type importer to import posts and comments from a Movable Type or TypePad blog.","Installa il plugin di importazione da Movable Type per importare  articoli e commenti da un blog Movable Type o TypePad."
"Install the blogroll importer to import links in OPML format.","Installa il plugin per importare i link in formato OPML"
"Install the RSS importer to import posts from an RSS feed.","Installa il plugin per importare articoli da un feed RSS."
"Install the Tumblr importer to import posts &amp; media from Tumblr using their API.","Installare l'importatore Tumblr per importare articoli &amp; media da Tumblr usando le loro API."
"Install the WordPress importer to import posts, pages, comments, custom fields, categories, and tags from a WordPress export file.","Installa il plugin per importare da un file di esportazione di WordPress articoli, pagine, commenti, campi personalizzati, categorie e tag."
"From Computer","Dal computer"
"From URL","URL di provenienza"
"Gallery (%s)","Galleria (%s)"
"Uploads","Carica"
"File URL","URL file"
"Attachment Post URL","URL dell'allegato"
"Empty Title filled from filename.","Titolo vuoto riempito con il nome del file"
"Location of the uploaded file.","Posizione dei file caricati."
"Alt text for the image, e.g. &#8220;The Mona Lisa&#8221;","Testo alternativo per l'immagine, es. &#8220;La Monna Lisa&#8221;"
"Show","Visualizza"
"Hide","Nascondi"
"File name:","Nome file:"
"File type:","Tipo di file:"
"Upload date:","Data caricamento:"
"Dimensions:","Dimensioni:"
"Insert into Post","Inserisci nell'articolo"
"You are about to delete <strong>%s</strong>.","Stai per eliminare<strong>%s</strong>."
"Continue","Continua"
"Drop files here","Rilasciare qui i file"
"or","o"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the browser uploader for files over 100MB.","Il browser ha alcune limitazioni nel caricamento di file di grandi dimensioni con il multi-file uploader. Si prega di utilizzare l'uploader del browser per i file di oltre 100MB."
"Add media files from your computer","Aggiungi media file da un file sul proprio computer:"
"Save all changes","Salva tutte le modifiche"
"Insert media from another website","Inserire un elemento media da un altro sito"
"All Tabs:","Tutti i tab"
"Sort Order:","Ordinamento:"
"Ascending","Ascendente"
"Descending","Discendente"
"Link thumbnails to:","Link miniatura a:"
"Image File","File immagine"
"Order images by:","Ordina immagini per:"
"Menu order","Ordinamento menu"
"Date/Time","Data/Ora"
"Order:","Ordinamento:"
"Gallery columns:","Colonne galleria:"
"Update gallery settings","Aggiorna impostazioni galleria."
"Search Media","Cerca media"
"All Types","Tutti i tipi"
"Filter &#187;","Filtro &#187;"
"Image Caption","Didascalia immagine"
"Audio, Video, or Other File","Audio, video o un altro file"
"Link text, e.g. &#8220;Ransom Demands (PDF)&#8221;","Testo link, es.  &#8220;Richiesta di riscatto (PDF)&#8221;"
"Link Image To:","Link all'immagine:"
"Link to image","Link all'immagine"
"You are using the multi-file uploader. Problems? Try the <a href=\"%s\" target=\"%s\">browser uploader</a> instead.","Stai utilizzando l'uploader multiplo. Problemi? Prova al suo posto <a href=\"%s\" target=\"%s\">l'uploader del browser</a>."
"You are using the browser&#8217;s built-in file uploader. The WordPress uploader includes multiple file selection and drag and drop capability. <a href=\"#\">Switch to the multi-file uploader</a>.","Si sta utilizzando l'uploader incorporato del browser. L'uploader di WordPress include la selezione di file multipli e le funzionalità di drag&drop. <a href=\"#\">Passare all'uploader multifile</a>."
"Scale images to match the large size selected in %simage options%s (%s3$d &times; %s4$d).","Scalare le immagini per farle corrispondere con la dimensione maggiore selezionata in %simpostazioni immagine%s (%s3$d &times; %s4$d)."
"Sorry, you have used all of your storage quota of %s MB.","Hai utilizzato tutta la tua quota di %s MB di spazio disponibile"
"File URL:","URL del file:"
"You do not have sufficient permissions to access this page.","Devi farti autorizzare per accedere a questa pagina."
"Preview Changes","Anteprima modifiche"
"Visibility:","Visibilità:"
"Password protected","Protetto da password"
"Stick this post to the front page","Mantenere questo articolo sempre in prima pagina."
"Scheduled for: <b>%s</b>","Pianificato il: <b>%s</b>"
"Published on: <b>%s</b>","Pubblicato il: <b>%s</b>"
"Publish <b>immediately</b>","Pubblica <b>subito</b>"
"Schedule for: <b>%s</b>","Pianifica il: <b>%s</b>"
"Publish on: <b>%s</b>","Pubblicato il: <b>%s</b>"
"Uploaded on: <b>%s</b>","Caricato in: <b>%s</b>"
"Most Used","Più utilizzate"
"Excerpts are optional hand-crafted summaries of your content that can be used in your theme. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Learn more about manual excerpts.</a>","I riassunti sono dei sommari del contenuto degli articoli, scritti manualmente ed opzionali, che possono essere utilizzati nel proprio tema. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Ulteriori informazioni sui riassunti manuali.</a> (in inglese)"
"Already pinged:","Ping già inviati a:"
"Send trackbacks to:","Invia trackback a:"
"Separate multiple URLs with spaces","Separare più URL con degli spazi"
"Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. If you link other WordPress sites they&#8217;ll be notified automatically using <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, no other action necessary.","I trackback sono il metodo per notificare altri blog che avete fatto un link verso di loro. Se si effettua un link ad altri blog WordPress questi verranno notificati automaticamente tramite un <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingback</a>, non serve effettuare alcuna altra operazione."
"Custom fields can be used to add extra metadata to a post that you can <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">use in your theme</a>.","I campi personalizzati si possono utilizzare per aggiungere dei metadati aggiuntivi ad un articolo, tali dati potranno poi venir <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">utilizzati in un tema</a>."
"Allow comments.","Permetti commenti"
"Allow <a href=\"%s\" target=\"_blank\">trackbacks and pingbacks</a> on this page.","Permettere <a href=\"%s\" target=\"_blank\">trackback e pingback</a> su questa pagina."
"Add comment","Aggiungi commento"
"Show comments","Mostra i commenti"
"(no parent)","Pagina base"
"Need help? Use the Help tab in the upper right of your screen.","Bisogno di aiuto? Utilizzare l'etichetta aiuto in alto a destra della schermata."
"Visit Link","Visita link"
"Keep this link private","Mantieni questo link privato"
"You are about to delete this link '%s'\n 'Cancel' to stop, 'OK' to delete.","Stai per cancellare questo link '%s' \n 'Annulla' per interrompere, 'OK' per eliminare."
"+ Add New Category","+ Aggiungi una nuova categoria"
"New category name","Nuovo nome di categoria"
"<code>_blank</code> &mdash; new window or tab.","<code>_blank</code> &mdash; nuova finestra o scheda."
"<code>_top</code> &mdash; current window or tab, with no frames.","<code>_top</code> &mdash; finestra o scheda corrente senza frame."
"<code>_none</code> &mdash; same window or tab.","<code>_none</code> &mdash; stessa finestra o scheda."
"Choose the target frame for your link.","Seleziona il frame di destinazione per il tuo link."
"identity","identità"
"another web address of mine","un altro dei miei indirizzi web"
"friendship","amicizia"
"contact","contatto"
"acquaintance","conoscenza"
"friend","amico/a"
"physical","attrazione fisica"
"met","incontrato"
"professional","professionale"
"co-worker","collaboratore"
"colleague","collega"
"geographical","geografico"
"co-resident","coinquilino/a"
"neighbor","vicino/a"
"family","familiare"
"child","figlio/a"
"kin","parentela"
"parent","genitore"
"sibling","fratello/sorella"
"spouse","sposo/a"
"romantic","relazione"
"muse","musa"
"crush","infatuazione"
"date","appuntamento"
"sweetheart","fidanzato/a"
"If the link is to a person, you can specify your relationship with them using the above form. If you would like to learn more about the idea check out <a href=\"http://gmpg.org/xfn/\">XFN</a>.","Se il link &egrave; per una persona, puoi indicare il tipo di relazione usando il modulo qui sopra. Se vuoi saperne di pi&ugrave; su questa idea, dai un'occhiata a <a href=\"http://gmpg.org/xfn/\">XFN</a>."
"Image Address","Indirizzo immagine"
"RSS Address","Indirizzo RSS"
"Notes","Note"
"(Leave at 0 for no rating.)","(Lascia a 0 per non valutare)"
"Admin Color Scheme","Schema colore pannello di amministrazione"
"Sorry, you must delete files before you can upload any more.","Occorre eliminare dei file prima di poterne caricare altri."
"Not enough space to upload. %s KB needed.","Spazio di upload insufficiente. Servono %s Kb."
"This file is too big. Files must be less than %s KB in size.","Questo file è troppo grande. I file devono avere una dimensione inferiore a %s Kb."
"You have used your space quota. Please delete files before uploading.","Si è utilizzato tutto lo spazio. Per favore elimina dei file prima di caricarne altri."
"Back","Indietro"
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Gentile utente,\n\nHai recentemente chiesto di cambiare la e-mail di amministrazione del \ntuo sito.\n\nSe questo è vero, fai click sul seguente link per cambiarla:\n###ADMIN_URL###\n\nPuoi tranquillamente ignorare e eliminare questa e-mail se non desideri \neffettuare questa operazione.\n\nQuesta e-mail è stata inviata a  ###EMAIL###\n\nSaluti,\nTutto da ###SITENAME###\n###SITEURL###"
"[%s] New Admin Email Address","[%s] Nuovo indirizzo e-mail amministratore"
"<strong>ERROR</strong>: The email address is already used.","<strong>ERRORE</strong>: L'indirizzo email è già utilizzato."
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Gentile utente,\n\nHai recentemente chiesto di cambiare la email del tuo account \nSe questo è vero, fai click sul seguente link per cambiarla:\n###ADMIN_URL###\n\nPuoi tranquillamente ignorare ed eliminare questa email se non desideri \neffettuare questa operazione.\n\nQuesta email è stata inviata a  ###EMAIL###\n\nSaluti,\nTutto da ###SITENAME###\n###SITEURL###"
"[%s] New Email Address","[%s] Nuovo indirizzo email "
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.","L'indirizzo email non è ancora stato aggiornato. Verificare la propria casella di posta %s per l'email di conferma."
"Sorry, you have used your space allocation. Please delete some files to upload more files.","Hai utilizzato tutto lo spazio disponibile. Cancella qualche file per caricarne altri."
"Used: %s%s% of %s","Usato: %s%s% di %s"
"Site Upload Space Quota","Quota dello spazio di caricamento del blog"
"MB (Leave blank for network default)","MB (Lasciare in bianco per assegnare il valore predefinito)"
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.","Si è tentato di accedere alla bacheca \"%s\", ma al momento non si dispone di privilegi su questo sito. Se si ritiene che si dovrebbe essere in grado di accedere alla bacheca \"%s\", si prega di contattare l'amministratore di rete."
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.","Se si è arrivati a questa schermata per caso e lo scopo era di visitare uno dei propri siti, qui ci sono alcune scorciatoie per trovare la strada corretta."
"Your Sites","I vostri siti"
"Visit Dashboard","Visita la bacheca"
"View Site","Vedi Sito"
"American English","Inglese Americano"
"British English","Inglese Britannico"
"English","Inglese"
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.","Attenzione! WordPress codifica i cookie utente, ma occorre aggiungere le seguenti righe al file <strong>%swp-config.php</strong> perchè il tutto sia più sicuro."
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:","Prima della linea <code>/* Niente altro, configurazione terminata! Buon blogging. */</code> aggiungete questo codice:"
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.","Aggiornamento concluso!! Visita la pagina <a href=\"%s\">aggiorna il network</a> per aggiornare tutti i siti."
"Primary Site","Sito primario"
"%s (Invalid)","%s (non valido)"
"%s (Pending)","%s (in sospeso)"
"Move up","Sposta sopra"
"Move down","Sposta sotto"
"Edit Menu Item","Modifica elemento del menu"
"Navigation Label","Etichetta di navigazione"
"Title Attribute","Attributo titolo"
"CSS Classes (optional)","Classi CSS (opzionale)"
"The description will be displayed in the menu if the current theme supports it.","La descrizione sarà mostrata nel menu se il tema supporta questa funzionalità."
"Original: %s","Originale: %s"
"Theme Locations","Posizione dei temi"
"Custom Links","Link personalizzati"
"The current theme does not natively support menus, but you can use the &#8220;Custom Menu&#8221; widget to add any menus you create here to the theme&#8217;s sidebar.","Questo tema non ha il supporto nativo per i menu ma, è possibile utilizzare il widget &#8220;menu personalizzati&#8221; per aggiungere ogni menu creato alla barra laterale del tema."
"Label","Etichetta"
"Menu Item","Elemento menu"
"Add to Menu","Aggiungi al menu"
"No items.","Nessun elemento."
"Most Recent","Più recenti"
"View All","Mostra tutti"
"Select menu items (pages, categories, links) from the boxes at left to begin building your custom menu.","Selezionare gli oggetti del menu (pagine, categorie, link) dai riquadri sulla sinistra per cominciare a creare il menu personalizzato."
"The Walker class named <strong>%s</strong> does not exist.","La Walker class denominata <strong>%s</strong> non esiste."
"Click Save Menu to make pending menu items public.","Fare clic su salva menu per rendere pubbliche le modifiche effettuate."
"There are some invalid menu items. Please check or delete them.","Vi sono alcune voci di menu non valide. Si prega di controllarle o cancellarle."
"Show advanced menu properties","Visualizza proprietà avanzate per il menu"
"Link Target","Destinazione link"
"CSS Classes","Classi CSS"
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=\"http://wordpress.org/support/\">support forums</a>.","Si è verificato un errore inaspettato. Sembra vi sia qualche problema con WordPress.org o o con la configurazione di questo server. Se si contiinua ad avere problemi provare il <a href=\"http://wordpress.org/support/\">forum di supporto</a> (in inglese)."
"Plugins extend and expand the functionality of WordPress. You may automatically install plugins from the <a href=\"http://wordpress.org/extend/plugins/\">WordPress Plugin Directory</a> or upload a plugin in .zip format via <a href=\"%s\">this page</a>.","I plugin estendono ed espandono le funzionalità di. &Egrave; possibile installare automaticamente i pluign dalla <a href=\"http://wordpress.org/extend/plugins/\">Directory dei Plugin di WordPress</a> oppure caricare un plugin in formato .zip tramite <a href=\"%s\">questa pagina</a>."
"Popular tags","Tag pi&ugrave; popolari"
"You may also browse based on the most popular tags in the Plugin Directory:","Puoi anche sfogliare in base ai tag pi&ugrave; popolari nella directory dei Plugin:"
"%s plugins","%s plugin"
"Keyword","Parole chiave"
"Search Plugins","Cerca plugin"
"Install a plugin in .zip format","Installa un plugin in formato .zip"
"If you have a plugin in a .zip format, you may install it by uploading it here.","Se hai un plugin in formato .zip, puoi installarlo caricandolo qui."
"Plugin zip file","File zip del plugin"
"If you have marked plugins as favorites on WordPress.org, you can browse them here.","Se hai contrassegnato dei plugin come preferiti su WordPress.org puoi visualizzarli qui."
"Your WordPress.org username:","Il tuo nome utente WordPress.org"
"Get Favorites","Recupera i preferiti"
"Installation","Installazione"
"Screenshots","Schermate di esempio"
"Other Notes","Altre Note"
"Plugin Install","Installa Plugin"
"Install Update Now","Aggiorna adesso"
"Newer Version (%s) Installed","Installata la versione pi&ugrave; recente (%s)"
"Latest Version Installed","Stai gi&agrave; usando la versione pi&ugrave; recente"
"FYI","INFO"
"Author:","Autore:"
"Last Updated:","Ultimo aggiornamento:"
"Requires WordPress Version:","Richiede WordPress versione:"
"%s or higher","%s o superiore"
"Compatible up to:","Compatibile fino alla versione:"
"Downloaded:","Scaricato:"
"%s time","%s volta"
"%s times","%s volte"
"WordPress.org Plugin Page &#187;","Pagina dei Plugin di WordPress.org &#187;"
"Plugin Homepage &#187;","Homepage del plugin &#187;"
"Average Rating","Valutazione media"
"<strong>Warning:</strong> This plugin has <strong>not been tested</strong> with your current version of WordPress.","<strong>Attenzione:</strong> questo plugin <strong>non &egrave; stato provato</strong> con questa versione di WordPress."
"<strong>Warning:</strong> This plugin has <strong>not been marked as compatible</strong> with your version of WordPress.","<strong>Attenzione:</strong> questo plugin <strong>non &egrave;</strong> compatibile con questa versione di WordPress."
"The <code>%s</code> plugin header is deprecated. Use <code>%s</code> instead.","L'intestazione del plugin <code>%s</code> &egrave; obsoleta. Utilizza invece <code>%s</code>."
"Visit plugin homepage","Visita la homepage del plugin"
"By %s.","Di %s"
"Advanced caching plugin.","Plugin di cache avanzata."
"Custom database class.","Classe database personalizzata"
"Custom database error message.","Messaggio di errore del database personalizzato."
"Custom install script.","Script di installazione personalizzato."
"Custom maintenance message.","Messaggio personalizzato di manutenzione "
"External object cache.","Oggetto di cache esterno."
"Executed before Multisite is loaded.","Eseguito prima del caricamento del Multisito."
"Custom site deleted message.","Messaggio personalizzato di sito cancellato."
"Custom site inactive message.","Messaggio personalizzato di sito inattivo"
"Custom site suspended message.","Messaggio personalizzato di sito sospeso."
"The plugin generated unexpected output.","Il plugin ha restituito un risultato inatteso."
"One of the plugins is invalid.","C'&egrave; un plugin che non funziona correttamente."
"Could not fully remove the plugin(s) %s.","Il/i plugin %s non si pu&ograve;/possono rimuovere completamente."
"Invalid plugin path.","Percorso del plugin non valido."
"Plugin file does not exist.","Il file del plugin non esiste."
"The plugin does not have a valid header.","Il plugin ha un'intestazione non valida."
"The \"%s\" options group has been removed. Use another settings group.","Il gruppo di opzioni \"%s\" è stato rimosso. Utilizza un altro gruppo di opzioni."
"You are not allowed to edit pages as this user.","Le tue credenziali non ti permettono di modificare questa pagina."
"You are not allowed to edit posts as this user.","Le tue credenziali non ti permettono di modificare questo articolo."
"You are not allowed to edit pages.","Devi farti dare il permesso per modificare queste pagine."
"You are not allowed to edit posts.","Devi farti dare il permesso per modificare questi articoli."
"Auto Draft","Bozza automatica"
"You are not allowed to create pages on this site.","Non si dispone del permesso per creare pagine su questo sito."
"You are not allowed to create posts or drafts on this site.","Non si dispone del permesso per creare articoli o bozze su questo sito."
"Click to edit this part of the permalink","Clicca per modificare questa parte del permalink"
"Temporary permalink. Click to edit this part.","Permalink temporaneo. Fare clic per modificare questa parte."
"Change Permalinks","Modifica Permalink"
"Remove featured image","Rimuovi immagine in evidenza"
"Warning: %s is currently editing this post","Attenzione: %s sta modificando questo articolo proprio adesso."
"Warning: %s is currently editing this page","Attenzione: %s sta modificando questa pagina proprio adesso."
"Warning: %s is currently editing this.","Attenzione: %s sta modificando questo elemento proprio adesso."
"Preview not available. Please save as a draft first.","Anteprima non disponibile. Salva prima come bozza."
"0","Europe/Rome"
"My Site","Il mio sito"
"Just another WordPress site","Un nuovo sito targato WordPress"
"F j, Y","j F Y"
"g:i a","H:i"
"F j, Y g:i a","j F Y H:i"
"Just another %s site","Ecco un altro sito %s"
"Administrator","Amministratore"
"Editor","Editore"
"Contributor","Collaboratore"
"Subscriber","Sottoscrittore"
"You must provide a domain name.","Occorre fornire un nome di dominio."
"You must provide a name for your network of sites.","Occorre fornire un nome per la propria rete di siti."
"The network already exists.","La rete è già esistente."
"You must provide a valid e-mail address.","Occorre fornire un indirizzo e-mail valido."
"Welcome to <a href=\"SITE_URL\">SITE_NAME</a>. This is your first post. Edit or delete it, then start blogging!","Benvenuti a <a href=\"SITE_URL\">SITE_NAME</a>. Questo &egrave; il primo articolo. Modificalo o eliminalo e poi comincia a fare il tuo blog!"
"Warning! Wildcard DNS may not be configured correctly!","Attenzione! I metacaratteri DNS non sono configurati correttamente!"
"The installer attempted to contact a random hostname (<code>%s</code>) on your domain.","L'installatore ha tentato di contattare un nome host a caso  (<code>%s</code>) nel dominio"
"This resulted in an error message: %s","Questo è il risultato di un messaggio di errore: %s"
"To use a subdomain configuration, you must have a wildcard entry in your DNS. This usually means adding a <code>*</code> hostname record pointing at your web server in your DNS configuration tool.","Per utilizzare la configurazione con i sottodomini è necessario inserire una wildcard nel DNS. Normalmente significa aggiungere un record nome host <code>*</code>  che punti al web server negli strumenti di configurazione dei DNS."
"You can still use your site but any subdomain you create may not be accessible. If you know your DNS is correct, ignore this message.","&Egrave; possibile continuare ad utilizzare il sito ma i sottodomini potrebbero essere inaccessibili. Se i DNS sono correttamente configurati, questo messaggio può essere ignorato."
"Contextual Help Tab","Linguetta di Aiuto contestuale"
"Screen Options","Impostazioni schermo"
"Enable accessibility mode","Abilita la modalit&agrave; assistita"
"Disable accessibility mode","Disabilita la modalit&agrave; assistita"
"Screen Options Tab","Linguetta impostazni schermo"
"Show on screen","Visualizza a schermo"
"Welcome","Salve"
"Screen Layout","Aspetto schermo"
"Number of Columns:","Numero di colonne:"
"You did not enter a category name.","Non hai specificato il nome della categoria."
"Reply to Comment","Rispondi al commento"
"Add new Comment","Aggiungere un nuovo commento"
"Add Comment","Aggiungere commento"
"Update Comment","Aggiorna commento"
"Submit Reply","Invia risposta"
"Comment by %s moved to the trash.","Il commento di %s adesso &egrave; nel Cestino."
"Comment by %s marked as spam.","Il commento di %s adesso &egrave; marchiato come spam."
"Value","Valore"
"Key","Chiave"
"Add New Custom Field:","Aggiungi nuovo campo personalizzato:"
"Enter new","Aggiungi nuovo"
"Add Custom Field","Aggiungi campo personalizzato"
"Thumbnail linked to file","Miniatura collegata al file"
"Image linked to file","Immagine collegata al file"
"Thumbnail linked to page","Miniatura collegata alla pagina"
"Image linked to page","Immagine collegata alla pagina"
"Link to file","Link al file"
"Link to page","Link alla pagina"
"Before you can upload your import file, you will need to fix the following error:","Devi aggiustare l'errore che segue prima di caricare il file d'importazione:"
"Choose a file from your computer:","Scegli un file dal tuo computer:"
"Maximum size: %s","Dimensione massima: %s"
"Upload file and import","Carica il file ed importa"
"Click to toggle","Clicca per commutare"
"The miscellaneous options group has been removed. Use another settings group.","Il gruppo delle opzioni varie è stato rimosso. Utilizzare un altro gruppo impostazioni."
"The privacy options group has been removed. Use another settings group.","IL gruppo di opzioni sulal privacy è stato rimosso. Utilizza un altro gruppo di impostazioni."
"Find Posts or Pages","Cerca Articoli o Pagine"
"Save Changes","Salva le modifiche"
"New Feature: Toolbar","Nuova funzionalità: Barra degli strumenti"
"We&#8217;ve combined the admin bar and the old Dashboard header into one persistent toolbar. Hover over the toolbar items to see what&#8217;s new.","Abbiamo riunito la barra di amministrazione con la vecchia testata della bacheca in una barra persistente di strumenti. Passare con il mouse sopra gli elementi della barra per vedere le novità."
"Network Admin is now located in the My Sites menu.","L'amministrazione di rete si trova ora nel menu Miei siti."
"New Feature: Saving Widgets","Nuova funzionalità: salvataggio dei Widget"
"If you change your mind and revert to your previous theme, we&#8217;ll put the widgets back the way you had them.","Se si cambia idea e si torna al tema precedente, metteremo i widget di nuovo dove si trovavano prima."
"New Feature: Customizer","Nuova funzionalità: Personalizzazione"
"Click Customize to change the header, background, title and menus of the current theme, all in one place.","Fare clic su Personalizza per modificare la testata, lo sfondo, il titolo e i menu del tema corrente, tutto in un solo posto."
"Click the Live Preview links in the Available Themes list below to customize and preview another theme before activating it.","Fare click sui link Anteprima in tempo reale nella lista dei Temi disponibili qui sotto per personalizzare e vedere in anteprima un altro tema prima di attivarlo."
"New Feature: Choose Image from Library","Nuova funzionalità: Seleziona immagina dalla libreria"
"Want to use an image you uploaded earlier? Select it from your media library instead of uploading it again.","Si desidera utilizzare una immagine caricata in precedenza? Selezionarla dalla libreria media invece di caricarla nuovamente."
"Uploading files and creating image galleries has a whole new look. Check it out!","Il caricamento di file e la creazione di gallerie di immagini hanno ora un nuovo aspetto. Dategli una occhiata!"
"Likely direct inclusion of wp-admin/includes/template.php in order to use add_meta_box(). This is very wrong. Hook the add_meta_box() call into the add_meta_boxes action instead.","Probabile inclusione diretta di wp-admin/includes/template.php allo scopo di utilizzare la funzione add_meta_box(). Questo è molto sbagliato. Utilizzare la chiamata a add_meta_box() all'interno dell'action add_meta_boxes."
"Search for themes by keyword.","Ricerca temi per parole chiave."
"Type of search","Tipo di ricerca"
"Search by keyword","Ricerca per parole chiave"
"Search by author","Cerca per autore"
"Search by tag","Cerca per tag"
"Feature Filter","Filtro funzionalità"
"Find a theme based on specific features.","Trovare un tema in base e specifiche funzionalità."
"Find Themes","Trova temi"
"Install a theme in .zip format","Installare un tema in formato .zip"
"If you have a theme in a .zip format, you may install it by uploading it here.","Se si dispone di un tema in formato .zip, è possibile installarlo caricandolo da qui."
"Theme Install","Installa tema"
"Unable to locate WordPress theme directory.","Impossibile trovare la directory dei temi di WordPress."
"Could not fully remove the theme %s.","Impossibile rimuovere completamente il tema %s."
"Updating this theme will lose any customizations you have made. 'Cancel' to stop, 'OK' to update.","Aggiornando questo tema si perderanno tutte le personalizzazioni fatte. 'Annulla' per interrompere, 'OK' per aggiornare."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>.","&Egrave; disponibile una nuova versione di %s. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Visualizza i dettagli sulla versione %s</a>."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this theme.</em>","&Egrave; disponibile la nuova versione %s. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Visualizza i dettagli della versione %s</a>. <em>Per questo tema, non è disponibile un aggiornamento automatico.</em>"
