"New password","Nytt passord"
"Enabling Accessibility Mode, via Screen Options, allows you to use Add and Edit buttons instead of using drag and drop.","Skrur du på Tilgangsmodus via sidevala, kan du bruka Legg til og Endra-knappane i staden for å dra og sleppa."
"Missing Widgets","Manglande småprogram"
"Many themes show some sidebar widgets by default until you edit your sidebars, but they are not automatically displayed in your sidebar management tool. After you make your first widget change, you can re-add the default widgets by adding them from the Available Widgets area.","Mange bunader viser nokre småprogram i sidestolpen som standard til du byrjar å redigera sidestolpane. Slike småprogram syner ikkje når du skal leggja til nye i sidestolpen. Når du har gjort fyrste endringa i småprogramma, kan du leggja til dei som var standarden frå området med tilgjengelege småprogram."
"When changing themes, there is often some variation in the number and setup of widget areas/sidebars and sometimes these conflicts make the transition a bit less smooth. If you changed themes and seem to be missing widgets, scroll down on this screen to the Inactive Widgets area, where all of your widgets and their settings will have been saved.","Når du byter bunad, er det ofte litt varierande kor mange og kvar småprogramfelta og sidestolpane er. Av og til skapar det litt mindre smidige overgangar. Viss du har teke i bruk ein ny bunad og manglar småprogram, kan du rulla ned på denne sida for å sjå gjennom avdelinga for småprogram som ikkje er i bruk. Alle småprogramma dine og innstillingane til dei ligg lagra der."
"<a href=\"http://codex.wordpress.org/Appearance_Widgets_Screen\" target=\"_blank\">Documentation on Widgets</a>","<a href=\"http://codex.wordpress.org/Appearance_Widgets_Screen\" target=\"_blank\">Hjelp om småprogram</a>"
"The theme you are currently using isn&#8217;t widget-aware, meaning that it has no sidebars that you are able to change. For information on making your theme widget-aware, please <a href=\"http://codex.wordpress.org/Widgetizing_Themes\">follow these instructions</a>.","Bunaden du nyttar er ikkje klargjort for småprogram. Dette tyder at han ikkje har sidemenyar du kan endre på. For informasjon om korleis du kan klargjere ein bunad for småprogram, <a href=\"http://codex.wordpress.org/Widgetizing_Themes\">følg desse instruksane</a>."
"Inactive Sidebar (not used)","Inaktiv sidestolpe (ikkje i bruk)"
"This sidebar is no longer available and does not show anywhere on your site. Remove each of the widgets below to fully remove this inactive sidebar.","Denne sidestolpen er ikkje tilgjengeleg lenger, og viser ikkje nokon stad på nettstaden din. Fjern alle småprogramma herifrå for å fjerna sidestolpen heilt."
"Inactive Widgets","Uverksame småprogram"
"Drag widgets here to remove them from the sidebar but keep their settings.","Dra småprogram hit for å fjerna dei frå sidestolpen, men lagra innstillingane deira."
"Widget %s","Småprogram %s"
"Select both the sidebar for this widget and the position of the widget in that sidebar.","Vel sidestolpe for dette småprogrammet, og kvar i sidestolpen det skal vera."
"Save Widget","Lagre småprogram"
"Changes saved.","Endringar vart lagra."
"Error while saving.","Feil under lagring."
"Error in displaying the widget settings form.","Greidde ikkje visa skjemaet for småprogramval."
"Available Widgets","Tilgjengelege småprogram"
"Deactivate","Slå av"
"Drag widgets from here to a sidebar on the right to activate them. Drag widgets back here to deactivate them and delete their settings.","Dra småprogram herifrå til ein sidestolpe til høgre for å skru dei på. Dra dei tilbake hit for å skru dei av og sletta innstillingane deira."
"Used by millions, Akismet is quite possibly the best way in the world to <strong>protect your blog from comment and trackback spam</strong>. It keeps your site protected from spam even while you sleep. To get started: 1) Click the \"Activate\" link to the left of this description, 2) <a href=\"http://akismet.com/get/?return=true\">Sign up for an Akismet API key</a>, and 3) Go to your Akismet configuration page, and save your API key.","Med millionar av brukarar er truleg Akismet den beste måten å <strong>verna bloggen din frå kommentar- og tilbaketråkksøpel</strong>. Akismet vernar nettstaden din anten du søv eller vaker. Slik kjem du i gang: 1) Klikk på «Slå på»-lenkja til venstre for denne skildringa, 2) <a href=\"http://akismet.com/get/?return=true\">Registrer deg for å få ein API-lykjel for Akismet</a>, og 3) Gå til <a href=\"admin.php?page=akismet-key-config\">Akismet-oppsett</a>-sida, og lagra API-lykjelen din der."
"This is not just a plugin, it symbolizes the hope and enthusiasm of an entire generation summed up in two words sung most famously by Louis Armstrong: Hello, Dolly. When activated you will randomly see a lyric from <cite>Hello, Dolly</cite> in the upper right of your admin screen on every page.","Dette er meir enn eit WordPress-innstikk. Louis Armstrong song ut orda som symboliserte framtidsvona og trua til ein heil generasjon: Hello, Dolly. Når du slær på dette innstikket, vil du sjå ei tilfeldig tekstline frå <cite>Hello, Dolly</cite> øvst til høgre på alle styrar-sider når du er innlogga."
"It looks like you're using an old version of <a href='%s'>%s</a>. For the best WordPress experience, please update your browser.","Det ser ut som du bruker ei gamal utgåve av <a href='%s'>%s</a>. WordPress verkar best viss du oppdaterer nettlesaren din."
"<a href=\"%s\" class=\"update-browser-link\">Update %s</a> or learn how to <a href=\"%s\" class=\"browse-happy-link\">browse happy</a>","<a href=\"%s\" class=\"update-browser-link\">Oppdater %s</a> eller lær korleis du kan <a href=\"%s\" class=\"browse-happy-link\">surfa i fred</a>"
"Welcome to WordPress!","Velkomen til WordPress!"
"We&#8217;ve assembled some links to get you started:","Me har samla nokre lenkjer for å få deg i gang:"
"Get Started","Kom i gang"
"Customize Your Site","Set opp nettstaden din"
"or, <a href=\"%s\">change your theme completely</a>","eller du kan <a href=\"%s\">byta bunad</a>"
"Next Steps","Neste steg"
"Edit your front page","Endra framsida di"
"Add additional pages","Legg til fleire sider"
"Add a blog post","Legg til eit blogginnlegg"
"Write your first blog post","Skriv det fyrste blogginnlegget"
"Add an About page","Lag ei Om-side"
"View your site","Sjå på nettstaden din"
"More Actions","Fleire handlingar"
"Manage <a href=\"%s\">widgets</a> or <a href=\"%s\">menus</a>","Handter <a href=\"%s\">småprogram</a> eller <a href=\"%s\">menyar</a>"
"Turn comments on or off","Skru innspel på eller av"
"Learn more about getting started","Lær meir om å koma i gang"
"No matching users were found!","Fekk inkje treff på brukarar!"
"Displaying %s&#8211;%s of %s","Viser %s&#8211;%s av %s"
"Main Index Template","Hovudmal"
"Visual Editor Stylesheet","Stilark for den visuelle redigeringa"
"Visual Editor RTL Stylesheet","VTH-stilark for visuell redigering"
"RTL Stylesheet","Stilsett for høgre-til-venstre-tekst"
"Popup Comments","Innspel i sprettoppvindauge"
"Footer","Etterskrift"
"Author Template","Skribentmal"
"Tag Template","Merkelappmal"
"Category Template","Kategorimal"
"Page Template","Sidemal"
"Search Form","Søkjeskjema"
"Single Post","Enkeltinnlegg"
"404 Template","Mal for 404"
"Links Template","Lenkjemal"
"Theme Functions","Bunadfunksjonar"
"Attachment Template","Vedleggsmal"
"Image Attachment Template","Vedleggsmal for bilete"
"Video Attachment Template","Vedleggsmal for video"
"Audio Attachment Template","Vedleggsmal for lyd"
"Application Attachment Template","Vedleggsmal for program"
"my-hacks.php (legacy hacks support)","my-hacks.php (støtte for gamle hacks)"
".htaccess (for rewrite rules )",".htaccess (for omskrivningsreglar)"
"Comments Template","Innspelmal"
"Popup Comments Template","Mal for innspel i sprettoppvindauge"
"%s Page Template","%s-sidemal"
"Sorry, can&#8217;t edit files with &#8220;..&#8221; in the name. If you are trying to edit a file in your WordPress home directory, you can just type the name of the file in.","Kan diverre ikkje endra filer med \"..\" i namnet. Dersom du prøver å endra ei fil som finst i WordPress-mappa, kan du enkelt og greit skriva inn namnet."
"The uploaded file exceeds the upload_max_filesize directive in php.ini.","Den opplasta fila er over upload_max_filesize-grensa i php.ini."
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form.","Den opplasta fila er over MAX_FILE_SIZE-grensa som vart oppgjeven i HTML-skjemaet."
"The uploaded file was only partially uploaded.","Den opplasta fila vart berre delvis lasta opp."
"No file was uploaded.","Ingen filer vart lasta opp."
"Missing a temporary folder.","Manglar ei mellombels mappe."
"Failed to write file to disk.","Kunne ikkje skrive fila til harddsiken."
"File upload stopped by extension.","Stogga opplasting av fil. Feil filtype."
"Invalid form submission.","Ugyldig innsendt skjema."
"File is empty. Please upload something more substantial.","Fila er tom. Last opp noko med litt meir kjøt på beina."
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini or by post_max_size being defined as smaller than upload_max_filesize in php.ini.","Fila er tom. Du må lasta opp noko. Du kan få denne feilmeldinga viss du har slege av opplastingar i php.ini-fila di, eller viss post_max_size er mindre enn upload_max_filesize i php.ini."
"Specified file failed upload test.","Klarte ikkje å testa fil for opplasting."
"Sorry, this file type is not permitted for security reasons.","Orsak, denne filtypen er ikkje tillaten av tryggleiksgrunnar."
"The uploaded file could not be moved to %s.","Fila kunne ikkje verte flytta til %s."
"The uploaded file exceeds the <code>upload_max_filesize</code> directive in <code>php.ini</code>.","Den opplasta fila er større enn <code>upload_max_filesize</code>-grensa i <code>php.ini</code>."
"The uploaded file exceeds the <em>MAX_FILE_SIZE</em> directive that was specified in the HTML form.","Den opplasta fila er større enn <em>MAX_FILE_SIZE</em>-grensa som var spesifisert i HTML-skjemaet."
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini.","Fila er tom. Last opp noko meir innhaldsrikt. Denne feilen kan òg koma av at opplasting er slått av i php.ini."
"Specified file does not exist.","Fila finst ikkje."
"Invalid URL Provided.","Ugyldig URL."
"Could not create Temporary file.","Klarte ikkje å laga mellombels fil."
"Incompatible Archive.","Inkompatibelt arkiv."
"Could not retrieve file from archive.","Kunne ikkje henta fila frå arkivet."
"Could not extract file from archive.","Greidde ikkje pakka ut fila frå arkivet."
"Could not copy file.","Greidde ikkje kopiera fila."
"Empty archive.","Tomt arkiv."
"<strong>ERROR:</strong> There was an error connecting to the server, Please verify the settings are correct.","<strong>FEIL:</strong> Tilkoplingsfeil til tenaren. Sjå etter om innstillingane er rette."
"Connection Information","Informasjon om tilkopling"
"To perform the requested action, WordPress needs to access your web server.","WordPress må ha tilgang til netverten din for å gjera det du ba om."
"Please enter your FTP or SSH credentials to proceed.","Skriv inn påloggingsopplysningane for FTP eller SSH for å halda fram."
"FTP/SSH Username","FTP/SSH-brukarnamn"
"FTP/SSH Password","FTP/SSH-passord"
"Please enter your FTP credentials to proceed.","Skriv inn FTP-påloggingsopplysningane dine for å halda fram."
"FTP Username","FTP-brukarnamn"
"FTP Password","FTP-passord"
"If you do not remember your credentials, you should contact your web host.","Viss du ikkje hugsar påloggingsopplysningane dine, bør du ta kontakt med nettverten din."
"Hostname","Tenarnamn"
"Authentication Keys","Autentiseringsnyklar"
"Public Key:","Offentleg nykel:"
"Private Key:","Privat nykel:"
"Enter the location on the server where the keys are located. If a passphrase is needed, enter that in the password field above.","Oppgje plasseringa for nyklene på tenaren. Viss ein nykelfrase er påkravd, skriv inn denne i passordfeltet over."
"Connection Type","Tilkoplingstype"
"Proceed","Hald fram"
"Image data does not exist. Please re-upload the image.","Det finst ingen data for biletet. Last det opp ein gong til."
"Crop","Skjer til"
"Rotate counter-clockwise","Snu mot klokka"
"Rotate clockwise","Snu med klokka"
"Image rotation is not supported by your web host.","Nettverten din støttar ikkje biletrotering."
"Flip vertically","Spegle loddrett"
"Flip horizontally","Spegle vassrett"
"Scale Image","Endra storleik"
"You can proportionally scale the original image. For best results the scaling should be done before performing any other operations on it like crop, rotate, etc. Note that if you make the image larger it may become fuzzy.","Du kan endra storleiken proporsjonalt. For best resultat, bør du endra storleiken på biletet før du gjer noko anna med det. Hugs at biletet kan bli kornette viss du gjer det større."
"Original dimensions %s","Opphavleg storleik %s"
"Discard any changes and restore the original image.","Sjå bort frå alle endringar, og hent fram att det opphavelege biletet."
"Previously edited copies of the image will not be deleted.","Tidlegare endra kopiar av biletet blir ikkje sletta."
"Restore image","Gå tilbake til opphavleg bilete"
"Image Crop","Skjer til bilete"
"(help)","(hjelp)"
"The image can be cropped by clicking on it and dragging to select the desired part. While dragging the dimensions of the selection are displayed below.","Du kan skjera til biletet ved å klikka på det, og dra over den delen du vil ha. Storleiken på biletet blir vist under medan du dreg."
"Crop Aspect Ratio","Skjer til med fastsette forholdstal"
"You can specify the crop selection aspect ratio then hold down the Shift key while dragging to lock it. The values can be 1:1 (square), 4:3, 16:9, etc. If there is a selection, specifying aspect ratio will set it immediately.","Du kan bruka ulike forholdstal på biletet når du skjer det til. Hald inne Shift-tasten for å låsa forholdstalet. Du kan bruka forholda 1:1 (kvadrat), 4:3, 16:9 osb. Forholdstalet vil bli brukt med ein gong på utval som finst frå før."
"Crop Selection","Skjer til utvalet"
"Once started, the selection can be adjusted by entering new values (in pixels). Note that these values are scaled to approximately match the original image dimensions. The minimum selection size equals the thumbnail size as set in the Media settings.","Du kan stilla inn utvalet ved å skriva inn nye tal (i biletpunkt). Hugs at desse tala blir endra slik at dei passar om lag til biletproporsjonane du hadde i utgangspunktet. Du kan ikkje ha mindre utval enn småbilete-storleiken du har stilt inn under Media-innstillingane."
"Aspect ratio:","Forholdstal:"
"Selection:","Utval:"
"Thumbnail Settings","Innstillingar for småbilete"
"The thumbnail image can be cropped differently. For example it can be square or contain only a portion of the original image to showcase it better. Here you can select whether to apply changes to all image sizes or make the thumbnail different.","Du kan skjera til småbilete på ulike måtar. Det kan til dømes vera kvadratisk, eller berre ein liten del av originalbiletet, for å visa det betre fram. Du kan velja om du vil bruka innstillingane på alle biletstorleikar, eller om du vil ha småbiletet annleis."
"Current thumbnail","Småbilete i bruk"
"Apply changes to:","Bruk endringane på:"
"All image sizes","Alle biletstorleikar"
"All sizes except thumbnail","Alle storleikar utanom småbilete"
"There are unsaved changes that will be lost. 'OK' to continue, 'Cancel' to return to the Image Editor.","Du har ulagra endringar som vil gå tapte. 'OK' for å halda fram, 'Avbryt' for å gå tilbake til bilethandteringa."
"$image needs to be an WP_Image_Editor object","$image må vera eit WP_Image_Editor-objekt"
"Use WP_Image_Editor::rotate","Bruk WP_Image_Editor::rotate"
"Use WP_Image_Editor::flip","Bruk WP_Image_Editor::flip"
"Cannot load image metadata.","Greier ikkje henta metadata frå biletet."
"Cannot save image metadata.","Greier ikkje lagra metadata til biletet."
"Image metadata is inconsistent.","Metadata inneheld feil."
"Image restored successfully.","Biletet vart henta fram att."
"Unable to create new image.","Greier ikkje laga nytt bilete."
"Error while saving the scaled image. Please reload the page and try again.","Greidde ikkje lagra biletet med ny storleik. Last sida på nytt, og prøv ein gong til."
"Nothing to save, the image has not changed.","Ingenting å lagra, biletet er uendra."
"Unable to save the image.","Greier ikkje lagra biletet."
"Image saved","Biletet er lagra"
"Install the Blogger importer to import posts, comments, and users from a Blogger blog.","Installer Blogger-importverktyet for å henta innlegg, innspel og brukarar frå ein Blogger-blogg."
"Categories and Tags Converter","Konverter kategoriar og merkelappar"
"Install the category/tag converter to convert existing categories to tags or tags to categories, selectively.","Installer kategori-til-merkelapp-programmet for å velja merkelappar og gjera dei om til kategoriar."
"Install the LiveJournal importer to import posts from LiveJournal using their API.","Installer LiveJournal-importverktyet for å henta innlegg frå LiveJournal ved bruk av deira tilgangsbibliotek."
"Movable Type and TypePad","Movable Type og TypePad"
"Install the Movable Type importer to import posts and comments from a Movable Type or TypePad blog.","Installer Movable Type-importverktyet for å henta innlegg og innspel frå ein Movable Type eller TypePad-blogg."
"Blogroll","Bloggrull"
"Install the blogroll importer to import links in OPML format.","Installer bloggrull-importverktyet for å henta lenkjer i OPML-format."
"Install the RSS importer to import posts from an RSS feed.","Installer RSS-importverktyet for å henta postar frå ein RSS-straum."
"Install the Tumblr importer to import posts &amp; media from Tumblr using their API.","Installer Tumblr-importen for å importera innlegg og media frå Tumblr ved hjelp av deira API."
"Install the WordPress importer to import posts, pages, comments, custom fields, categories, and tags from a WordPress export file.","Installer WordPress-importverktyet for å henta innlegg, sider, innspel, eigne felt, kategoriar og merkelappar frå ei WordPress-eksportfil."
"From Computer","Frå datamaskin"
"From URL","Frå URL"
"Gallery (%s)","Galleri (%s)"
"Uploads","Opplastingar"
"File URL","Fil-URL"
"Attachment Post URL","Adresse til vedleggsinnlegg"
"Empty Title filled from filename.","Tom tittel vert utfylt med filmnamn."
"Location of the uploaded file.","Plassering av den opplasta fila."
"Alt text for the image, e.g. &#8220;The Mona Lisa&#8221;","Alternativ tekst for biletet, til dømes \"Mona Lisa\""
"Show","Vis"
"Hide","Gøym"
"File name:","Filnamn:"
"File type:","Filtype:"
"Upload date:","Opplasta dato:"
"Dimensions:","Storleik:"
"Insert into Post","Sett inn i innlegget"
"You are about to delete <strong>%s</strong>.","Du skal til å sletta <strong>%s</strong>."
"Continue","Hald fram"
"Drop files here","Slepp filene her"
"or","eller"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the browser uploader for files over 100MB.","Nettlesaren din har avgrensingar for store filopplastingar med multi-opplastaren. Bruk den vanlege nettlesar-opplastaren for filer over 100MB."
"Add media files from your computer","Legg til mediefiler frå datamaskina di"
"Save all changes","Lagre alle endringar"
"Insert media from another website","Set inn media frå ein annan nettstad"
"All Tabs:","Alle faner:"
"Sort Order:","Sortering:"
"Ascending","Aukande"
"Descending","Minkande"
"Link thumbnails to:","Lenk miniatyrar til:"
"Image File","Biletefil"
"Order images by:","Sorter bilete etter:"
"Menu order","Menyrekkjefølgje"
"Date/Time","Dato/tid"
"Order:","Sorter:"
"Gallery columns:","Kolonnar i galleri:"
"Update gallery settings","Oppdater innstillingar for galleri"
"Search Media","Søk i media"
"All Types","Alle typane"
"Filter &#187;","Filtrer &#187;"
"Image Caption","Undertittel på bilete"
"Audio, Video, or Other File","Lyd, film eller ei anna fil"
"Link text, e.g. &#8220;Ransom Demands (PDF)&#8221;","Lenkjetekst, til dømes \"Krav om løysepengar (PDF)\""
"Link Image To:","Lenk bilete til:"
"Link to image","Lenkje til bilete"
"You are using the multi-file uploader. Problems? Try the <a href=\"%s\" target=\"%s\">browser uploader</a> instead.","Du brukar multi-opplastaren. Problem? Prøv <a href=\"%s\" target=\"%s\">nettlesar-opplastaren</a> i staden."
"You are using the browser&#8217;s built-in file uploader. The WordPress uploader includes multiple file selection and drag and drop capability. <a href=\"#\">Switch to the multi-file uploader</a>.","Du brukar opplastingsfunksjonen til nettlesaren din.  WordPress-opplastaren kan lasta opp fleire filer om gongen, og du kan dra og sleppa filer til han. <a href=\"#\">Byt til multi-opplastaren</a>."
"Scale images to match the large size selected in %simage options%s (%s3$d &times; %s4$d).","Skaler bilete til å passa til den største storleiken i %sbiletinnstillingar%s (%s3$d &times; %s4$d)."
"Sorry, you have used all of your storage quota of %s MB.","Du har diverre brukt heile lagringskvoten din på %s MB."
"File URL:","Filadresse:"
"You do not have sufficient permissions to access this page.","Du har ikkje tilgang til denne sida."
"Preview Changes","Vis endringane"
"Visibility:","Synleggjering:"
"Password protected","Vern med passord"
"Stick this post to the front page","Lim dette innlegget fast på framsida"
"Scheduled for: <b>%s</b>","Planlagt for: <strong>%s</strong>"
"Published on: <b>%s</b>","Publisert den: <strong>%s</strong>"
"Publish <b>immediately</b>","Publiser <strong>med ein gong</strong>"
"Schedule for: <b>%s</b>","Planlegg for: <strong>%s</strong>"
"Publish on: <b>%s</b>","Publiser den: <strong>%s</strong>"
"Uploaded on: <b>%s</b>","Oppdatert: <b>%s</b>"
"Most Used","Mest nytta"
"Excerpts are optional hand-crafted summaries of your content that can be used in your theme. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Learn more about manual excerpts.</a>","Utdrag er valfrie handskrivne samandrag eller innleiingar av innhaldet. Du kan <a href=\"http://codex.wordpress.org/Template_Tags/the_excerpt\" target=\"_blank\">nytta dei i malen din</a>"
"Already pinged:","Allereie pinga:"
"Send trackbacks to:","Send tilbaketråkk til:"
"Separate multiple URLs with spaces","Skil fleire URLar med mellomrom"
"Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. If you link other WordPress sites they&#8217;ll be notified automatically using <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, no other action necessary.","Tilbaketråkk er ein måte å seia frå til gamle bloggsystem om at du har lenka til dei. Viss du lenkar til andre WordPress-sider, får dei melding automatisk med <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">tilbakeping</a>, og då treng du ikkje gjera noko."
"Custom fields can be used to add extra metadata to a post that you can <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">use in your theme</a>.","Eigendefinerte felt kan nyttast til å leggja til ekstra metadata til eit innlegg som du kan <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">nytta i bunaden din</a>."
"Allow comments.","Gje løyve til å koma med innspel."
"Allow <a href=\"%s\" target=\"_blank\">trackbacks and pingbacks</a> on this page.","Bruk <a href=\"%s\" target=\"_blank\">tilbaketråkk og tilbakeping</a> på denne sida."
"Add comment","Legg til innspel"
"Show comments","Vis innspel"
"(no parent)","(foreldrelaus)"
"Need help? Use the Help tab in the upper right of your screen.","Treng du hjelp? Bruk hjelpefana øvst til høgre på skjermen."
"Visit Link","Gå til lenkje"
"Keep this link private","Held denne lenkja privat"
"You are about to delete this link '%s'\n 'Cancel' to stop, 'OK' to delete.","Du er i ferd med å sletta denne lenkja: '%s'\n'Avbryt' for å stoppa, 'OK' for å sletta."
"+ Add New Category","+ Legg til ny kategori"
"New category name","Nytt kategorinamn"
"<code>_blank</code> &mdash; new window or tab.","<code>_blank</code> &mdash; nytt vindauge eller fane."
"<code>_top</code> &mdash; current window or tab, with no frames.","<code>_top</code> &mdash; dette vindauga eller fana, utan rammer."
"<code>_none</code> &mdash; same window or tab.","<code>_none</code> &mdash; same vindauga eller fane."
"Choose the target frame for your link.","Vel eit mål for lenkja di."
"identity","identitet"
"another web address of mine","ein annan vevadresse som er min"
"friendship","venskap"
"contact","kontakt"
"acquaintance","kjennskap"
"friend","ven"
"physical","fysisk"
"met","møtt i røynda"
"professional","profesjonelt"
"co-worker","medarbeidar"
"colleague","kollega"
"geographical","geografisk"
"co-resident","under same tak"
"neighbor","nabo"
"family","familiemedlem"
"child","born"
"kin","slektning"
"parent","forelder"
"sibling","syskjen"
"spouse","ektefelle"
"romantic","romantisk"
"crush","forelska"
"date","kurtisert"
"sweetheart","søtnos"
"If the link is to a person, you can specify your relationship with them using the above form. If you would like to learn more about the idea check out <a href=\"http://gmpg.org/xfn/\">XFN</a>.","Viss lenkja går til ein person, så kan du setje kva tilhøve du har til dei med skjemaet over. Viss du vil vite meir, kan du sjå på <a href=\"http://gmpg.org/xfn/\">XFN</a>."
"Image Address","Biletadresse"
"RSS Address","RSS-adresse"
"Notes","Merknader"
"(Leave at 0 for no rating.)","(Vel 0 for inga vurdering.)"
"Admin Color Scheme","Fargeval"
"Sorry, you must delete files before you can upload any more.","Orsak, du må sletta filer før du kan lasta opp fleire."
"Not enough space to upload. %s KB needed.","Ikkje nok plass til å lasta opp. Treng %s KB."
"This file is too big. Files must be less than %s KB in size.","Denne fila er for stor. Filer må vera mindre enn %s KB."
"You have used your space quota. Please delete files before uploading.","Du har brukt opp lagringskvoten din. Slett filer før du lastar opp fleire."
"Back","Tilbake"
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Gode deg,\n\nDu ba nyst om å få endra styrar-epostadressa på nettstaden din.\nViss dette stemmer, klikkar du på lenkja under for å stadfesta det:\n###ADMIN_URL###\n\nDu kan trygt sjå bort frå og sletta denne eposten viss du ikkje vil\nendra epostadressa.\n\nDenne eposten er send til  ###EMAIL###\n\nHelsing\nAlle på ###SITENAME###\n###SITEURL### "
"[%s] New Admin Email Address","[%s] Ny styrar-epostadresse"
"<strong>ERROR</strong>: The email address is already used.","<strong>FEIL</strong>: Epostadressa er allereie i bruk."
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Gode deg,\n\nDu ba nyst om å få endra epostadressa åt brukarkontoen din.\nViss dette stemmer, klikkar du på lenkja under for å stadfesta det:\n###ADMIN_URL###\n\nDu kan trygt sjå bort frå og sletta denne eposten viss du ikkje vil\nendra epostadressa.\n\nDenne eposten er send til  ###EMAIL###\n\nHelsing\nAlle på ###SITENAME###\n###SITEURL### "
"[%s] New Email Address","[%s] Ny epostadresse"
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.","Epostadressa di er ikkje oppdatert enno. Sjekk innboksen din på %s og sjå etter stadfestingseposten."
"Sorry, you have used your space allocation. Please delete some files to upload more files.","Du har diverre brukt opp lagringsplassen din. Slett nokre filer for å lasta opp nye."
"Used: %s%s% of %s","Brukt: %s%s% av %s"
"Site Upload Space Quota","Opplastingskvote for nettstaden"
"MB (Leave blank for network default)","MB (La stå tomt for standardverdien på nettverket)"
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.","Du prøvde å få tilgang til styringspanelet på \"%s\", men du har ikkje løyve til det på denne nettstaden. Viss du meiner du burde ha tilgang til styringspanelet på \"%s\", bør du kontakta nettverksstyraren."
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.","Viss du kom hit ved eit uhell, og meinte å vitja ein av dine eigne nettstader, har me nokre snarvegar til deg her for å hjelpa deg på rett veg."
"Your Sites","Nettstadene dine"
"Visit Dashboard","Gå til styringspanelet."
"View Site","Sjå på nettstaden"
"American English","Amerikansk engelsk"
"British English","Britisk engelsk"
"English","Engelsk"
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.","Åtvaring! WordPress krypterer brukar-infokapslar, men du må leggja til desse linene i <strong>wp-config.php</strong>-fila for at krypteringa skal vera sikrare."
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:","Legg til denne koden føre lina <code>/* Det var alt, ikkje endre meir under! Lukke til med sida di. */</code>:"
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.","Takk for at du oppdaterte! Gå til <a href=\"%s\">oppdater nettverk</a>-sida for å oppdatera alle nettstadene dine."
"Primary Site","Hovudbøl"
"%s (Invalid)","%s (ugyldig)"
"%s (Pending)","%s (ventar)"
"Move up","Flytt opp"
"Move down","Flytt nett"
"Edit Menu Item","Endra menyoppføringa"
"Navigation Label","Navigeringsmerke"
"Title Attribute","Titteleigenskap"
"CSS Classes (optional)","CSS-klasser (alternativt)"
"The description will be displayed in the menu if the current theme supports it.","Skildringa står i menyen viss denne bunaden støttar det."
"Home: %s","Heim: %s"
"Theme Locations","Bunadplasseringar"
"Custom Links","Eigne lenkjer"
"The current theme does not natively support menus, but you can use the &#8220;Custom Menu&#8221; widget to add any menus you create here to the theme&#8217;s sidebar.","Denne bunaden har ikkje innebygd støtte for menyar, men du kan bruka småprogrammet &#8220;Eigen meny&#8221; for å leggja alle menyar du lagar her til i sidestolpen til bunaden."
"Label","Merke"
"Menu Item","Menyoppføring"
"Add to Menu","Legg til i menyen"
"No items.","Ingen oppføringar."
"Most Recent","Nyaste"
"View All","Sjå alle"
"Select menu items (pages, categories, links) from the boxes at left to begin building your custom menu.","Vel menyelement (sider, kategoriar, lenkjer) frå boksane til høgre for å byrja å byggja din eigen meny."
"The Walker class named <strong>%s</strong> does not exist.","Walker-klassa med namn <strong>%s</strong> finst ikkje."
"Click Save Menu to make pending menu items public.","Klikk på Lagre menyen for å offentleggjera dei menyoppføringane som ventar."
"There are some invalid menu items. Please check or delete them.","Du har nokre ugyldige menyoppføringar. Sjå gjennom eller slett dei."
"Show advanced menu properties","Vis avanserte menyeigenskapar"
"Link Target","Lenkjemål"
"CSS Classes","CSS-klasser"
