"New password","Nueva contraseña"
"Hostname","Servidor"
"Authentication Keys","Claves de autentificación"
"Public Key:","Clave pública:"
"Private Key:","Clave privada:"
"Enter the location on the server where the keys are located. If a passphrase is needed, enter that in the password field above.","Introduce la dirección del servidor en el que se encuentran las claves. Si es necesaria una contraseña, introdúcela en el campo de contraseña."
"Connection Type","Tipo de conexión"
"Proceed","Ejecutar"
"Image data does not exist. Please re-upload the image.","No existen datos de la imagen. Por favor, vuelve a subir la imagen."
"Crop","Recortar"
"Rotate counter-clockwise","Rotar en sentido contrario a las agujas del reloj."
"Rotate clockwise","Rotar en el sentido de las agujas del reloj."
"Image rotation is not supported by your web host.","La rotación de imágenes no es soportada por tu hosting"
"Flip vertically","Voltear verticalmente"
"Flip horizontally","Voltear horizontalmente"
"Scale Image","Escalar imagen"
"You can proportionally scale the original image. For best results the scaling should be done before performing any other operations on it like crop, rotate, etc. Note that if you make the image larger it may become fuzzy.","Puedes escalar proporcionalmente la imagen original. Para obtener los mejores resultados es mejor escalar la imagen antes de realizar otras operaciones como recortar, rotar, etc. Date cuenta de que si haces más grande la imagen puede verse borrosa."
"Original dimensions %s","Dimensiones originales %s"
"Discard any changes and restore the original image.","Descartar todos los cambios y restaurar la imagen original."
"Previously edited copies of the image will not be deleted.","Las copias de la imagen editadas previamente no se borrarán."
"Restore image","Restaurar imagen"
"Image Crop","Recortar imagen"
"(help)","(ayuda)"
"The image can be cropped by clicking on it and dragging to select the desired part. While dragging the dimensions of the selection are displayed below.","Puedes recortar la imagen haciendo clic en ella y arrastrando la parte deseada. Mientras arrastras, abajo se muestran las dimensiones."
"Crop Aspect Ratio","Relación de aspecto de la zona a recortar"
"You can specify the crop selection aspect ratio then hold down the Shift key while dragging to lock it. The values can be 1:1 (square), 4:3, 16:9, etc. If there is a selection, specifying aspect ratio will set it immediately.","Puedes especificar la relación de aspecto de la zona seleccionada para recortar y luego mantener la tecla mayúsculas mientras arrastras para bloquearlo. Los valores pueden ser 1:1 (cuadrado), 4:3, 16:9, etc. Si hay una selección, al especificar la relación de aspecto se establece al instante."
"Crop Selection","Selección de recorte"
"Once started, the selection can be adjusted by entering new values (in pixels). Note that these values are scaled to approximately match the original image dimensions. The minimum selection size equals the thumbnail size as set in the Media settings.","Una vez comiences, la selección puede ajustarse introduciendo nuevos valores (en pixels). Date cuenta que estos valores se escalan para que se ajusten, aproximadamente, a las dimensiones de la imagen original. El tamaño de selección mínimo se iguala al tamaño de miniatura establecido en las opciones de Multimedia."
"Aspect ratio:","Relación de aspecto:"
"Selection:","Selección:"
"Thumbnail Settings","Opciones de miniatura"
"The thumbnail image can be cropped differently. For example it can be square or contain only a portion of the original image to showcase it better. Here you can select whether to apply changes to all image sizes or make the thumbnail different.","La imagen de miniatura puede recortarse de manera diferente. Por ejemplo, puede ser cuadrada, o contener sólo una parte de la imagen original para que se ajuste mejor. Aquí puedes elegir si aplicar los cambios a todos los tamaños de imagen o hacer una miniatura diferente."
"Current thumbnail","Miniatura actual"
"Apply changes to:","Aplicar cambios a:"
"All image sizes","Todos los tamaños de imagen"
"All sizes except thumbnail","Todos los tamaños excepto la miniatura"
"There are unsaved changes that will be lost. 'OK' to continue, 'Cancel' to return to the Image Editor.","Hay cambios sin guardar que se perderán. 'Aceptar' para continuar, 'Cancelar' para volver a editor de imágenes."
"$image needs to be an WP_Image_Editor object","$image necesita ser un objeto de WP_Image_Editor"
"Use WP_Image_Editor::rotate","Utiliza WP_Image_Editor::rotate"
"Use WP_Image_Editor::flip","Utiliza WP_Image_Editor::flip"
"Cannot load image metadata.","No se pudieron cargar los metadatos de la imagen."
"Cannot save image metadata.","No se pudieron guardar los metadatos de la imagen."
"Image metadata is inconsistent.","Los metadatos de la imagen son inconsistentes."
"Image restored successfully.","Imagen restaurada con éxito."
"Unable to create new image.","No se pudo crear una imagen nueva."
"Error while saving the scaled image. Please reload the page and try again.","Error al tratar de guardar la imagen escalada. Vuelve a cargar la página e inténtalo de nuevo."
"Nothing to save, the image has not changed.","Nada que guardar, la imagen no ha cambiado."
"Unable to save the image.","No se pudo guardar la imagen."
"Image saved","Imagen guardada"
"Install the Blogger importer to import posts, comments, and users from a Blogger blog.","Instala el importador de Blogger para importar entradas, comentarios y usuarios de un blog de Blogger."
"Categories and Tags Converter","Conversor de etiquetas y categorías"
"Install the category/tag converter to convert existing categories to tags or tags to categories, selectively.","Instala el conversor de categorías existentes en etiquetas o las etiquetas en categorías, de forma selectiva."
"Install the LiveJournal importer to import posts from LiveJournal using their API.","Instala el importador de LiveJournal para importar entradas usando su API"
"Movable Type and TypePad","Movable Type y TypePad"
"Install the Movable Type importer to import posts and comments from a Movable Type or TypePad blog.","Instala el importador de Movable Type para importar entradas y comentarios de un blog de Movable Type o TypePad."
"Blogroll","Sitios de interés"
"Install the blogroll importer to import links in OPML format.","Instala el importador de sitios de interés para importar enlaces en formato OPML."
"Install the RSS importer to import posts from an RSS feed.","Instala el importador RSS para Importar entradas de una fuente RSS."
"Install the Tumblr importer to import posts &amp; media from Tumblr using their API.","Instala el importador de Tumblr para importar entradas y media de Tumblr usando su API"
"Install the WordPress importer to import posts, pages, comments, custom fields, categories, and tags from a WordPress export file.","Instala el importador de WordPress para importar entradas, páginas, comentarios, campos personalizados, categorías y etiquetas de un archivo de exportación de WordPress."
"From Computer","Desde el ordenador"
"From URL","Desde una URL"
"Gallery (%s)","Galería (%s)"
"Uploads","Archivos subidos"
"File URL","URL del archivo"
"Attachment Post URL","URL del adjunto a la entrada"
"Empty Title filled from filename.","Título vacío rellenado desde el nombre de fichero."
"Location of the uploaded file.","Ubicación del archivo subido."
"Alt text for the image, e.g. &#8220;The Mona Lisa&#8221;","Texto alternativo (alt) de la imagen, por ejemplo &#8220;La Mona Lisa&#8221;"
"Show","Mostrar"
"Hide","Ocultar"
"File name:","Nombre de archivo:"
"File type:","Tipo de archivo:"
"Upload date:","Fecha de subida:"
"Dimensions:","Dimensiones:"
"Insert into Post","Insertar en la entrada"
"You are about to delete <strong>%s</strong>.","Estás a punto de eliminar <strong>%s</strong>."
"Continue","Continuar"
"Drop files here","Arrastra los archivos aquí"
"or","o"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the browser uploader for files over 100MB.","Tu navegador tiene algunas limitaciones subiendo archivos grandes con la subida de archivos múltiple. Por favor, usa la subida de archivos del navegador para archivos mayores de 100MB."
"Add media files from your computer","Añadir archivos desde tu ordenador"
"Save all changes","Guardar todos los cambios"
"Insert media from another website","Insertar medio desde otra web"
"All Tabs:","Todas las pestañas:"
"Sort Order:","Ordenar:"
"Ascending","Ascendente"
"Descending","Descendente"
"Link thumbnails to:","Enlazar miniaturas a:"
"Image File","Archivo de imagen"
"Order images by:","Ordenar imágenes por:"
"Menu order","Orden del menú"
"Date/Time","Fecha/Hora"
"Order:","Orden:"
"Gallery columns:","Columnas de la galería"
"Update gallery settings","Actualizar ajustes de la galería"
"Search Media","Buscar medios"
"All Types","Todos los tipos"
"Filter &#187;","Filtrar &#187;"
"Image Caption","Leyenda de la imagen"
"Audio, Video, or Other File","Audio, vídeo u otro tipo de archivo."
"Link text, e.g. &#8220;Ransom Demands (PDF)&#8221;","Texto del enlace, por ejemplo \"Peticiones de rescate (PDF)\""
"Link Image To:","Enlazar la imagen a:"
"Link to image","Enlace a la imagen"
"You are using the multi-file uploader. Problems? Try the <a href=\"%s\" target=\"%s\">browser uploader</a> instead.","Estás utilizando la subida múltiple de archivos. ¿Algún problema? Puedes probar a <a href=\"%s\" target=\"%s\">subirlo desde el navegador</a> instead."
"You are using the browser&#8217;s built-in file uploader. The WordPress uploader includes multiple file selection and drag and drop capability. <a href=\"#\">Switch to the multi-file uploader</a>.","Estás usando el cargador propio del navegador. El cargador de WordPress incluye selección múltiple de archivos y capacidad de arrastrar y soltar. <a href=\"#\">Cambiar al cargador múltiple</a>."
"Scale images to match the large size selected in %simage options%s (%s3$d &times; %s4$d).","Redimensiona las imágenes para que coincidan con la medida más larga seleccionada en las %sopciones sobre imágenes%s (%s3$d &times; %s4$d)."
"Sorry, you have used all of your storage quota of %s MB.","Disculpa, pero ya has utilizado cuota de almacenamiento de %s MB."
"File URL:","URL archivo:"
"You do not have sufficient permissions to access this page.","No tienes suficientes permisos para acceder a esta página"
"Preview Changes","Vista previa de los cambios"
"Visibility:","Visibilidad:"
"Password protected","Protegida con contraseña"
"Stick this post to the front page","Fijar esta entrada en la página principal"
"Scheduled for: <b>%s</b>","Programada para:<b>%s</b>"
"Published on: <b>%s</b>","Publicada el: <b>%s</b>"
"Publish <b>immediately</b>","Publicar <b>inmediatamente</b>"
"Schedule for: <b>%s</b>","Programar para:<b>%s</b>"
"Publish on: <b>%s</b>","Publicar el: <b>%s</b>"
"Uploaded on: <b>%s</b>","Subido a: <b>%s</b>"
"Most Used","Más utilizadas"
"Excerpts are optional hand-crafted summaries of your content that can be used in your theme. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Learn more about manual excerpts.</a>","Los extractos son resúmenes opcionales de tu contenido hechos \"ex-profeso\" que puedes usar en tu tema. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Aprende algo acerca de los extractos manuales.</a>"
"Already pinged:","Pingbacks enviados:"
"Send trackbacks to:","Enviar trackbacks a:"
"Separate multiple URLs with spaces","Separar varias URLs con espacios"
"Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. If you link other WordPress sites they&#8217;ll be notified automatically using <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, no other action necessary.","Los trackbacks son un modo de avisar a sistemas antiguos de que les has enlazado. Si enlazas a otros sitios creados con WordPress recibirán un aviso automático gracias a los <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, sin tener que hacer nada."
"Custom fields can be used to add extra metadata to a post that you can <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">use in your theme</a>.","Los campos personalizados se pueden usar para añadir metadatos adicionales a una entrada y luego <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\"> mostrarlos en tu tema.</a> ."
"Allow comments.","Permitir comentarios."
"Allow <a href=\"%s\" target=\"_blank\">trackbacks and pingbacks</a> on this page.","Permitir <a href=\"%s\" target=\"_blank\">trackbacks y pingbacks</a> en esta página."
"Add comment","Añadir comentario"
"Show comments","Mostrar comentarios"
"(no parent)","(sin superior)"
"Need help? Use the Help tab in the upper right of your screen.","¿Necesitas ayuda? Usa la pestaña Ayuda en la parte superior derecha de la pantalla."
"Visit Link","Visitar enlace"
"Keep this link private","Mantener este enlace como privado"
"You are about to delete this link '%s'\n 'Cancel' to stop, 'OK' to delete.","Estás a punto de borrar este enlace '%s'\n 'Cancelar' para parar, 'Aceptar' para borrar."
"+ Add New Category","+ Añadir categoría nueva "
"New category name","Nombre nueva categoría"
"<code>_blank</code> &mdash; new window or tab.","<code>_blank</code> &mdash; nueva ventana o pestaña."
"<code>_top</code> &mdash; current window or tab, with no frames.","<code>_top</code> &mdash; ventana o pestaña actual, sin marcos."
"<code>_none</code> &mdash; same window or tab.","<code>_none</code> &mdash; misma ventana o pestaña."
"Choose the target frame for your link.","Ellige el marco de destino para tu enlace."
"identity","identidad"
"another web address of mine","otra dirección web mía"
"friendship","amistad"
"contact","contacto"
"acquaintance","conocido"
"friend","amigo"
"physical","físico"
"met","conocido en persona"
"professional","profesional"
"co-worker","compañero de trabajo"
"colleague","colega"
"geographical","geográfico"
"co-resident","co-residente"
"neighbor","vecino"
"family","familia"
"child","hija/o"
"kin","pariente"
"parent","padre/madre"
"sibling","hermano/a"
"spouse","cónyuge"
"romantic","romántica"
"muse","inspiración"
"crush","flechazo"
"date","fecha"
"sweetheart","pareja"
"If the link is to a person, you can specify your relationship with them using the above form. If you would like to learn more about the idea check out <a href=\"http://gmpg.org/xfn/\">XFN</a>.","Si el enlace es a una persona, puedes especificar tu relación con ella utilizando el formulario de arriba. Si deseas aprender más acerca de cómo funciona esto revisa el <a href=\"http://gmpg.org/xfn/\">XFN</a>."
"Image Address","Dirección de la imagen"
"RSS Address","Dirección RSS"
"Notes","Notas"
"(Leave at 0 for no rating.)","(Dejalo en 0 para no valorar.)"
"Admin Color Scheme","Esquema de color de administración"
"Sorry, you must delete files before you can upload any more.","Lo siento, tienes que eliminar archivos antes de subir más."
"Not enough space to upload. %s KB needed.","No hay espacio suficiente para subir. Se necesitan %s KB "
"This file is too big. Files must be less than %s KB in size.","El archivo es demasiado grande. Los archivos deben ser menores de %s KB."
"You have used your space quota. Please delete files before uploading.","Ya has llenado tu cuota de espacio. Por favor, borra archivos antes de subir más."
"Back","Volver"
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Estimado usuario,\n\nHas solicitado cambiar tu dirección de correo electrónico de \nadministración para tu sitio.\nSi esto es correcto haz clic en el siguiente enlace para cambiarla:\n###ADMIN_URL###\n\nPuedes ignorar y borrar este correo electrónico con seguridad si no\nquieres llevar a cabo esta acción.\n\nEste correo electrónico se ha enviado a ###EMAIL###\n\nGracias,\nDesde ###SITENAME###\n###SITEURL### "
"[%s] New Admin Email Address","[%s] Nueva dirección de correo electrónico de administrador"
"<strong>ERROR</strong>: The email address is already used.","<strong>ERROR</strong>: Esa dirección de correo electrónico ya está siendo utilizada."
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","Estimado usuario,\n\nRecientemente has solicitado cambiar la dirección de correo electrónico de tu cuenta.\nSi esto es así haz clic en el siguiente enlace para cambiarla:\n###ADMIN_URL###\n\nPuedes ignorar y borrar este correo electrónico con seguridad si no quieres\nllevar a cabo esta acción.\n\nEste correo electrónico ha sido enviado a  ###EMAIL###\n\nGracias,\nDesde ###SITENAME###\n###SITEURL###"
"[%s] New Email Address","[%s] Nueva dirección de correo electrónico"
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.","Tu dirección de correo electrónico no se ha actualizado todavía. Por favor, revisa la bandeja de entrada de %s para ver si llegó el correo electrónico de confirmación."
"Sorry, you have used your space allocation. Please delete some files to upload more files.","Lo siento, has agotado la cuota de espacio disponible. Por favor, borra algunos archivos para poder subir más."
"Used: %s%s% of %s","Usado %s%s% de %s"
"Site Upload Space Quota","Cuota de espacio de archivos del sitio"
"MB (Leave blank for network default)","MB (déjalo en blanco para el valor por defecto de la red)"
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.","Has tratado de acceder al escritorio \"%s\" pero actualmente no tienes privilegios en este sitio. Si crees que deberías poder acceder al escritorio \"%s\" contacta con tu administrador de la red."
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.","Si has llegado a esta pantalla por accidente y querías visitar uno de tus propios sitios aquí tienes algunos enlaces que te ayudarán a encontrar el camino."
"Your Sites","Tus sitios"
"Visit Dashboard","Visitar Escritorio"
"View Site","Ver sitio"
"American English","Inglés americano"
"British English","Inglés británico"
"English","Inglés"
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.","¡Atención! WordPress encripta las cookies de usuario, pero debes añadir las siguientes líneas al archivo <strong>wp-config.php</strong> para que sea más seguro."
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:","Antes de la línea <code>/* Eso es todo, deja de editar! Feliz blogging. */</code> añade este código:"
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.","¡Gracias por actualizar! Por favor, visita la página de <a href=\"%s\">Actualizar red</a> para actualizar todos tus sitios."
"Primary Site","Sitio principal"
"%s (Invalid)","%s (no válido)"
"%s (Pending)","%s (Pendiente)"
"Move up","Mover arriba"
"Move down","Mover abajo"
"Edit Menu Item","Editar elemento del menú"
"Navigation Label","Etiqueta de navegación"
"Title Attribute","Atributos del título"
"CSS Classes (optional)","Clases CSS (opcional)"
"The description will be displayed in the menu if the current theme supports it.","La descripción se mostrará en los menús si el tema actual lo soporta."
"Home: %s","Inicio: %s"
"Theme Locations","Ubicación del tema"
"Custom Links","Enlaces personalizados"
"The current theme does not natively support menus, but you can use the &#8220;Custom Menu&#8221; widget to add any menus you create here to the theme&#8217;s sidebar.","El tema actual no soporta menús de forma nativa, pero puedes usar el widget &#8220;Menús personalizados&#8221;  para añadir los menús que has creado a la barra lateral de tu tema."
"Label","Etiqueta"
"Menu Item","Elemento del menú"
"Add to Menu","Añadir al menú"
"No items.","Sin elementos."
"Most Recent","Más reciente"
"View All","Ver todo"
"Select menu items (pages, categories, links) from the boxes at left to begin building your custom menu.","Selecciona elementos de menú (páginas, categorías, enlaces) de la caja de la izquierda para comenzar a construir tu propio menú."
"The Walker class named <strong>%s</strong> does not exist.","La clase Walker para el nombre <strong>%s</strong> no existe."
"Click Save Menu to make pending menu items public.","Haz click en Guardar menú para hacer públicos los elementos de menú pendientes."
"There are some invalid menu items. Please check or delete them.","Hay algunos elementos de menú no válidos. Por favor, compruébalos o elimínalos."
"Show advanced menu properties","Mostrar propiedades avanzadas de menú"
"Link Target","Destino del enlace"
"CSS Classes","Clases CSS"
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=\"http://wordpress.org/support/\">support forums</a>.","Ha ocurrido un error inesperado. Puede que algo vaya mal con WordPress.org  o la configuración de este servidor. Si sigues teniendo problemas prueba en los  <a href=\"http://es.forums.wordpress.org/\">foros de soporte</a>."
"Plugins extend and expand the functionality of WordPress. You may automatically install plugins from the <a href=\"http://wordpress.org/extend/plugins/\">WordPress Plugin Directory</a> or upload a plugin in .zip format via <a href=\"%s\">this page</a>.","Los plugins amplían las funciones de WordPress. Puedes instalarlos automáticamente desde el <a href=\"http://wordpress.org/extend/plugins/\">directorio de plugins de WordPress</a> o subir un plugin en formato .zip desde esta página."
"Popular tags","Etiquetas populares"
"You may also browse based on the most popular tags in the Plugin Directory:","También puedes ver las etiquetas más populares del directorio de plugins:"
"%s plugin","%d plugin"
"%s plugins","%d plugins"
"Keyword","Palabra clave"
"Search Plugins","Buscar plugins"
"Install a plugin in .zip format","Instalar un plugin en formato .zip"
"If you have a plugin in a .zip format, you may install it by uploading it here.","Si tienes un plugin en un archivo .zip, puedes subirlo e instalarlo desde aquí."
"Plugin zip file","Archivo .zip del plugin"
"If you have marked plugins as favorites on WordPress.org, you can browse them here.","Si has marcado un plugin cómo favorito en WordPress.org, los puedes ver desde aquí."
"Your WordPress.org username:","Tu nombre de usuario en WordPress.org"
"Get Favorites","Obtener favoritos"
"Installation","Instalación"
"Screenshots","Capturas de pantalla"
"Changelog","Informe de cambios"
"Other Notes","Otras notas"
"Plugin Install","Instalar plugin"
"Install Update Now","Instalar actualización ahora"
"Newer Version (%s) Installed","Instalada la última versión (%s)"
"Latest Version Installed","Instalada la última versión"
"Author:","Autor:"
"Last Updated:","Última actualización:"
"Requires WordPress Version:","Requiere la versión de WordPress:"
"%s or higher","%s o superior"
"Compatible up to:","Compatible con:"
"Downloaded:","Descargado:"
"%s time","%s vez"
"%s times","%s veces"
"WordPress.org Plugin Page &#187;","Página de plugins de WordPress.org &#187;"
"Plugin Homepage &#187;","Página principal del plugin &#187;"
"Average Rating","Puntuación promedio"
"<strong>Warning:</strong> This plugin has <strong>not been tested</strong> with your current version of WordPress.","<strong>Atención:</strong> Este plugin <strong>no ha sido probado</strong> en esta versión de WordPress."
"<strong>Warning:</strong> This plugin has <strong>not been marked as compatible</strong> with your version of WordPress.","<strong>Atención:</strong> Este plugin <strong>no es compatible</strong> con esta versión de WordPress."
"The <code>%s</code> plugin header is deprecated. Use <code>%s</code> instead.","La cabecera del plugin <code>%s</code> es obsoleta. Usa <code>%s</code> en su lugar."
"Visit plugin homepage","Visitar la web del plugin"
"By %s.","Por %s."
"Advanced caching plugin.","Plugin avanzado de caché."
"Custom database class.","Clase de base datos personalizada."
"Custom database error message.","Mensaje de error de base de datos personalizado."
"Custom install script.","Script personalizado de instalación."
"Custom maintenance message.","Mensaje personalizado de mantenimiento."
"External object cache.","Caché de objetos externos."
"Executed before Multisite is loaded.","Ejecutado antes de cargar el Multisitio."
"Custom site deleted message.","Mensaje personalizado para sitios eliminados."
"Custom site inactive message.","Mensaje personalizado para sitios inactivos."
"Custom site suspended message.","Mensaje personalizado para sitios suspendidos."
"The plugin generated unexpected output.","El plugin ha generado una respuesta insesperada."
"One of the plugins is invalid.","Uno de los plugins no es válido."
"Could not fully remove the plugin(s) %s.","No se pudo/ieron eliminar completamente el/los plugin/s %s."
"Invalid plugin path.","La ruta del plugin no es válida."
"Plugin file does not exist.","El archivo del plugin no existe."
"The plugin does not have a valid header.","El plugin no tiene una cabecera válida."
"The \"%s\" options group has been removed. Use another settings group.","El grupo de opciones \"%s\" ha sido eliminado. Utiliza otro grupo de ajustes."
"You are not allowed to edit pages as this user.","No tienes autorización para editar páginas con este nombre de usuario."
"You are not allowed to edit posts as this user.","No tienes autorización para editar entradas con este nombre de usuario."
"You are not allowed to edit pages.","No tienes autorización para editar páginas."
"You are not allowed to edit posts.","No tienes autorización para editar entradas."
"Auto Draft","Borrador automático"
"You are not allowed to create pages on this site.","No tienes autorización para crear páginas en este sitio."
"You are not allowed to create posts or drafts on this site.","No tienes autorización para crear entradas o borradores en este sitio."
"Click to edit this part of the permalink","Haz clic para editar esta parte del enlace permanente"
"Temporary permalink. Click to edit this part.","Enlace permanente temporal. Haz clic para editar esta parte."
"Permalink:","Enlace permanente:"
"Change Permalinks","Enlaces permanentes"
"Remove featured image","Quitar la imagen destacada"
"Warning: %s is currently editing this post","Atención: %s está editando actualmente esta entrada"
"Warning: %s is currently editing this page","Atención: %s está editando actualmente esta página"
"Warning: %s is currently editing this.","Atención: %s está editando actualmente esto."
"Preview not available. Please save as a draft first.","Vista previa no disponible. Por favor, guarda antes el borrador."
"My Site","Mi sitio"
"Just another WordPress site","Otro sitio realizado con WordPress"
"F j, Y","j F, Y"
"g:i a","G:i"
"F j, Y g:i a","j F, Y G:i"
"Just another %s site","Otro sitio más de %s"
"Administrator","Administrador"
"Contributor","Colaborador"
"Subscriber","Suscriptor"
"You must provide a domain name.","Debes facilitarnos un nombre de dominio."
"You must provide a name for your network of sites.","Debes facilitarnos un nombre para tu red de sitios."
"The network already exists.","La red ya existe."
"You must provide a valid e-mail address.","Debes facilitarnos una dirección de correo electrónico válida."
"Welcome to <a href=\"SITE_URL\">SITE_NAME</a>. This is your first post. Edit or delete it, then start blogging!","Te damos la bienvenida a <a href=\"SITE_URL\">SITE_NAME</a>. Este es tu primer artículo. Edítalo o bórralo... ¡y comienza a publicar!"
"Warning! Wildcard DNS may not be configured correctly!","¡Atención! ¡Puede que las DNS no estén configuradas correctamente."
"The installer attempted to contact a random hostname (<code>%s</code>) on your domain.","El instalador ha tratado de contactar con un servidor aleatorio (<code>%s</code>) en tu dominio."
"This resulted in an error message: %s","Esto ha dado como resultado un mensaje de error: %s"
"To use a subdomain configuration, you must have a wildcard entry in your DNS. This usually means adding a <code>*</code> hostname record pointing at your web server in your DNS configuration tool.","Para hacer uso de la configuración en subdominios debes tener una entrada de registro <em>wildcard</em> en tu DNS. Normalmente esto se consigue añadiendo el registro <code>*</code> en tu nombre de servidor, apuntando a tu servidor o dominio en las herramientas de configuración de tu servidor o dominio."
"You can still use your site but any subdomain you create may not be accessible. If you know your DNS is correct, ignore this message.","Puedes continuar usando tu sitio, pero ningún subdominio que crees será accesible. Si sabes que tu configuración de DNS es correcta, ignora este mensaje."
"Contextual Help Tab","Pestaña de ayuda contextual"
"Screen Options","Opciones de pantalla"
"Enable accessibility mode","Activar modo de accesibilidad"
"Disable accessibility mode","Desactivar modo de accesibilidad"
"Screen Options Tab","Pestaña de opciones de pantalla"
"Show on screen","Mostrar en pantalla"
"Welcome","Hola"
"Screen Layout","Diseño de pantalla"
"Number of Columns:","Número de columnas:"
"You did not enter a category name.","No has introducido un nombre de categoría."
"Reply to Comment","Responder al comentarío"
"Add new Comment","Añadir nuevo comentario"
"Add Comment","Añadir comentario"
"Update Comment","Actualizar comentario"
"Submit Reply","Enviar respuesta"
"Comment by %s moved to the trash.","Comentario de %s movido a la papelera."
"Comment by %s marked as spam.","El comentario de %s se ha marcado como spam."
"Value","Valor"
"Key","Clave"
"Add New Custom Field:","Añadir nuevo campo personalizado:"
"Enter new","Nuevo"
"Add Custom Field","Añadir un campo personalizado"
"Thumbnail linked to file","Miniatura enlazada al archivo"
"Image linked to file","Imagen enlazada al archivo"
"Thumbnail linked to page","Miniatura enlazada a la página"
"Image linked to page","Imagen enlazada a la página"
"Link to file","Enlace al archivo"
"Link to page","Enlace a la página"
"Before you can upload your import file, you will need to fix the following error:","Antes de poder subir el fichero de importación, debes resolver el siguiente error:"
"Choose a file from your computer:","Elige un archivo de tu ordenador:"
"Maximum size: %s","Tamaño máximo: %s"
"Upload file and import","Subir archivo e importar"
"Click to toggle","Haz clic para cambiar"
"The miscellaneous options group has been removed. Use another settings group.","Las opciones misceláneas de grupo se han eliminado. Usa otros ajustes de grupo."
"The privacy options group has been removed. Use another settings group.","El grupo de opciones de privacidad se ha eliminado. Utiliza otro grupo de ajustes."
"Find Posts or Pages","Buscar entradas o páginas"
"Save Changes","Guardar cambios"
"New Feature: Toolbar","Nueva característica: Barra de Herramientas"
"We&#8217;ve combined the admin bar and the old Dashboard header into one persistent toolbar. Hover over the toolbar items to see what&#8217;s new.","Hemos combinado la barra de administración y la vieja cabecera del Escritorio en una única barra de herramientas siempre visible. Pasa el ratón sobre los elementos de barra de herramientas para ver las novedades."
"Network Admin is now located in the My Sites menu.","Administrador de la red se encuentra ahora en el menú Mis Sitios."
"New Feature: Saving Widgets","Nueva funcionalidad: guardar widgets"
"If you change your mind and revert to your previous theme, we&#8217;ll put the widgets back the way you had them.","Si cambias de opinión y vuelves a tu tema anterior, pondremos los widgets de nuevo como estaban."
"New Feature: Customizer","Nueva característica: Personalizador"
"Click Customize to change the header, background, title and menus of the current theme, all in one place.","Haz clic en Personalizar para cambiar la cabecera, fondo, título y menús del tema actual, todo desde un mismo lugar."
"Click the Live Preview links in the Available Themes list below to customize and preview another theme before activating it.","Haz clic en los enlaces de Vista previa de la siguiente lista de Temas disponibles para personalizar y previsualizar otro tema antes de activarlo. "
"New Feature: Choose Image from Library","Nueva característica: Elegir imagen desde la librería"
"Want to use an image you uploaded earlier? Select it from your media library instead of uploading it again.","¿Quieres usar una imagen que ya subiste? Elígela desde tu librería multimedia en vez de subirla de nuevo."
"Uploading files and creating image galleries has a whole new look. Check it out!","Subir imágenes y la creación de galerías multimedia tiene un nuevo diseño, compruébalo"
"Likely direct inclusion of wp-admin/includes/template.php in order to use add_meta_box(). This is very wrong. Hook the add_meta_box() call into the add_meta_boxes action instead.","Es común la inclusión directa de wp-admin/includes/template.php en el tema para utilizar add_meta_box(). En vez de hacer esto, y por seguridad, debes utilizar la llamada al gancho  add_meta_box() de la acción add_meta_boxes."
"Search for themes by keyword.","Buscar temas por palabra clave."
"Type of search","Tipo de búsqueda"
"Search by keyword","Búsqueda por palabra clave"
"Search by author","Búsqueda por autor"
"Search by tag","Búsqueda por etiquetas"
"Feature Filter","Filtrar por características"
"Find a theme based on specific features.","Busca un tema basándote en características específicas."
