"New password","Ny adgangskode"
"Please select one or more themes to update.","Vælg venligst et eller flere temaer, du vil opdatere."
"Please select one or more plugins to update.","Vælg venligst et eller flere plugins, du vil opdatere."
"Last checked on %s at %s.","Sidst tjekket %s kl. %s."
"Check Again","Tjek igen"
"You do not have sufficient permissions to update plugins for this site.","Du har desværre ikke rettigheder til at opdatere plugins på dette site."
"Plugin Reactivation","Genaktivering af plugin"
"Plugin reactivated successfully.","Plugin blev genaktiveret."
"Plugin failed to reactivate due to a fatal error.","Plugin kunne ikke genaktiveres fordi det resulterede i en kritisk fejl."
"Installing Plugin: %s","Installerer plugin: %s"
"Upload Plugin","Upload plugin"
"Installing Plugin from uploaded file: %s","Installerer plugin fra uploadet fil: %s"
"You do not have sufficient permissions to update themes for this site.","Du har ikke rettigheder til at opdatere temaer for denne side."
"Installing Theme: %s","Installerer temaet %s"
"Upload Theme","Upload tema"
"Installing Theme from uploaded file: %s","Installerer tema fra uploadet fil: %s"
"WordPress &rsaquo; Update","WordPress > Opdater"
"No Update Required","Opdatering er ikke nødvendig"
"Your WordPress database is already up-to-date!","Din WordPress-database er allerede up-to-date!"
"Database Update Required","Databaseopdatering påkrævet"
"WordPress has been updated! Before we send you on your way, we have to update your database to the newest version.","WordPress er blevet opdateret! Inden vi er helt færdige, er vi dog nødt til at opdatere din database til den nyeste version."
"The update process may take a little while, so please be patient.","Opdateringen kan tage lidt tid, så vær tålmodig."
"Update WordPress Database","Opdater WordPress database"
"Update Complete","Opdatering gennemført"
"Your WordPress database has been successfully updated!","Din WordPress-database er blevet opdateret!"
"%s queries","%s foresp&#248;rgsler"
"%s seconds","%s sekunder"
"You are not allowed to scan for lost attachments.","Du har ikke tilladelse til at scanne efter mistede filer."
"You are not allowed to move this post to the trash.","Du har ikke tilladelse til at flytte dette indl&#230;g til papirkurven."
"Error in moving to trash...","Fejl ved flytning til papirkurv..."
"You are not allowed to move this post out of the trash.","Du har ikke tilladelse til at flytte dette indl&#230;g væk fra papirkurven."
"Error in restoring from trash...","Fejl ved genskabelse fra papirkurv..."
"You are not allowed to delete this post.","Du har ikke tilladelse til at slette dette indl&#230;g."
"Media items","Medieelementer"
"All the files you&#8217;ve uploaded are listed in the Media Library, with the most recent uploads listed first. You can use the Screen Options tab to customize the display of this screen.","Alle filerne du har uploadet findes i mediebiblioteket med de nyeste først. Du kan bruge fanen skærmindstillinger til at tilpasse visningen på skærmen."
"You can narrow the list by file type/status using the text link filters at the top of the screen. You also can refine the list by date using the dropdown menu above the media table.","Du kan sortere listen med filtype/status, ved at klikke på linkene øverst i skærmbilledet.Du kan også datosortere listen ved at bruge dropdownmenuen ovenover listen."
"Hovering over a row reveals action links: Edit, Delete Permanently, and View. Clicking Edit or on the media file&#8217;s name displays a simple screen to edit that individual file&#8217;s metadata. Clicking Delete Permanently will delete the file from the media library (as well as from any posts to which it is currently attached). View will take you to the display page for that file.","Når du fører musen over en række afsløres en nogle handlingslinks: Rediger, Slet permanent og Vis. Hvis du klikker på Rediger eller på mediefilens navn så føres du til et skærmbillede, hvor du kan redigere i filens metadata. Klikker du på Slet permanent, slettes filen fra mediebiblioteket (såvel som fra alle indlæg, som det aktuelt er knyttet til). Vis vil tage dig til den pågældende fils visningsside."
"Attaching Files","Vedhæft filer"
"If a media file has not been attached to any post, you will see that in the Attached To column, and can click on Attach File to launch a small popup that will allow you to search for a post and attach the file.","Hvis en mediefil ikke er knyttet til noget indlæg, vil du se det i Vedhæftet til-kolonnen, og kan klikke på Vedhæft fil, hvorefter der åbner et lille popup-vindue, der vil give dig mulighed for at søge efter et indlæg og vedhæfte filen."
"<a href=\"http://codex.wordpress.org/Media_Library_Screen\" target=\"_blank\">Documentation on Media Library</a>","<a href=\"http://codex.wordpress.org/Media_Library_Screen\" target=\"_blank\">Dokumentation om mediebiblioteket</a>"
"Reattached %d attachment.","Gen-vedhæftet %d "
"Reattached %d attachments.","Gen-vedhæftet %d "
"Media attachment permanently deleted.","Medievedhæftning slettet permanent."
"%d media attachments permanently deleted.","%d medievedhæftninger slettet permanent."
"Media attachment moved to the trash.","Medievedhæftning flyttet til papirkurven."
"%d media attachments moved to the trash.","%d medievedhæftninger flyttet til papirkurven."
"Media attachment restored from the trash.","Medievedhæftning gendannet fra papirkurv."
"%d media attachments restored from the trash.","%d medievedhæftninger gendannet fra papirkurv."
"Media permanently deleted.","Medie slettet permanent."
"Error saving media attachment.","Kunne ikke gemme mediefil."
"Media moved to the trash.","Medie flyttet til papirkurv."
"Media restored from the trash.","Medie genskabt fra papirkurven."
"Edit User","Rediger bruger"
"Your profile contains information about you (your &#8220;account&#8221;) as well as some personal options related to using WordPress.","Din profil indeholder information om dig (din &#8220;konto&#8221;) såvel som nogle personlige valg i vedrørende brugen af WordPress."
"You can change your password, turn on keyboard shortcuts, change the color scheme of your WordPress administration screens, and turn off the WYSIWYG (Visual) editor, among other things. You can hide the Toolbar (formerly called the Admin Bar) from the front end of your site, however it cannot be disabled on the admin screens.","Du kan ændre din adgangskode, slå tastaturgenveje til, ændre farveskemaet på din WordPress-administration, og slå WYSIWYG (Visual) editor fra - blandt andre ting. Du kan skjule værktøjslinjen (tidligere kaldet Administrationsbjælken) fra ​​dit websted, men den kan ikke være deaktiveret i administrationen."
"Your username cannot be changed, but you can use other fields to enter your real name or a nickname, and change which name to display on your posts.","Dit brugernavn kan desværre ikke ændres, men du kan bruge de andre felter til at udfylde dit eget navn eller et alias og derefter angive, hvilket navn der skal vises på sitet."
"Required fields are indicated; the rest are optional. Profile information will only be displayed if your theme is set up to do so.","P&aring;kr&aelig;vede felter er markerede; resten er valgfri. Din profilinformation vises kun i temaer, der kodet til at vise dem og indstillet til dette."
"Remember to click the Update Profile button when you are finished.","Husk at klikke p&aring; Opdater Profil, n&aring;r du er f&aelig;rdig."
"<a href=\"http://codex.wordpress.org/Users_Your_Profile_Screen\" target=\"_blank\">Documentation on User Profiles</a>","<a href=\"http://codex.wordpress.org/Users_Your_Profile_Screen\" target=\"_blank\">Dokumentation om brugerprofiler</a>"
"Use https","Brug https"
"Always use https when visiting the admin","Brug altid https i administrationen"
"You do not have permission to edit this user.","Du har ikke bef&#248;jelser til at redigere denne bruger."
"Important:","Vigtigt:"
"This user has super admin privileges.","Denne bruger har super admin rettigheder."
"Profile updated.","Profil opdateret."
"User updated.","Bruger opdateret."
"&larr; Back to Users","← Tilbage til brugere"
"Add Existing","Tilføj eksisterende"
"Personal Options","Personlige indstillinger"
"Visual Editor","Visuel editor"
"Disable the visual editor when writing","Deaktiver Visual Editor n&#229;r du skriver"
"Keyboard Shortcuts","Tastaturgenveje"
"Enable keyboard shortcuts for comment moderation.","Sl&#229; genvejstaster til kommentarmoderation til."
"<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">More information</a>","<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">Mere information</a>"
"Show Toolbar when viewing site","Vis værktøjslinje på webstedet"
"Usernames cannot be changed.","Brugernavne kan desværre ikke ændres."
"&mdash; No role for this site &mdash;","&mdash; Ingen rolle på dette websted &mdash;"
"Grant this user super admin privileges for the Network.","Tildel denne bruger super admin rettigheder til netværket."
"Super admin privileges cannot be removed because this user has the network admin email.","Rettighederne som superadministrator kan ikke fratages, da denne bruger har netværkets administrator e-mail."
"First Name","Fornavn"
"Last Name","Efternavn"
"Nickname","Kaldenavn"
"Display name publicly as","Vis navn offentligt som"
"Contact Info","Kontaktinformationer"
"There is a pending change of your e-mail to <code>%s</code>. <a href=\"%s\">Cancel</a>","Der er en afventende ændring af din e-mail til <code>%s </code>. <a href=\"%s\">Annuller </a>"
"About Yourself","Om dig"
"About the user","Om brugeren"
"Biographical Info","Biografisk info"
"Share a little biographical information to fill out your profile. This may be shown publicly.","Del lidt biografiske informationer om dig selv i din profil. Det er tilg&#230;ngeligt for andre."
"New Password","Nyt kodeord"
"If you would like to change the password type a new one. Otherwise leave this blank.","Hvis du vil &#230;ndre brugerens kodeord, skal du skrive et nyt. Ellers skal du bare lade v&#230;re med at udfylde feltet."
"Type your new password again.","Skriv dit kodeord igen."
"Additional Capabilities","Yderligere egenskaber"
"Update Profile","Opdater profil"
"Update User","Opdater bruger"
"Hi,\nYou've been invited to join '%s' at\n%s with the role of %s.\nIf you do not want to join this site please ignore\nthis email. This invitation will expire in a few days.\n\nPlease click the following link to activate your user account:\n%s%s",""
"[%s] Your site invite","[%s] Din webstedsinvitation"
"Hi,\n\nYou've been invited to join '%s' at\n%s with the role of %s.\n\nPlease click the following link to confirm the invite:\n%s","Hej,\n \n Du er blvet inviteret til at slutte dig til '%s' på\n %s med rollen som %s.\n \n Klik venligst på linket for at bekræfte invitationen:\n %s"
"[%s] Joining confirmation","[%s] Bekræftelse af tilmelding"
"To add a new user to your site, fill in the form on this screen and click the Add New User button at the bottom.","For at tilføje nye brugere til dit site skal du udfylde formularen på denne skærm, og herefter trykke på knappen \"Tilføj ny bruger\"."
"Because this is a multisite installation, you may add accounts that already exist on the Network by specifying a username or email, and defining a role. For more options, such as specifying a password, you have to be a Network Administrator and use the hover link under an existing user&#8217;s name to Edit the user profile under Network Admin > All Users.","Da dette er en Multisite-installation, kan du tilføje konti, der allerede findes på netværket, ved at angive et brugernavn eller e-mail-adresse, og tildele brugeren en rolle. For at få flere muligheder, såsom at angive en adgangskode, skal du være en netværksadministrator og føre markøren over linket til en eksisterende brugers navn. Derefter kan du gå til Rediger brugerprofil under Netværkadministrator > Alle brugere."
"New users will receive an email letting them know they&#8217;ve been added as a user for your site. This email will also contain their password. Check the box if you don&#8217;t want the user to receive a welcome email.","Nye brugere vil modtage en e-mail for at lade dem vide, de er blevet tilføjet som en bruger til dit websted. Denne e-mail vil også indeholde deres kodeord. Fjern markeringen i feltet, hvis du ikke ønsker, at kodeordet skal stå i den velkomst-e-mail."
"You must assign a password to the new user, which they can change after logging in. The username, however, cannot be changed.","Du skal tildele et kodeord til den nye bruger, som vedkommende kan skifte efter at have logget ind. Brugernavnet, kan dog ikke ændres."
"New users will receive an email letting them know they&#8217;ve been added as a user for your site. By default, this email will also contain their password. Uncheck the box if you don&#8217;t want the password to be included in the welcome email.","Nye brugere vil modtage en e-mail for at lade dem vide, de er blevet tilføjet som en bruger til dit websted. Som standard vil denne e-mail også indeholde deres kodeord. Fjern markeringen i feltet, hvis du ikke ønsker, at kodeordet skal stå i den velkomst-mail."
"Remember to click the Add New User button at the bottom of this screen when you are finished.","Når du er færdig, så husk at trykke på knappen \"Tilføj ny bruger\" i bunden af skærmen."
"User Roles","Bruger roller"
"Here is a basic overview of the different user roles and the permissions associated with each one:","Her er en grundlæggende oversigt over de forskellige brugerroller og tilladelserne for hver rolle:"
"Administrators have access to all the administration features.","Administratorer har adgang til alle funktioner i administrationen."
"Editors can publish posts, manage posts as well as manage other people&#8217;s posts, etc.","Redakt&oslash;rer kan udgive og redigere deres egne og andres indl&aelig;g."
"Authors can publish and manage their own posts, and are able to upload files.","Forfattere kan udgive og håndtere deres egne indlæg og kan uploade filer."
"Contributors can write and manage their posts but not publish posts or upload media files.","Bidragydere kan skrive og håndtere deres egne indlæg, men kan ikke udgive indlæg eller uploade mediefiler."
"Subscribers can read comments/comment/receive newsletters, etc. but cannot create regular site content.","Abonnenter kan læse kommentarer/kommentere/modtage nyhedsbreve etc., men kan ikke oprette almindeligt indhold på webstedet."
"<a href=\"http://codex.wordpress.org/Users_Add_New_Screen\" target=\"_blank\">Documentation on Adding New Users</a>","<a href=\"http://codex.wordpress.org/Users_Add_New_Screen\" target=\"_blank\">Dokumentation om at tilføje nye brugere</a>"
"Invitation email sent to new user. A confirmation link must be clicked before their account is created.","Der er sent en invitations-mail til den nye bruger. Der skal klikkes på et godkendelseslink i denne mail før kontoen bliver oprettet."
"Invitation email sent to user. A confirmation link must be clicked for them to be added to your site.","Brugeren har fået tilsendt en invitation på e-mail. For at blive tilføjet til dit websted skal brugeren klikke på et bekræftelseslink i e-mailen."
"User has been added to your site.","Brugeren er blevet tilføjet til dit websted."
"That user is already a member of this site.","Denne bruger er allerede registreret på dette websted."
"User added.","Bruger tilføjet."
"Add New User","Tilføj ny bruger"
"Add Existing User","Tilføj eksisterende bruger"
"Enter the email address of an existing user on this network to invite them to this site. That person will be sent an email asking them to confirm the invite.","Skriv e-mail-adressen eller brugernavnet på en eksisterende bruger på netværket for at invitere dem til dette websted. Vedkommende vil få tilsendt en e-mail, hvor de bliver bedt om at bekræfte invitationen. "
"Enter the email address or username of an existing user on this network to invite them to this site. That person will be sent an email asking them to confirm the invite.","Skriv e-mail-adressen eller brugernavnet på en eksisterende bruger på netværket for at invitere dem til dette websted. Vedkommende vil få tilsendt en e-mail, hvor de bliver bedt om at bekræfte invitationen."
"E-mail or Username","E-mail eller brugernavn"
"Skip Confirmation Email","Spring over e-mail-bekræftelse"
"Add the user without sending them a confirmation email.","Tilføj brugeren uden at sende dem en e-mail og bede dem bekræftelse tilføjelsen."
"Create a brand new user and add it to this site.","Opret en helt ny bruger og føj vedkommende til dette websted."
"(twice, required)","(to gange, p&#229;kr&#230;vet)"
"Send Password?","Send adgangskode?"
"Send this password to the new user by email.","Send denne adgangskode til den nye bruger via e-mail."
"This screen lists all the existing users for your site. Each user has one of five defined roles as set by the site admin: Site Administrator, Editor, Author, Contributor, or Subscriber. Users with roles other than Administrator will see fewer options in the dashboard navigation when they are logged in, based on their role.","Dette skærmbillede viser alle de eksisterende brugere på dit websted. Hver bruger har én ud af fem mulige roller, hvilket er defineret af webstedets administrator: Webstedsadministrator, Redaktør, Forfatter, Bidragyder, eller Abonnent. Brugere med andre roller end Administrator vil se færre muligheder i kontrolpanelet, når de er logget ind. Hvilke muligheder de har kommer helt an på den rolle, de har fået tildelt."
"To add a new user for your site, click the Add New button at the top of the screen or Add New in the Users menu section.","For at tilføje en ny bruger til dit websted, skal du klikke på Tilføj ny knappen øverst på skærmen eller Tilføj ny i sektionen Brugere."
"Screen Display","Vis på skærmen"
"You can customize the display of this screen in a number of ways:","Du kan tilpasse visningen af dette skærmbillede på en række måder:"
"You can hide/display columns based on your needs and decide how many users to list per screen using the Screen Options tab.","Du kan skjule/vise kolonner efter behov og vælge hvor man brugere, der skal vises pr. skærmbillede, ved at bruge fanen Skærmindstillinger."
"You can filter the list of users by User Role using the text links in the upper left to show All, Administrator, Editor, Author, Contributor, or Subscriber. The default view is to show all users. Unused User Roles are not listed.","Du kan filtrere listen af af brugere efter Brugerrolle ved at bruge de links der er oppe til venstre. Du kan filtrere i forhold til Alle, Administrator, Forfatter, Redaktør, Bidragsyder eller Abonnent. Som standard vises alle brugere. Brugerroller, der ikke er i brug, listes ikke."
"You can view all posts made by a user by clicking on the number under the Posts column.","Du kan se alle indlæg, der er lavet af en bruger, ved at klikke på nummeret i indlægskolonnen."
"Hovering over a row in the users list will display action links that allow you to manage users. You can perform the following actions:","Når markøren føres over en række i brugerlisten, vil der vises handlingslinks, som giver dig mulighed for at administrere brugere. Du kan udføre følgende handlinger:"
"Edit takes you to the editable profile screen for that user. You can also reach that screen by clicking on the username.","Rediger tager dig til den redigerbare profil for den pågældende bruger. Du kan også komme til det skærmbillede ved at klikke på brugernavnet."
"Remove allows you to remove a user from your site. It does not delete their posts. You can also remove multiple users at once by using Bulk Actions.","Fjern tillader dig at fjerne en bruger fra dit websted. Det sletter ikke deres indlæg. Du kan også fjerne flere brugere på én gang ved at bruge massehandling."
"Delete brings you to the Delete Users screen for confirmation, where you can permanently remove a user from your site and delete their posts. You can also delete multiple users at once by using Bulk Actions.","Slet fører dig til Slet bruger-skærmen for at du kan bekræfte sletningen og permanent fjerne en bruger fra dit websted, samt slette deres indlæg. Du kan også slette flere brugere på én gang ved at benytte massehandling."
"<a href=\"http://codex.wordpress.org/Users_Screen\" target=\"_blank\">Documentation on Managing Users</a>","<a href=\"http://codex.wordpress.org/Users_Screen\" target=\"_blank\">Dokumentation om håndtering af brugere</a>"
"<a href=\"http://codex.wordpress.org/Roles_and_Capabilities\" target=\"_blank\">Descriptions of Roles and Capabilities</a>","<a href=\"http://codex.wordpress.org/Roles_and_Capabilities\" target=\"_blank\">Beskrivelser af roller og muligheder</a>"
"You can&#8217;t edit that user.","Du kan ikke redigere den bruger."
"User deletion is not allowed from this screen.","Sletning af brugere er ikke tilladt fra dette skærmbillede."
"You can&#8217;t delete users.","Du kan ikke slette brugere."
"You can&#8217;t delete that user.","Du kan ikke slette den bruger."
"Delete Users","Slet bruger"
"Please select an option.","Vælg venligst en mulighed."
"You have specified this user for deletion:","Du har sat denne bruger til sletning:"
"You have specified these users for deletion:","Du har sat disse brugere til sletning:"
"ID #%s: %s <strong>The current user will not be deleted.</strong>","ID #%s: %s <strong>Denne bruger vil IKKE blive slettet.</strong>"
"What should be done with posts owned by this user?","Hvad skal der ske med indlæg skrevet af denne bruger?"
"What should be done with posts owned by these users?","Hvad skal der ske med indlæg skrevet af disse brugere?"
"Delete all posts.","Slet alle indlæg."
"Attribute all posts to:","Tilknyt alle indlæg til:"
"Confirm Deletion","Bekræft sletning"
"There are no valid users selected for deletion.","Der er ikke valgt nogen gyldig bruger til at blive slettet."
"You can&#8217;t remove users.","Du kan ikke fjerne brugere."
"Remove Users from Site","Fjern brugere fra websted"
"You have specified these users for removal:","Du har angivet, at følgende brugere skal slettes:"
"ID #%s: %s <strong>The current user will not be removed.</strong>","ID #%s: %s <strong>Denne bruger vil IKKE blive fjernet.</strong>"
"ID #%s: %s <strong>You don't have permission to remove this user.</strong>","ID #%s: %s <strong>Du har ikke tilladelse til at fjerne denne bruger.</strong>"
"Confirm Removal","Bekræft sletning"
"There are no valid users selected for removal.","Der er ikke valgt en gyldig bruger til sletning."
"User deleted.","Bruger slettet"
"%s users deleted.","%s brugere slettet"
"New user created. <a href=\"%s\">Edit user</a>","Bruger oprettet. <a href=\"%s\">Rediger bruger</a>"
"New user created.","Ny bruger oprettet."
"Changed roles.","Ændrede roller."
"The current user&#8217;s role must have user editing capabilities.","Den nuv&#230;rende brugers rolle skal have rettigheder til at redigere."
"Other user roles have been changed.","Anden brugers rolle er &#230;ndret."
"You can&#8217;t delete the current user.","Du kan ikke slette den nuv&#230;rende bruger."
"Other users have been deleted.","Anden bruger er slettet."
"User removed from this site.","Bruger er slettet fra webstedet."
"You can't remove the current user.","Du kan ikke slette den aktuelle bruger."
"Other users have been removed.","Andre brugere blev slettet."
"Widgets are independent sections of content that can be placed into any widgetized area provided by your theme (commonly called sidebars). To populate your sidebars/widget areas with individual widgets, drag and drop the title bars into the desired area. By default, only the first widget area is expanded. To populate additional widget areas, click on their title bars to expand them.","Widgets er uafhængige sektioner med indhold, som kan placeres i ethvert widgetklart område (i daglig tale sidebar) i dit tema. For at placere de forskellige widgets i dine widget-områder/sidebarer, kan du trække/slippe widget-titellinjen ind i den valgte sidebar. Som standard er det kun den første sidebar, der er foldet ud. For at placere widgets i andre sidebarer skal du klikke på sidebarens titellinje for at folde dem ud."
"The Available Widgets section contains all the widgets you can choose from. Once you drag a widget into a sidebar, it will open to allow you to configure its settings. When you are happy with the widget settings, click the Save button and the widget will go live on your site. If you click Delete, it will remove the widget.","Sektionen med tilgængelige widgets indeholder alle de widgets, som du kan vælge imellem. Når du trækker en widget til en sidebar, vil du kunne give den forskellige indstillinger. Når du er tilfreds med en widget-indstilling, skal du klikke på knappen Gem, og den widget vil nu være aktiv på dit websted. Hvis du klikker på Slet, vil den pågældende widget blive fjernet."
"Removing and Reusing","Fjerner og genbruger"
"If you want to remove the widget but save its setting for possible future use, just drag it into the Inactive Widgets area. You can add them back anytime from there. This is especially helpful when you switch to a theme with fewer or different widget areas.","Hvis du ønsker at fjerne en widget, men gemme dens indstilling til eventuel senere brug, skal du blot trække den ind i Inaktive Widgets. Du kan når som helst tilføje dem igen derfra. Dette er især nyttigt, hvis du skifter til et tema med færre eller anderledes widget områder."
"Widgets may be used multiple times. You can give each widget a title, to display on your site, but it&#8217;s not required.","Du kan bruge den samme widget flere gange. Du kan også give hver widget en titel, som vises på din side, men det er ikke påkrævet."
"Enabling Accessibility Mode, via Screen Options, allows you to use Add and Edit buttons instead of using drag and drop.","Via skærmindstillinger kan du slå tilgængelighedstilstand til. Dette giver mulighed for at bruge knapperne Tilføj og Rediger i stedet for at bruge træk og slip."
"Missing Widgets","Manglende widgets"
"Many themes show some sidebar widgets by default until you edit your sidebars, but they are not automatically displayed in your sidebar management tool. After you make your first widget change, you can re-add the default widgets by adding them from the Available Widgets area.","Mange temaer viser visse sidebar-elementer som standard, indtil du ændrer på sidebarens indhold, men disse bliver ikke automatisk vist i din sidebars administrationsdel. Når du har lavet din første widget-ændring kan du genindsætte disse elementer fra Tilgængelige widgets."
"When changing themes, there is often some variation in the number and setup of widget areas/sidebars and sometimes these conflicts make the transition a bit less smooth. If you changed themes and seem to be missing widgets, scroll down on this screen to the Inactive Widgets area, where all of your widgets and their settings will have been saved.","Når du skifter temaer, er der ofte en vis variation i antallet og opsætningen af widget områder/sidebarer og nogle gange kommer disse i konflikt med hinanden og gør overgangen lidt mindre glat. Hvis du har ændret temaer og synes at der mangler widgets, skal du rulle ned på skærmen til Inaktive widgets, hvor alle dine widgets og deres indstillinger er blevet gemt."
"<a href=\"http://codex.wordpress.org/Appearance_Widgets_Screen\" target=\"_blank\">Documentation on Widgets</a>","<a href=\"http://codex.wordpress.org/Appearance_Widgets_Screen\" target=\"_blank\">Dokumentation om widgets</a>"
"The theme you are currently using isn&#8217;t widget-aware, meaning that it has no sidebars that you are able to change. For information on making your theme widget-aware, please <a href=\"http://codex.wordpress.org/Widgetizing_Themes\">follow these instructions</a>.","Du ser denne besked, fordi dit tema ikke er widget-klar. Det vil sige, at det ikke har en sidebar, du kan &#230;ndre p&#229;. Hvis du vil g&#248;re dit tema widget-klar, kan du <a href=\"http://codex.wordpress.org/Widgetizing_Themes\">f&#248;lge disse instruktioner</a>."
"Inactive Sidebar (not used)","Inaktiv sidebar (bruges ikke)"
"This sidebar is no longer available and does not show anywhere on your site. Remove each of the widgets below to fully remove this inactive sidebar.","Denne sidebar er ikke længere tilgængelig, og vises ikke nogen steder på dit websted. Fjern hvert af de forskellige widgets nedenfor for helt at fjerne denne inaktive sidebar."
"Inactive Widgets","Inaktive widgets"
"Drag widgets here to remove them from the sidebar but keep their settings.","Tr&#230;k widgets hertil for at fjerne dem fra sidebaren, men beholde deres indstillinger."
"Select both the sidebar for this widget and the position of the widget in that sidebar.","V&#230;lg b&#229;de sidebaren til denne widget og widgetens posision i den sidebar. "
"Save Widget","Gem widget"
"Changes saved.","&#230;ndringer gemt."
"Error while saving.","Fejl ved gem."
"Error in displaying the widget settings form.","Fejl i visning af widget-indstillingerne."
"Available Widgets","Tilg&#230;ngelige widgets"
"Deactivate","Deaktiver"
"Drag widgets from here to a sidebar on the right to activate them. Drag widgets back here to deactivate them and delete their settings.","Tr&#230;k widgets herfra til en sidebar i h&#248;jre side for at aktivere dem. Tr&#230;k dem tilbage hertil for at deaktivere og slette deres indstillinger."
"Used by millions, Akismet is quite possibly the best way in the world to <strong>protect your blog from comment and trackback spam</strong>. It keeps your site protected from spam even while you sleep. To get started: 1) Click the \"Activate\" link to the left of this description, 2) <a href=\"http://akismet.com/get/?return=true\">Sign up for an Akismet API key</a>, and 3) Go to your Akismet configuration page, and save your API key.","Akismet bruges af millioner og er formodentlig den bedste måde at <strong>beskytte din blog mod kommentar- og trackback-spam</strong>. Den holder dit websted beskyttet mod spam, selv mens du sover. For at starte: 1) Klik på \"Aktiver\"-linket til venstre for denne beskrivelse, 2) <a href=\"http://akismet.com/get/?return=true\">Få dig en Akismet API-nøgle</a>, og 3) gå til din <a href=\"admin.php?page=akismet-key-config\">Akismet-indstillinger</a> og gem din API-nøgle.\n "
"This is not just a plugin, it symbolizes the hope and enthusiasm of an entire generation summed up in two words sung most famously by Louis Armstrong: Hello, Dolly. When activated you will randomly see a lyric from <cite>Hello, Dolly</cite> in the upper right of your admin screen on every page.","Dette er ikke bare et plugin, det symboliserer håbet og entusiasmen for en hel generation samlet i to ord, som er bedst kendt i den version, der synges af Louis Armstrong: Hello, Dolly. Når det er aktiveret vil du se tilfældige linjer fra teksten til <cite>Hello, Dolly</cite> øverst til højre på alle sider i administrationen."
"It looks like you're using an old version of <a href='%s'>%s</a>. For the best WordPress experience, please update your browser.","Det ser ud til at du bruger en gammel version af <a href='%s'>%s</a>. Opdater venligst din browser, hvis du ønsker opleve WordPress bedst muligt."
"<a href=\"%s\" class=\"update-browser-link\">Update %s</a> or learn how to <a href=\"%s\" class=\"browse-happy-link\">browse happy</a>","<a href=\"%s\" class=\"update-browser-link\">Opdater %s</a> eller lær at <a href=\"%s\" class=\"browse-happy-link\">Browse Happy</a>"
"Welcome to WordPress!","Velkommen til WordPress!"
"We&#8217;ve assembled some links to get you started:","Vi har samlet nogle links så du kan komme i gang:"
"Get Started","Kom i gang"
"Customize Your Site","Tilpas dit websted"
"or, <a href=\"%s\">change your theme completely</a>","eller, <a href=\"%s\">lav dit tema helt om</a>"
"Next Steps","Næste trin"
"Edit your front page","Rediger din forside"
"Add additional pages","Tilføj flere sider"
"Add a blog post","Tilføj et blog opslag"
"Write your first blog post","Skriv dit første blog opslag"
"Add an About page","Tilføj en Om side"
"View your site","Se dit site"
"More Actions","Flere handlinger"
"Manage <a href=\"%s\">widgets</a> or <a href=\"%s\">menus</a>","Håndter <a href=\"%s\">widgets</a> eller <a href=\"%s\">menuer</a>"
"Turn comments on or off","Slå kommentarer til eller fra"
"Learn more about getting started","Lær mere om, hvordan du kommer i gang"
"No matching users were found!","Fandt ingen matchende brugere!"
"Displaying %s&#8211;%s of %s","Viser %s&#8211;%s af %s"
"Main Index Template","Index"
"Popup Comments","Popup-kommentarer"
"Author Template","Forfatter-skabelon"
"Tag Template","Tag skabelon"
"Category Template","Kategorier"
"Page Template","Side"
"Search Form","S&#248;geformular"
"Single Post","Enkelt indl&#230;g"
"404 Template","404-skabelon"
"Links Template","Linksskabelon"
"Theme Functions","Temafunktioner"
"Attachment Template","Vedh&#230;ftet fil-skabelon"
"Image Attachment Template","Skabelon til vedh&#230;ftet billede"
"Video Attachment Template","Skabelon til vedh&#230;ftet video"
"Audio Attachment Template","Skabelon til vedh&#230;ftet lyd"
"Application Attachment Template","Skabelon til vedh&#230;ftet applikation"
"my-hacks.php (legacy hacks support)","my-hacks.php (st&#248;tte for gamle hacks)"
".htaccess (for rewrite rules )",".htaccess (for mod_rewrite-regler)"
"Comments Template","Kommentarer"
"Popup Comments Template","Popup-kommentarer"
"%s Page Template","%s sideskabelon"
"Sorry, can&#8217;t edit files with &#8220;..&#8221; in the name. If you are trying to edit a file in your WordPress home directory, you can just type the name of the file in.","Vi kan desv&#230;rre ikke redigere filer med &#8220;..&#8221; i navnet. Hvis du fors&#248;ger at redigere en fil i din WordPress-mappe, skal du bare skrive navnet p&#229; filen."
"The uploaded file exceeds the upload_max_filesize directive in php.ini.","Den uploadede fil overskrider den upload_max_filesize begrænsning, der er i php.ini."
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form.","Den uploadede fil overskrider den MAX_FILE_SIZE begrænsning, der blev angivet i html-formularen."
"The uploaded file was only partially uploaded.","Den uploadede fil blev kun delvist uploadet."
"No file was uploaded.","Ingen fil blev uploadet."
"Missing a temporary folder.","Der mangler en midlertidig mappe."
"Failed to write file to disk.","Kunne ikke skrive til disken."
"File upload stopped by extension.","Fil-upload stoppet af udvidelse."
"Invalid form submission.","Ugyldig formularindstilling"
"File is empty. Please upload something more substantial.","Filen er tom. Upload venligst noget med indhold."
