"New password","Nové heslo"
"Displaying %s&#8211;%s of %s","Zobrazení %s. &#8211; %s. z celkem %s"
"Main Index Template","Zobrazení úvodní stránky"
"Visual Editor Stylesheet","CSS vizuálního editoru"
"Visual Editor RTL Stylesheet","CSS vizuálního editoru s podporou RTL"
"RTL Stylesheet","CSS s podporou RTL (text psaný zprava doleva)"
"Popup Comments","Komentáře v novém okně"
"Footer","Zápatí"
"Author Template","Zobrazení autora"
"Tag Template","Zobrazení štítku"
"Category Template","Zobrazení rubriky"
"Page Template","Šablona stránky"
"Search Form","Vyhledávací formulář"
"Single Post","Zobrazení příspěvku"
"404 Template","Chybová stránka 404"
"Links Template","Zobrazení odkazů"
"Theme Functions","Funkce šablony"
"Attachment Template","Zobrazení souboru"
"Image Attachment Template","Zobrazení obrázku"
"Video Attachment Template","Zobrazení videa"
"Audio Attachment Template","Zobrazení audia"
"Application Attachment Template","Zobrazení jiného souboru"
"my-hacks.php (legacy hacks support)","my-hacks.php (podpora pro další úpravy)"
".htaccess (for rewrite rules )",".htaccess (pravidla pro přesměrování pomocí rewrite)"
"Comments Template","Zobrazení komentářů"
"Popup Comments Template","Zobrazení komentářů v novém okně"
"%s Page Template","%s - šablona stránky"
"Sorry, can&#8217;t edit files with &#8220;..&#8221; in the name. If you are trying to edit a file in your WordPress home directory, you can just type the name of the file in.","Nelze bohužel upravovat soubory se znaky &#8222;..&#8220; v názvu. Pokud se pokoušíte upravit soubor z hlavního adresáře WordPressu, stačí sem napsat pouze jeho název."
"The uploaded file exceeds the upload_max_filesize directive in php.ini.","Velikost nahrávaného souboru překročila povolenou hodnotu pro upload_max_filesize, která je nastavena v souboru php.ini."
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form.","Velikost nahrávaného souboru překročila povolenou hodnotu pro MAX_FILE_SIZE, která byla definována v HTML formuláři."
"The uploaded file was only partially uploaded.","Soubor byl nahrán pouze částečně."
"No file was uploaded.","Žádný soubor nebyl nahrán."
"Missing a temporary folder.","Dočasný adresář neexistuje."
"Failed to write file to disk.","Nepodařilo se zapsat soubor na disk."
"File upload stopped by extension.","Nahrávání souboru bylo přerušeno rozšířením pro PHP."
"Invalid form submission.","Odeslání formuláře se nezdařilo."
"File is empty. Please upload something more substantial.","Soubor je prázdný. Zkuste prosím příště nahrát něco smysluplnějšího."
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini or by post_max_size being defined as smaller than upload_max_filesize in php.ini.","Soubor je prázdný (má nulovou velikost). Zkuste prosím nahrát nějaký jiný soubor. Tato chyba může být také způsobena i zákazem nahrávání souborů (file_uploads), nebo nahráváním větších souborů než jaký je povolený limit (post_max_size a upload_max_filesize) v konfiguraci vašeho serveru (php.ini)."
"Specified file failed upload test.","Vybraný soubor neprošel kontrolou během nahrávání."
"Sorry, this file type is not permitted for security reasons.","Tento typ souboru bohužel není z bezpečnostních důvodů povolen."
"The uploaded file could not be moved to %s.","Nahraný soubor nemohl být přesunut do %s."
"The uploaded file exceeds the <code>upload_max_filesize</code> directive in <code>php.ini</code>.","Velikost nahrávaného souboru překročila nastavení <code>upload_max_filesize</code> v souboru <code>php.ini</code>."
"The uploaded file exceeds the <em>MAX_FILE_SIZE</em> directive that was specified in the HTML form.","Velikost nahrávaného souboru překročila nastavení <em>MAX_FILE_SIZE</em>, které bylo definováno v HTML formuláři."
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini.","Soubor je prázdný! Nahrajte, prosím, nějaký jiný soubor. Tato chyba může být způsobena zákazem nahrávání souborů v konfiguraci vašeho serveru (php.ini)."
"Specified file does not exist.","Vybraný soubor neexistuje."
"Invalid URL Provided.","URL adresa nebyla zadána."
"Could not create Temporary file.","Nepodařilo se vytvořit dočasný soubor."
"Incompatible Archive.","Formát archivu není kompatibilní."
"Could not retrieve file from archive.","Nepodařilo se získat soubor z archivu."
"Could not extract file from archive.","Nepodařilo se rozbalit archiv."
"Could not copy file.","Soubor se nepodařilo zkopírovat."
"Empty archive.","Archiv je prázdný."
"<strong>ERROR:</strong> There was an error connecting to the server, Please verify the settings are correct.","<strong>CHYBA:</strong> Během připojování k serveru došlo k nečekané chybě. Ověřte prosím, zda je vše správně nastaveno."
"Connection Information","Informace o připojení"
"To perform the requested action, WordPress needs to access your web server.","Pro splnění požadované akce se WordPress musí připojit k webovému serveru."
"Please enter your FTP or SSH credentials to proceed.","Zadejte prosím přihlašovací údaje k FTP nebo SSH, aby bylo možné pokračovat."
"FTP/SSH Username","Uživatelské jméno (FTP/SSH)"
"FTP/SSH Password","Heslo (FTP/SSH)"
"Please enter your FTP credentials to proceed.","Zadejte prosím přihlašovací údaje k FTP, aby bylo možné pokračovat."
"FTP Username","Uživatelské jméno (FTP)"
"FTP Password","Heslo (FTP)"
"If you do not remember your credentials, you should contact your web host.","Pokud přihlašovací údaje neznáte, kontaktujte prosím svého poskytovatele hostingu."
"Hostname","Server"
"Authentication Keys","Autentifikační klíče"
"Public Key:","Veřejný klíč:"
"Private Key:","Soukromý klíč:"
"Enter the location on the server where the keys are located. If a passphrase is needed, enter that in the password field above.","Vložte umístění na serveru, kde jsou uložené klíče. Pokud je vyžadováno heslo, vložte ho do horního pole."
"Connection Type","Typ spojení"
"Proceed","Spustit"
"Image data does not exist. Please re-upload the image.","Příslušná obrázková data bohužel neexistují. Zkuste prosím nahrát obrázek znovu."
"Crop","Oříznout"
"Rotate counter-clockwise","Otočit doleva"
"Rotate clockwise","Otočit doprava"
"Image rotation is not supported by your web host.",""
"Flip vertically","Překlopit svisle"
"Flip horizontally","Překlopit vodorovně"
"Scale Image","Změnit velikost obrázku"
"You can proportionally scale the original image. For best results the scaling should be done before performing any other operations on it like crop, rotate, etc. Note that if you make the image larger it may become fuzzy.","Můžete změnit velikost původního obrázku pouze se zachováním vzájemného poměru jeho stran. Pokud se chystáte obrázek ještě dále upravovat (např. oříznout, otočit, atd.), tak by měla být nejdříve změněna právě jeho velikost, aby byl výsledek všech provedených úprav co nejlepší. A ještě jedno upozornění: Když budete obrázek zvětšovat (objeví se varovný červený vykřičník), tak může být ve výsledku nepěkně rozmazaný."
"Original dimensions %s","Aktuální rozměry: %s"
"Discard any changes and restore the original image.","Zrušíte všechny dosavadní úpravy a obnovíte původní obrázek."
"Previously edited copies of the image will not be deleted.","Dříve upravované verze tohoto obrázku nebudou smazány."
"Restore image","Obnovit obrázek"
"Image Crop","Oříznout obrázek"
"(help)","(Nápověda)"
"The image can be cropped by clicking on it and dragging to select the desired part. While dragging the dimensions of the selection are displayed below.","Obrázek může být jednoduše oříznut tak, že na něj kliknete levým tlačítkem myši a tažením vyberete požadovanou část obrázku (dole pak můžete vidět aktuální rozměry vybrané oblasti)."
"Crop Aspect Ratio","Oříznutí se zachováním zvoleného poměru stran"
"You can specify the crop selection aspect ratio then hold down the Shift key while dragging to lock it. The values can be 1:1 (square), 4:3, 16:9, etc. If there is a selection, specifying aspect ratio will set it immediately.","Můžete nejdříve zadat poměr stran pro vybíranou část obrázku a poté ho zachovat držením klávesy Shift, zatímco označujete potřebnou oblast myší. Poměr stran můžete nastavit např. 1:1 (čtverec), 4:3, 16:9, atd. Pokud už máte nějakou oblast vybranou a poměr stran vložíte až potom, tak bude podle něj celá vybraná oblast okamžitě upravena."
"Crop Selection","Oříznutí podle zadaných rozměrů vybrané oblasti"
"Once started, the selection can be adjusted by entering new values (in pixels). Note that these values are scaled to approximately match the original image dimensions. The minimum selection size equals the thumbnail size as set in the Media settings.","I když jste již třeba s výběrem oblasti pro oříznutí začali, tak může být dodatečně upravena i ručním vložením nových hodnot (pixelů). Všimněte si, že jsou tyto hodnoty automaticky přizpůsobovány původním rozměrům obrázku. Minimální rozměry vybrané oblasti pro oříznutí však musí dosahovat alespoň velikosti náhledu (viz menu Nastavení - Média)."
"Aspect ratio:","Poměr stran:"
"Selection:","Rozměry vybrané oblasti:"
"Thumbnail Settings","Náhled a jeho přizpůsobení"
"The thumbnail image can be cropped differently. For example it can be square or contain only a portion of the original image to showcase it better. Here you can select whether to apply changes to all image sizes or make the thumbnail different.","Náhled může být upraven i jinak než původní obrázek (a jeho další velikosti), např. když chcete vytvořit přesně čtvercový tvar nebo oříznout jen malou část původního obrázku, která má na úvodní stránce webu v podobě náhledu upoutat čtenáře. Můžete si tedy vybrat, zda se provedené úpravy obrázku projeví ve všech jeho velikostech, nebo třeba jen u náhledu."
"Current thumbnail","Aktuální náhled"
"Apply changes to:","Použít provedené úpravy na:"
"All image sizes","Všechny velikosti obrázku"
"All sizes except thumbnail","Všechny velikosti obrázku kromě náhledu"
"There are unsaved changes that will be lost. 'OK' to continue, 'Cancel' to return to the Image Editor.",""
"$image needs to be an WP_Image_Editor object",""
"Use WP_Image_Editor::rotate",""
"Use WP_Image_Editor::flip",""
"Cannot load image metadata.","Nepodařilo se načíst obrázková metadata."
"Cannot save image metadata.","Nepodařilo se uložit obrázková metadata."
"Image metadata is inconsistent.","Obrázková metadata jsou nekonzistentní."
"Image restored successfully.","Původní obrázek byl úspěšně obnoven."
"Unable to create new image.","Nepodařilo se vytvořit nový obrázek."
"Error while saving the scaled image. Please reload the page and try again.","Během ukládání upraveného obrázku se objevila neznámá chyba. Obnovte prosím stránku a zkuste to znovu."
"Nothing to save, the image has not changed.","Není třeba nic ukládat, obrázek se vůbec nezměnil."
"Unable to save the image.","Obrázek se nepodařilo uložit."
"Image saved","Obrázek byl uložen."
"Install the Blogger importer to import posts, comments, and users from a Blogger blog.","Instalovat importovací nástroj pro Blogger, který vám umožní převést všechny příspěvky, komentáře a uživatele z vašeho účtu u Bloggeru do WordPressu."
"Categories and Tags Converter","Převaděč rubrik a štítků"
"Install the category/tag converter to convert existing categories to tags or tags to categories, selectively.","Instalovat nástroj pro převod vybraných rubrik na štítky (a naopak)."
"Install the LiveJournal importer to import posts from LiveJournal using their API.","Instalovat importovací nástroj pro LiveJournal, s jehož pomocí můžete využít API LiveJournalu a importovat tak všechny příspěvky do WordPressu."
"Movable Type and TypePad","Movable Type a TypePad"
"Install the Movable Type importer to import posts and comments from a Movable Type or TypePad blog.","Instalovat importovací nástroj pro Movable Type, který vám umožní importovat příspěvky a komentáře z vašeho účtu u TypePadu či vlastní instalace Movable Type."
"Blogroll","Odkazy"
"Install the blogroll importer to import links in OPML format.","Instalovat importovací nástroj pro odkazy v podobě OPML souboru."
"Install the RSS importer to import posts from an RSS feed.","Instalovat importovací nástroj pro obsah libovolného RSS zdroje."
"Install the Tumblr importer to import posts &amp; media from Tumblr using their API.","Instalovat importovací nástroj pro Tumblr, s jehož pomocí můžete využít API Tumblru a importovat tak všechny příspěvky &amp; mediální soubory do WordPressu."
"Install the WordPress importer to import posts, pages, comments, custom fields, categories, and tags from a WordPress export file.","Instalovat importovací nástroj pro příspěvky, stránky, komentáře, uživatelská pole, rubriky a štítky obsažené v exportním souboru WordPressu."
"From Computer","Nahrát z počítače"
"From URL","Přidat z URL adresy"
"Gallery (%s)","Galerie (%s)"
"Uploads","Nahrané soubory"
"File URL","URL souboru"
"Attachment Post URL","URL příspěvku se zobrazeným souborem"
"Empty Title filled from filename.","Nevyplněný název bude automaticky doplněn podle příslušného názvu souboru."
"Location of the uploaded file.","Umístění nahraného souboru."
"Alt text for the image, e.g. &#8220;The Mona Lisa&#8221;","Alternativní text obrázku, např. &#8222;Moje babička v kuchyni&#8220;"
"Show","Zobrazit"
"Hide","Skrýt"
"File name:","Název souboru:"
"File type:","Typ souboru:"
"Upload date:","Datum nahrání souboru:"
"Dimensions:","Rozměry:"
"Insert into Post","Vložit do příspěvku"
"You are about to delete <strong>%s</strong>.","Chystáte se smazat <strong>%s</strong>."
"Continue","Pokračovat"
"Drop files here","Přetáhnout soubory z&nbsp;počítače"
"or","nebo"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the browser uploader for files over 100MB.","Aktuálně používaný internetový prohlížeč bohužel obsahuje některá omezení pro zpracování příliš velkých souborů při použití nástroje pro současné nahrávání několik souborů najednou. Použijte prosím raději jednoduché nahrávání pomocí prohlížeče pro soubory větší než 100 MB."
"Add media files from your computer","Nahrát mediální soubor z počítače"
"Save all changes","Uložit všechny změny"
"Insert media from another website","Vložit mediální soubor z jiného webu"
"All Tabs:","Podrobné informace:"
"Sort Order:","Nastavit pořadí:"
"Ascending","Vzestupně"
"Descending","Sestupně"
"Link thumbnails to:","Náhled bude odkazovat na:"
"Image File","Soubor s obrázkem"
"Order images by:","Seřadit obrázky podle:"
"Menu order","Aktuální pořadí"
"Date/Time","Datum/Čas"
"Order:","Seřadit:"
"Gallery columns:","Počet sloupců galerie:"
"Update gallery settings","Aktualizovat nastavení galerie"
"Search Media","Vyhledat média"
"All Types","Všechny typy souborů"
"Filter &#187;","Zobrazit výběr &#187;"
"Image Caption","Titulek obrázku"
"Audio, Video, or Other File","Audio, video nebo jiný typ souboru"
"Link text, e.g. &#8220;Ransom Demands (PDF)&#8221;","Text odkazu, např. &#8222;Aktuální ceníky (PDF)&#8220;"
"Link Image To:","Obrázek bude odkazovat na:"
"Link to image","Odkaz na obrázek"
"You are using the multi-file uploader. Problems? Try the <a href=\"%s\" target=\"%s\">browser uploader</a> instead.",""
"You are using the browser&#8217;s built-in file uploader. The WordPress uploader includes multiple file selection and drag and drop capability. <a href=\"#\">Switch to the multi-file uploader</a>.",""
"Scale images to match the large size selected in %simage options%s (%s3$d &times; %s4$d).","Automaticky upravit velikost nahrávaných obrázků tak, aby dosahovaly maximálně rozměrů zadaných pro velký obrázek v nabídce %sNastavení &#8211; Média%s (%s3$d &times; %s4$d)."
"Sorry, you have used all of your storage quota of %s MB.",""
"File URL:",""
"You do not have sufficient permissions to access this page.","Nemáte dostatečné oprávnění pro přístup na tuto stránku."
"Preview Changes","Zobrazit náhled"
"Visibility:","Viditelnost:"
"Password protected","Chráněno heslem"
"Stick this post to the front page","Zvýraznit příspěvek na úvodní stránce"
"Scheduled for: <b>%s</b>","Naplánováno na: <b>%s</b>"
"Published on: <b>%s</b>","Publikováno: <b>%s</b>"
"Publish <b>immediately</b>","Publikovat <b>okamžitě</b>"
"Schedule for: <b>%s</b>","Naplánovat na: <b>%s</b>"
"Publish on: <b>%s</b>","Publikovat: <b>%s</b>"
"Uploaded on: <b>%s</b>",""
"Most Used","Nejpoužívanější"
"Excerpts are optional hand-crafted summaries of your content that can be used in your theme. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Learn more about manual excerpts.</a>","Stručné výpisy jsou volitelné, ručně psané souhrny obsahu příspěvku, které můžete použít v šabloně. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Podrobnosti o stručných výpisech naleznete v dokumentaci.</a>"
"Already pinged:","Už odkázáno (pingem):"
"Send trackbacks to:","Zaslat trackbacky na:"
"Separate multiple URLs with spaces","Více URL oddělte mezerami"
"Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. If you link other WordPress sites they&#8217;ll be notified automatically using <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, no other action necessary.","Trackbacky jsou způsobem, jak upozornit jiný web v případě, že se o něm ve svém článku zmiňujete. Pokud však odkazujete na web fungující ve WordPressu, tak bude upozorněn automaticky pomocí <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacku</a> a žádná další akce už není potřeba."
"Custom fields can be used to add extra metadata to a post that you can <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">use in your theme</a>.","Uživatelská pole mohou být použita k přidávání dodatečných informací, které pak můžete <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">použít v šabloně</a>."
"Allow comments.","Povolit komentáře."
"Allow <a href=\"%s\" target=\"_blank\">trackbacks and pingbacks</a> on this page.","Povolit <a href=\"%s\" target=\"_blank\">trackbacky a pingbacky</a>."
"Add comment",""
"Show comments","Zobrazit komentáře"
"(no parent)","(nemá nadřazenou stránku)"
"Need help? Use the Help tab in the upper right of your screen.","Potřebujete pomoc? Pokud si nevíte s něčím rady, použijte záložku Nápověda, kterou naleznete v pravém horním rohu."
"Visit Link","Navštívit odkaz"
"Keep this link private","Soukromý odkaz"
"You are about to delete this link '%s'\n 'Cancel' to stop, 'OK' to delete.",""
"+ Add New Category","+ vytvořit novou rubriku"
"New category name","Název nové rubriky"
"<code>_blank</code> &mdash; new window or tab.","<code>_blank</code> &mdash; Otevřít odkaz v novém okně nebo záložce prohlížeče."
"<code>_top</code> &mdash; current window or tab, with no frames.","<code>_top</code> - Otevřít odkaz v aktuálním okně nebo záložce prohlížeče, a to v celém rozsahu i při použití rámů na webu."
"<code>_none</code> &mdash; same window or tab.","<code>_none</code> &mdash; Otevřít odkaz v aktuálním okně nebo záložce prohlížeče."
"Choose the target frame for your link.","Vyberte si cílové zobrazení (atribut target) svého odkazu."
"identity","identita"
"another web address of mine","moje další webová adresa"
"friendship","přátelství"
"contact","kontakt"
"acquaintance","známost"
"friend","přítel"
"physical","osobní"
"met","setkání"
"professional","pracovní"
"co-worker","spolupracovník"
"colleague","kolega"
"geographical","geografický"
"co-resident","spolubydlící"
"neighbor","soused"
"family","rodina"
"child","dítě"
"kin","příbuzný"
"parent","rodič"
"sibling","sourozenec"
"spouse","manžel(ka)"
"romantic","romantický"
"muse","múza"
"crush","zamilovaný(á)"
"date","partner(ka)"
"sweetheart","miláček"
"If the link is to a person, you can specify your relationship with them using the above form. If you would like to learn more about the idea check out <a href=\"http://gmpg.org/xfn/\">XFN</a>.","Pokud odkazujete na nějakou osobu, můžete také specifikovat váš vztah k ní. Pro více informací o této možnosti navštivte web <a href=\"http://gmpg.org/xfn/\">XFN</a>."
"Image Address","URL adresa obrázku"
"RSS Address","Adresa RSS"
"Notes","Poznámky"
"(Leave at 0 for no rating.)","(Pokud nechcete hodnotit, tak ponechte 0.)"
"Admin Color Scheme","Barevné schéma administrace"
"Sorry, you must delete files before you can upload any more.",""
"Not enough space to upload. %s KB needed.",""
"This file is too big. Files must be less than %s KB in size.",""
"You have used your space quota. Please delete files before uploading.",""
"Back",""
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###",""
"[%s] New Admin Email Address",""
"<strong>ERROR</strong>: The email address is already used.",""
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###",""
"[%s] New Email Address",""
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.",""
"Sorry, you have used your space allocation. Please delete some files to upload more files.",""
"GB",""
"MB",""
"Used: %s%s% of %s",""
"Site Upload Space Quota",""
"MB (Leave blank for network default)",""
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.",""
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.",""
"Your Sites",""
"Visit Dashboard",""
"View Site",""
"American English",""
"British English",""
"English",""
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.",""
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:",""
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.",""
"Primary Site",""
"%s (Invalid)","%s (Neplatné)"
"%s (Pending)","%s (Nepublikováno)"
"Move up","Posunout nahoru"
"Move down","Posunout dolů"
"Edit Menu Item","Upravit položku menu"
"Navigation Label","Text odkazu"
"Title Attribute","Atribut title"
"CSS Classes (optional)","CSS třídy (volitelné)"
"The description will be displayed in the menu if the current theme supports it.","Popis bude zobrazen přímo v menu pouze v případě, že to aktuálně používaná šablona podporuje."
"Original: %s","Původní odkaz: %s"
"Home: %s","Úvodní stránka: %s"
"Theme Locations","Umístění v šabloně"
"Custom Links","Uživatelské odkazy"
"The current theme does not natively support menus, but you can use the &#8220;Custom Menu&#8221; widget to add any menus you create here to the theme&#8217;s sidebar.","Aktuálně používaná šablona sice nepodporuje přímé zobrazování menu, ale přesto můžete použít alespoň widget &#8222;Menu&#8220;, pomocí kterého jednoduše zobrazíte vytvořené menu např. v postranním panelu."
"Label","Text"
"Menu Item","Položka menu"
"Add to Menu","Přidat do menu"
"No items.","Žádné položky."
"Most Recent","Nejnovější"
"View All","Zobrazit vše"
"Select menu items (pages, categories, links) from the boxes at left to begin building your custom menu.","Zaškrtnutím si vyberte konkrétní položky budoucího menu (např. stránky, rubriky) z příslušných sekcí v levém sloupci (můžete si vytvořit i vlastní uživatelské odkazy) a pomocí tlačítka Přidat do menu tak začnete postupně vytvářet své vlastní menu."
"The Walker class named <strong>%s</strong> does not exist.","PHP třída Walker s názvem <strong>%s</strong> neexistuje."
"Click Save Menu to make pending menu items public.","Kliknutím na tlačítko Aktualizovat menu budou všechny provedené úpravy menu okamžitě zveřejněny."
"There are some invalid menu items. Please check or delete them.","Některé položky tohoto menu již nejsou nadále platné. Poznáte je podle červeného podbarvení a můžete je během kontroly zrovna postupně odstraňovat."
"Show advanced menu properties","Zobrazit pokročilé vlastnosti jednotlivých položek menu"
"Link Target","Zobrazení odkazu"
"CSS Classes","CSS třídy"
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=\"http://wordpress.org/support/\">support forums</a>.",""
"Plugins extend and expand the functionality of WordPress. You may automatically install plugins from the <a href=\"http://wordpress.org/extend/plugins/\">WordPress Plugin Directory</a> or upload a plugin in .zip format via <a href=\"%s\">this page</a>.","Pluginy jsou ideálním způsobem pro vylepšování a rozšiřování stávajících možností WordPressu. Můžete je snadno vyhledávat třeba na této stránce a následně rovnou automaticky instalovat z oficiálního <a href=\"http://wordpress.org/extend/plugins/\">adresáře pluginů pro WordPress</a> nebo stačí ručně <a href=\"%s\">nahrát</a> získaný instalační balíček ve formátu .zip."
"Popular tags","Nejoblíbenější štítky"
"You may also browse based on the most popular tags in the Plugin Directory:","Můžete si také vybrat plugin podle nejoblíbenějších štítků v oficiálním adresáři pluginů pro WordPress:"
"%s plugins","%s pluginů"
"Keyword",""
"Search Plugins","Hledat pluginy"
"Install a plugin in .zip format","Instalovat plugin v podobě .zip souboru"
"If you have a plugin in a .zip format, you may install it by uploading it here.","Pokud máte nějaký plugin v podobě instalačního balíčku, můžete ho zde nahrát do WordPressu, čímž bude automaticky nainstalován."
"Plugin zip file",".zip soubor pluginu"
"If you have marked plugins as favorites on WordPress.org, you can browse them here.",""
"Your WordPress.org username:",""
"Get Favorites",""
"Installation",""
"FAQ",""
"Screenshots",""
"Changelog",""
"Other Notes",""
"Plugin Install","Instalace pluginů"
"Install Update Now","Instalovat aktuální verzi"
"Newer Version (%s) Installed","Novější verze pluginu (%s) byla nainstalována"
"Latest Version Installed","Nejnovější verze pluginu byla nainstalována"
"FYI","Základní informace"
"Author:","Autor:"
"Last Updated:","Poslední aktualizace:"
"Requires WordPress Version:","Nejnižší požadovaná verze WordPressu:"
"%s or higher","%s a novější"
"Compatible up to:","Kompatibilní až do verze:"
"Downloaded:","Počet stažení:"
"%s time","%s-krát"
"%s times","%s-krát"
"WordPress.org Plugin Page &#187;","Oficiální stránka pluginu v adresáři WordPressu &#187;"
"Plugin Homepage &#187;",""
"Average Rating","Průměrné hodnocení"
"<strong>Warning:</strong> This plugin has <strong>not been tested</strong> with your current version of WordPress.","<strong>Upozornění:</strong> Tento plugin zatím <strong>nebyl testován</strong> na vámi používané verzi WordPressu."
"<strong>Warning:</strong> This plugin has <strong>not been marked as compatible</strong> with your version of WordPress.","<strong>Upozornění:</strong> Tento plugin pravděpodobně není <strong>kompatibilní</strong> s vámi používanou verzí WordPressu."
"The <code>%s</code> plugin header is deprecated. Use <code>%s</code> instead.","Hlavička pluginu <code>%s</code> už není nadále podporována. Použijte raději <code>%s</code>."
"Visit plugin homepage","Navštívit web pluginu"
"By %s.",""
"Advanced caching plugin.","Plugin pro pokročilé cachování."
"Custom database class.","Vlastní databázová třída."
"Custom database error message.","Vlastní zpráva o databázové chybě."
"Custom install script.","Vlastní instalační skript."
"Custom maintenance message.","Vlastní zpráva o probíhající údržbě webu."
"External object cache.","Externí objektová cache."
"Executed before Multisite is loaded.","Skript provedený před načtením sítě webů."
"Custom site deleted message.","Vlastní zpráva o smazaném síťovém webu."
"Custom site inactive message.","Vlastní zpráva o neaktivním síťovém webu."
"Custom site suspended message.","Vlastní zpráva o pozastaveném síťovém webu."
"The plugin generated unexpected output.","Plugin vygeneroval neočekávaný výstup."
"One of the plugins is invalid.","Jeden z pluginů je špatný."
"Could not fully remove the plugin(s) %s.","Nepodařilo se zcela smazat plugin(y) %s."
"Invalid plugin path.","Neplatná cesta k pluginu."
"Plugin file does not exist.","Plugin neexistuje."
"The plugin does not have a valid header.","Plugin patrně nemá platnou hlavičku se základními informacemi."
"The \"%s\" options group has been removed. Use another settings group.",""
"You are not allowed to edit pages as this user.","Nemáte dostatečné oprávnění pro úpravy stránek, jejichž autorem je tento uživatel."
"You are not allowed to edit posts as this user.","Nemáte dostatečné oprávnění pro úpravy příspěvků, jejichž autorem je tento uživatel."
"You are not allowed to edit pages.","Nemáte dostatečné oprávnění pro úpravy stránek."
"You are not allowed to edit posts.","Nemáte dostatečné oprávnění pro úpravy příspěvků."
"Auto Draft","Automaticky vytvořený koncept"
"You are not allowed to create pages on this site.","Nemáte dostatečné oprávnění pro vytváření nových stránek na tomto webu. "
"You are not allowed to create posts or drafts on this site.","Nemáte dostatečné oprávnění pro vytváření nových příspěvků či konceptů na tomto webu."
"Click to edit this part of the permalink","Po kliknutí na tuto část trvalého odkazu ji můžete změnit."
"Temporary permalink. Click to edit this part.","Tento trvalý odkaz je pouze dočasný. Kliknutím můžete tuto část změnit."
"Permalink:","Trvalý odkaz:"
"Change Permalinks","Změnit trvalé odkazy"
"Remove featured image","Odebrat náhledový obrázek"
"Warning: %s is currently editing this post","Upozornění: %s právě teď upravuje tento příspěvek"
"Warning: %s is currently editing this page","Upozornění: %s právě teď upravuje tuto stránku"
"Warning: %s is currently editing this.","Upozornění: %s to právě teď také upravuje"
"Preview not available. Please save as a draft first.","Náhled není k dispozici. Příspěvek prosím nejdříve uložte jako koncept."
"0",""
"My Site","Můj nový web"
"Just another WordPress site","Další web používající WordPress"
"1",""
"F j, Y","j.n.Y"
"g:i a","G.i"
"F j, Y g:i a","j.n.Y, G:i"
"Just another %s site","Další nový web v rámci sítě %s"
"Administrator","Administrátor"
"Editor","Šéfredaktor"
"Contributor","Spolupracovník"
"Subscriber","Návštěvník"
"You must provide a domain name.","Musíte zadat název domény."
"You must provide a name for your network of sites.","Musíte zadat pro vytvářenou síť webů nějaký název."
"The network already exists.","Síť webů již existuje."
"You must provide a valid e-mail address.","Musíte zadat platnou emailovou adresu."
"Welcome to <a href=\"SITE_URL\">SITE_NAME</a>. This is your first post. Edit or delete it, then start blogging!","Vítejte na webu <a href=\"SITE_URL\">SITE_NAME</a>. Toto je váš první testovací příspěvek. Můžete ho upravit nebo smazat a postupně pak začít s tvorbou vlastního webu."
"Warning! Wildcard DNS may not be configured correctly!","Varování! Zástupný znak (wildcard) na DNS serveru patrně není správně nastaven!"
"The installer attempted to contact a random hostname (<code>%s</code>) on your domain.","Během instalace došlo k pokusu o připojení k náhodnému hostname (<code>%s</code>) vaší domény."
"This resulted in an error message: %s","Objevila se však následující chyba: %s"
