"New password","新規パスワード"
"It looks like you're using an old version of <a href='%s'>%s</a>. For the best WordPress experience, please update your browser.","<a href='%s'>%s</a> の古いバージョンをお使いのようです。 WordPress のすばらしさを体験をするには、ブラウザを更新してください。"
"<a href=\"%s\" class=\"update-browser-link\">Update %s</a> or learn how to <a href=\"%s\" class=\"browse-happy-link\">browse happy</a>","<a href=\"%s\" class=\"update-browser-link\">%s</a> をアップデートするか<a href=\"%s\" class=\"browse-happy-link\">ブラウザの選択肢を知る Browse Happy サイト</a>を訪れてみてください。"
"Welcome to WordPress!","WordPress へようこそ !"
"We&#8217;ve assembled some links to get you started:","初めての方に便利なリンクを集めました。"
"Get Started","始めてみよう"
"Customize Your Site","サイトをカスタマイズ"
"or, <a href=\"%s\">change your theme completely</a>","または、<a href=\"%s\">別のテーマに変更する</a>"
"Next Steps","次のステップ"
"Edit your front page","フロントページを編集"
"Add additional pages","固定ページを追加"
"Add a blog post","ブログ投稿を追加"
"Write your first blog post","ブログに投稿する"
"Add an About page","「サイトについて」固定ページを追加"
"View your site","サイトを表示"
"More Actions","その他の操作"
"Manage <a href=\"%s\">widgets</a> or <a href=\"%s\">menus</a>","<a href=\"%s\">ウィジェット</a>または<a href=\"%s\">メニュー</a>の管理"
"Turn comments on or off","コメントを表示/非表示"
"Learn more about getting started","最初のステップについて詳細を読む"
"http://codex.wordpress.org/First_Steps_With_WordPress","http://wpdocs.sourceforge.jp/First_Steps_With_WordPress"
"No matching users were found!","該当のユーザーは見つかりませんでした !"
"Displaying %s&#8211;%s of %s"," %s&#8211;%s件 (%s件中) を表示中"
"Main Index Template","メインインデックスのテンプレート"
"Visual Editor Stylesheet","ビジュアルエディターのスタイルシート"
"Visual Editor RTL Stylesheet","ビジュアルエディターの RTL スタイルシート"
"RTL Stylesheet","RTL スタイルシート"
"Popup Comments","ポップアップコメント"
"Footer","フッター"
"Author Template","作成者テンプレート"
"Tag Template","投稿タグテンプレート"
"Category Template","カテゴリーテンプレート"
"Page Template","固定ページテンプレート"
"Search Form","検索フォーム"
"Single Post","単一記事の投稿"
"404 Template","404 テンプレート"
"Links Template","リンクテンプレート"
"Theme Functions","テーマのための関数"
"Attachment Template","添付ファイルテンプレート"
"Image Attachment Template","画像添付テンプレート"
"Video Attachment Template","動画添付テンプレート"
"Audio Attachment Template","音声添付テンプレート"
"Application Attachment Template","アプリケーション添付テンプレート"
"my-hacks.php (legacy hacks support)","my-hacks.php (レガシーハックに対応)"
".htaccess (for rewrite rules )",".htaccess (rewrite ルール用)"
"Comments Template","コメントテンプレート"
"Popup Comments Template","ポップアップコメントのテンプレート"
"%s Page Template","%s 固定ページテンプレート"
"Sorry, can&#8217;t edit files with &#8220;..&#8221; in the name. If you are trying to edit a file in your WordPress home directory, you can just type the name of the file in.","ファイル名に&#8220;..&#8221; が含まれているファイルは編集できません。WordPress のホームディレクトリにあるファイルを編集するにはそのファイル名のみを入力します。"
"The uploaded file exceeds the upload_max_filesize directive in php.ini.","アップロードしたファイルは php.ini で定義された upload_max_filesize を超過しています。"
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form.","アップロードしたファイルは HTML フォームで指定された MAX_FILE_SIZE を超過しています。"
"The uploaded file was only partially uploaded.","部分的にしかアップロードできませんでした。"
"No file was uploaded.","ファイルをアップロードできませんでした。"
"Missing a temporary folder.","一時フォルダが見つかりません。"
"Failed to write file to disk.","ディスクへのファイルの書き込みに失敗しました。"
"File upload stopped by extension.","拡張モジュールによってファイルアップロードが停止しました。"
"Invalid form submission.","フォームの送信が正しくありません。"
"File is empty. Please upload something more substantial.","ファイルは空です。実体のあるファイルをアップロードしてください。"
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini or by post_max_size being defined as smaller than upload_max_filesize in php.ini.","ファイルが空のようです。中身のあるファイルをアップロードしてください。このエラーは php.ini ファイルでアップロードができない設定になっているか、post_max_size が upload_max_filesize よりも小さく設定されているために発生している可能性もあります。"
"Specified file failed upload test.","指定したファイルのアップロードテストに失敗しました。"
"Sorry, this file type is not permitted for security reasons.","このファイルタイプはセキュリティの観点から許可されていません。"
"The uploaded file could not be moved to %s.","アップロードしたファイルを%sに移動できませんでした。"
"The uploaded file exceeds the <code>upload_max_filesize</code> directive in <code>php.ini</code>.","アップロードしようとしたファイルは <code>php.ini</code> の <code>upload_max_filesize</code> で指定されているサイズを超えています。"
"The uploaded file exceeds the <em>MAX_FILE_SIZE</em> directive that was specified in the HTML form.","アップロードしようとしたファイルは HTML フォームの <em>MAX_FILE_SIZE</em> で指定されているサイズを超えています。"
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini.","ファイルが空です。実体のあるファイルをアップロードしてください。また、このエラーは php.ini でアップロードが無効になっている場合に発生することもあります。"
"Specified file does not exist.","指定されたファイルは存在しません。"
"Invalid URL Provided.","無効な URL です。"
"Could not create Temporary file.","一時ファイルを作成できませんでした"
"Incompatible Archive.","互換性のないアーカイブ。"
"Could not retrieve file from archive.","アーカイブからファイルを取得できません。"
"Could not extract file from archive.","アーカイブからファイルを展開できません。"
"Could not copy file.","ファイルをコピーできませんでした。"
"Empty archive.","空のアーカイブ"
"<strong>ERROR:</strong> There was an error connecting to the server, Please verify the settings are correct.","<strong>ERROR:</strong> サーバー接続中にエラーが発生しました。設定を確認してください。"
"Connection Information","接続情報"
"To perform the requested action, WordPress needs to access your web server.","要求されたアクションを実行するには、WordPress が Web サーバーにアクセスする必要があります。"
"Please enter your FTP or SSH credentials to proceed.","次に進むには FTP または SSH の接続情報を入力してください。"
"FTP/SSH Username","FTP/SSH ユーザー名"
"FTP/SSH Password","FTP/SSH パスワード"
"Please enter your FTP credentials to proceed.","次に進むには FTP の接続情報を入力してください。"
"FTP Username","FTP ユーザー名"
"FTP Password","FTP パスワード"
"If you do not remember your credentials, you should contact your web host.","接続情報が思い出せない場合は、ホスティング担当者に問い合わせてください。"
"Hostname","ホスト名"
"Authentication Keys","認証キー"
"Public Key:","公開鍵:"
"Private Key:","秘密鍵:"
"Enter the location on the server where the keys are located. If a passphrase is needed, enter that in the password field above.","サーバー上の鍵の場所を入力してください。パスフレーズが必要な場合は上のパスワード欄に入力してください。"
"Connection Type","接続形式"
"Proceed","開始"
"Image data does not exist. Please re-upload the image.","画像のデータが存在しません。再度アップロードしてください。"
"Crop","トリミング"
"Rotate counter-clockwise","反時計回りに回転"
"Rotate clockwise","時計回りに回転"
"Image rotation is not supported by your web host.","ご利用中のホスティング環境は画像の回転機能に対応していません。"
"Flip vertically","垂直方向に反転"
"Flip horizontally","水平方向に反転"
"Scale Image","画像の拡大縮小"
"You can proportionally scale the original image. For best results the scaling should be done before performing any other operations on it like crop, rotate, etc. Note that if you make the image larger it may become fuzzy.","元のイメージの縦横比を保存したまま拡大縮小できます。画像の質を保つため、拡大縮小はトリミングや回転など他の操作よりも前に行いましょう。拡大するとぼやけた画像になってしまう場合があるので注意してください。"
"Original dimensions %s","元のサイズ: %s"
"Discard any changes and restore the original image.","変更を中止し、元の画像に戻します。"
"Previously edited copies of the image will not be deleted.","先に編集された画像のコピーは削除されません。"
"Restore image","画像を復元"
"Image Crop","画像のトリミング"
"(help)","(ヘルプ)"
"The image can be cropped by clicking on it and dragging to select the desired part. While dragging the dimensions of the selection are displayed below.","トリミングするには、画像をクリックしてからドラッグして残したい範囲を選択してください。ドラッグ中、選択部分のサイズが下に表示されます。"
"Crop Aspect Ratio","トリミング時の縦横比"
"You can specify the crop selection aspect ratio then hold down the Shift key while dragging to lock it. The values can be 1:1 (square), 4:3, 16:9, etc. If there is a selection, specifying aspect ratio will set it immediately.","トリミングする部分の縦横比を指定し、ドラッグ中にシフトキーを押しておくことで、比率を固定できます。値は1:1 (正方形)、4:3、16:9 などに指定可能です。トリミングするエリアを選択済みの場合、縦横比を指定すればすぐに適用されます。"
"Crop Selection","選択した部分を切り抜く"
"Once started, the selection can be adjusted by entering new values (in pixels). Note that these values are scaled to approximately match the original image dimensions. The minimum selection size equals the thumbnail size as set in the Media settings.","開始後、新しい値 (ピクセル) を入力する事で選択範囲を調整できます。これらの値は元の画像とほぼ一致するように拡大縮小されることに注意してください。最小選択値はメディア設定にて指定したサムネイルのサイズになります。"
"Aspect ratio:","縦横比:"
"Selection:","選択範囲:"
"Thumbnail Settings","サムネイル設定"
"The thumbnail image can be cropped differently. For example it can be square or contain only a portion of the original image to showcase it better. Here you can select whether to apply changes to all image sizes or make the thumbnail different.","サムネイル画像は元サイズの画像と異なるトリミングをすることができます。たとえば正方形にしたり、見やすくするために画像の一部のみを含めたりといったことが可能です。ここではすべてのサイズの画像を変更するか、サムネイル画像のみを変更するか選択できます。"
"Current thumbnail","現在のサムネイル画像"
"Apply changes to:","変更を適用:"
"All image sizes","すべての画像サイズ"
"All sizes except thumbnail","サムネイル以外の全サイズ"
"There are unsaved changes that will be lost. 'OK' to continue, 'Cancel' to return to the Image Editor.","未保存の変更があります。続行するには「OK」を、画像エディタに戻るには「キャンセル」をクリックしてください。"
"$image needs to be an WP_Image_Editor object","$image は WP_Image_Editor オブジェクトである必要があります"
"Use WP_Image_Editor::rotate","WP_Image_Editor::rotate を使う"
"Use WP_Image_Editor::flip","WP_Image_Editor::flip を使う"
"Cannot load image metadata.","画像のメタデータを読み込むことができません。"
"Cannot save image metadata.","画像のメタデータを保存できません。"
"Image metadata is inconsistent.","画像のメタデータが不整合です。"
"Image restored successfully.","画像の復元に成功しました。"
"Unable to create new image.","新しい画像を作成できませんでした。"
"Error while saving the scaled image. Please reload the page and try again.","拡大縮小した画像を保存する際にエラーが発生しました。ページを再読み込みしてもう一度お試しください。"
"Nothing to save, the image has not changed.","保存するものがありません。画像は変更されませんでした。"
"Unable to save the image.","画像を保存できませんでした。"
"Image saved","画像を保存しました"
"Install the Blogger importer to import posts, comments, and users from a Blogger blog.","Blogger ブログから投稿、コメント、ユーザーをインポートするためのツールをインストールします。"
"Categories and Tags Converter","カテゴリーとタグの変換ツール"
"Install the category/tag converter to convert existing categories to tags or tags to categories, selectively.","既存の選択したカテゴリーをタグに、またはタグをカテゴリーに変換するためのツールをインストールします。"
"Install the LiveJournal importer to import posts from LiveJournal using their API.","LiveJournal から API を利用して投稿をインポートするツールをインストールします。"
"Movable Type and TypePad","Movable Type と TypePad"
"Install the Movable Type importer to import posts and comments from a Movable Type or TypePad blog.","Movable Type または TypePad ブログから投稿とコメントをインポートするためのツールをインストールします。"
"Blogroll","ブログロール"
"Install the blogroll importer to import links in OPML format.","リンクを OPML フォーマットでブログロールにインポートするツールをインストールします。"
"Install the RSS importer to import posts from an RSS feed.","RSS フィードから投稿をインポートするツールをインストールします。"
"Install the Tumblr importer to import posts &amp; media from Tumblr using their API.","Tumblr から API を利用して投稿とメディアファイルをインポートするためのツールをインストールします。"
"Install the WordPress importer to import posts, pages, comments, custom fields, categories, and tags from a WordPress export file.","WordPress エクスポートファイルから投稿、ページ、コメント、カスタムフィールド、カテゴリー、タグをインポートするツールをインストールします。"
"From Computer","コンピューターから"
"From URL","URL から"
"Gallery (%s)","ギャラリー (%s)"
"Uploads","アップロード"
"File URL","ファイルの URL"
"Attachment Post URL","添付ファイル投稿 URL"
"Empty Title filled from filename.","タイトルが空のため、ファイル名を使って補完しました。"
"Location of the uploaded file.","アップロードされたファイルの場所。"
"Alt text for the image, e.g. &#8220;The Mona Lisa&#8221;","画像の代替テキスト 例:&#8220;The Mona Lisa&#8221;"
"Show","表示する"
"Hide","隠す"
"File name:","ファイル名:"
"File type:","ファイル形式:"
"Upload date:","アップロード日:"
"Dimensions:","サイズ:"
"Insert into Post","投稿に挿入"
"You are about to delete <strong>%s</strong>.","<strong>%s</strong> を削除しようとしています。"
"Continue","続ける"
"Drop files here","ここにファイルをドロップ"
"or","または"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the browser uploader for files over 100MB.","現在お使いのブラウザにはマルチファイルアップローダーで大容量のファイルをアップロードするのに限界があります。100MB を超えるファイルにはブラウザのアップローダーを使ってください。"
"Add media files from your computer","自分のコンピューターからメディアファイルを追加"
"Save all changes","すべての変更を保存"
"Insert media from another website","別のウェブサイトからメディアを挿入"
"All Tabs:","すべてのタブ:"
"Sort Order:","ソート順:"
"Ascending","昇順"
"Descending","降順"
"Link thumbnails to:","サムネイルのリンク先:"
"Image File","画像ファイル"
"Order images by:","画像の順序:"
"Menu order","メニューの順序"
"Date/Time","日付/時間"
"Order:","順序:"
"Gallery columns:","ギャラリーの列数:"
"Update gallery settings","ギャラリー設定を更新"
"Search Media","メディアを検索"
"All Types","すべてのタイプ"
"Filter &#187;","フィルター &#187;"
"Image Caption","画像のキャプション"
"Audio, Video, or Other File","音声、動画、もしくはその他のファイル"
"Link text, e.g. &#8220;Ransom Demands (PDF)&#8221;","リンクテキスト 例: &#8220;Ransom Demands (PDF)&#8221;"
"Link Image To:","画像のリンク先:"
"Link to image","画像へのリンク"
"You are using the multi-file uploader. Problems? Try the <a href=\"%s\" target=\"%s\">browser uploader</a> instead.","マルチファイルアップローダーをご利用中です。うまくいかない場合は<a href=\"%s\" target=\"%s\">ブラウザアップローダー</a>をお試しください。"
"You are using the browser&#8217;s built-in file uploader. The WordPress uploader includes multiple file selection and drag and drop capability. <a href=\"#\">Switch to the multi-file uploader</a>.","現在ブラウザー付随のアップローダーを使用しています。WordPress アップローダーは複数ファイル選択やドラッグ＆ドロップにも対応しています。<a href=\"#\">マルチファイルアップローダーもご利用ください</a>。"
"Scale images to match the large size selected in %simage options%s (%s3$d &times; %s4$d).","画像のサイズを%s1$画像サイズ設定%sで設定されている大サイズ(%s3$d &times; %s4$d) に合わせる。"
"Sorry, you have used all of your storage quota of %s MB.","%sMB のファイル保存領域の上限を超えています。"
"File URL:","ファイルの URL:"
"You do not have sufficient permissions to access this page.","このページにアクセスするための十分なアクセス権がありません。"
"Preview Changes","変更をプレビュー"
"Visibility:","公開状態:"
"Password protected","パスワード保護"
"Stick this post to the front page","この投稿を先頭に固定表示"
"Scheduled for: <b>%s</b>","公開予定日時: <b>%s</b>"
"Published on: <b>%s</b>","公開日時: <b>%s</b>"
"Publish <b>immediately</b>","<b>すぐに</b>公開する"
"Schedule for: <b>%s</b>","公開予定日時: <b>%s</b>"
"Publish on: <b>%s</b>","公開日時: <b>%s</b>"
"Uploaded on: <b>%s</b>","アップロード日時: <b>%s</b>"
"Most Used","よく使うもの"
"Excerpts are optional hand-crafted summaries of your content that can be used in your theme. <a href=\"http://codex.wordpress.org/Excerpt\" target=\"_blank\">Learn more about manual excerpts.</a>","抜粋は投稿内容から自分で作成する要約で、テーマの中で使用できます (オプション)。<a href=\"http://wpdocs.sourceforge.jp/Template_Tags/the_excerpt\" target=\"_blank\">詳しくは解説ページ</a>をご覧ください。"
"Already pinged:","送信済みトラックバック/ピンバック:"
"Send trackbacks to:","トラックバック送信先:"
"Separate multiple URLs with spaces","複数送信の場合は URL を半角スペースで区切る"
"Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. If you link other WordPress sites they&#8217;ll be notified automatically using <a href=\"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">pingbacks</a>, no other action necessary.","トラックバックはリンクしたことをリンク先に知らせる方法として、レガシーなブログシステムに対して用いられます。ほかの WordPress のサイトにリンクする場合は、リンク先<a href=\"http://wpdocs.sourceforge.jp/Introduction_to_Blogging#Managing_Comments\" target=\"_blank\">ピンバック</a>による通知を自動的に受けるので、さらにトラックバックをする必要はありません。"
"Custom fields can be used to add extra metadata to a post that you can <a href=\"http://codex.wordpress.org/Using_Custom_Fields\" target=\"_blank\">use in your theme</a>.","カスタムフィールドは投稿に特別なメタデータを追加するために使うものです。追加されたカスタムフィールドは<a href=\"http://wpdocs.sourceforge.jp/Using_Custom_Fields\" target=\"_blank\">テーマの中で利用</a>できます。"
"Allow comments.","コメントの投稿を許可する。"
"Allow <a href=\"%s\" target=\"_blank\">trackbacks and pingbacks</a> on this page.","このページで <a href=\"%s\" target=\"_blank\">トラックバックとピンバック</a>を許可する。"
"http://codex.wordpress.org/Introduction_to_Blogging#Managing_Comments","http://wpdocs.sourceforge.jp/%sE3%s83%s96%sE3%s83%sAD%sE3%s82%sB0%sE5%s85%sA5%sE9%s96%s80#.E3.82.B3.E3.83.A1.E3.83.B3.E3.83.88.E7.AE.A1.E7.90.86"
"Add comment","コメントする"
"Show comments","コメントを表示"
"(no parent)","(親なし)"
"Need help? Use the Help tab in the upper right of your screen.","ヘルプが必要ですか ? 画面の右上の「ヘルプ」タブをご利用ください。"
"Visit Link","リンクを表示"
"Keep this link private","このリンクを非公開にする"
"You are about to delete this link '%s'\n 'Cancel' to stop, 'OK' to delete.","リンク「%s」を削除しようとしています。\n中止するには「キャンセル」を、削除するには「OK」をクリックしてください。"
"+ Add New Category","+ 新規カテゴリー追加"
"New category name","新規カテゴリー名"
"<code>_blank</code> &mdash; new window or tab.","<code>_blank</code> - 新規ウインドウもしくはタブ"
"<code>_top</code> &mdash; current window or tab, with no frames.","<code>_top</code> - 閲覧中のウインドウもしくはタブ、フレームなし"
"<code>_none</code> &mdash; same window or tab.","<code>_none</code> - 同じウインドウもしくはタブ"
"Choose the target frame for your link.","ターゲットフレームを選択してください。"
"identity","本人"
"another web address of mine","自分の別のウェブアドレス"
"friendship","友情関係"
"contact","連絡先を知っている"
"acquaintance","知人"
"friend","友人"
"physical","実際的関係"
"met","面識がある"
"professional","仕事関係"
"co-worker","同僚"
"colleague","仕事仲間"
"geographical","地理的関係"
"co-resident","同居人"
"neighbor","近所"
"family","家族関係"
"child","子供"
"kin","血縁"
"parent","親"
"sibling","兄弟姉妹"
"spouse","配偶者"
"romantic","恋愛関係"
"muse","片思い"
"crush","夢中"
"date","デート中"
"sweetheart","恋人"
"If the link is to a person, you can specify your relationship with them using the above form. If you would like to learn more about the idea check out <a href=\"http://gmpg.org/xfn/\">XFN</a>.","このリンクが人に関するものなら、あなたとの関係を上のフォームで指定できます。このアイデアについてもっと知りたければ <a href=\"http://gmpg.org/xfn/\">XFN</a> を参照するとよいでしょう。"
"Image Address","画像のアドレス"
"RSS Address","RSS のアドレス"
"Notes","メモ"
"(Leave at 0 for no rating.)","(評価しない場合は 0 のまま)"
"Admin Color Scheme","管理画面の配色"
"Sorry, you must delete files before you can upload any more.","さらにアップロードするには、その前にファイルをいくつか削除してください。"
"Not enough space to upload. %s KB needed.","アップロードスペース容量が足りません。%sキロバイト必要です。"
"This file is too big. Files must be less than %s KB in size.","ファイルが大きすぎます。サイズを%sキロバイト以下にしてください。"
"You have used your space quota. Please delete files before uploading.","割り当てられているディスク容量を使い切ってしまったようです。アップロードするにはいくつかファイルを削除してください。"
"Back","戻る"
"Dear user,\n\nYou recently requested to have the administration email address on\nyour site changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","ユーザー様へ\n\n管理者のメールアドレス宛に、サイトを変更するリクエストを送信しました。\nもしこれに間違いがなければ、以下のリンクをクリックして変更を\n行ってください。\n###ADMIN_URL###\n\n変更をしない場合は、このメールを無視し、削除してかまいません。\n\nこのメールは ###EMAIL### へ送信されました。\n\nありがとうございました。\n###SITENAME### チームより\n###SITEURL### "
"[%s] New Admin Email Address","[%s] 新規管理用メールアドレス"
"<strong>ERROR</strong>: The email address is already used.","<strong>エラー</strong>: そのメールアドレスはすでに使われています。"
"Dear user,\n\nYou recently requested to have the email address on your account changed.\nIf this is correct, please click on the following link to change it:\n###ADMIN_URL###\n\nYou can safely ignore and delete this email if you do not want to\ntake this action.\n\nThis email has been sent to ###EMAIL###\n\nRegards,\nAll at ###SITENAME###\n###SITEURL###","ユーザー様へ\n\nお持ちのアカウントのメールアドレスを変更するリクエストが\n送信されました。\nもしこれに間違いがなければ、以下のリンクをクリックして変更を\n行ってください。\n###ADMIN_URL###\n\n変更をしない場合は、このメールを無視し、削除してかまいません。\n\nこのメールは ###EMAIL### へ送信されました。\n\n###SITENAME### チームより\n###SITEURL###"
"[%s] New Email Address","[%s] 新しいメールアドレス"
"Your email address has not been updated yet. Please check your inbox at %s for a confirmation email.","メールアドレスの変更はまだ完了していません。%s へ届いた確認メールをチェックしてください。"
"Sorry, you have used your space allocation. Please delete some files to upload more files.","割り当てられたスペースを使い切ってしまったようです。ファイルを追加するには既存のファイルを削除してください。"
"Used: %s%s% of %s","使用済み: %s%s% of %s"
"Site Upload Space Quota","サイトのアップロード容量割当 "
"MB (Leave blank for network default)","MB (空にするとネットワークの初期値が適用されます)"
"You attempted to access the \"%s\" dashboard, but you do not currently have privileges on this site. If you believe you should be able to access the \"%s\" dashboard, please contact your network administrator.","\"%s\" ダッシュボードへアクセスを試みていますが、現在このサイトを表示する権限がありません。もし \"%s\" ダッシュボードにアクセスできるはずだと確信しているなら、ネットワーク管理者に連絡してください。"
"If you reached this screen by accident and meant to visit one of your own sites, here are some shortcuts to help you find your way.","自分のサイトを訪問しようとしてこの画面に来てしまった場合は、以下のショートカットを使って目的地を探してください。"
"Your Sites","すべてのサイト"
"Visit Dashboard","ダッシュボードを表示"
"View Site","サイトを表示"
"American English","アメリカ英語"
"British English","イギリス英語"
"English","英語"
"Warning! WordPress encrypts user cookies, but you must add the following lines to <strong>wp-config.php</strong> for it to be more secure.","注意: WordPress ではユーザー cookie を暗号化していますが、より安全性を高めるためには <strong>wp-config.php</strong> 内に以下のコードを追加する必要があります。"
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:","<code>/* 編集が必要なのはここまでです ! WordPress でブログをお楽しみください。 */</code> という行の上に以下のコードを追加してください。"
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.","更新していただきありがとうございます ! <a href=\"%s\">ネットワークの更新</a>ページへ移動して、すべてのサイトをアップグレードしてください。"
"Primary Site","基本のサイト"
"%s (Invalid)","%s (無効)"
"%s (Pending)","%s (保留中)"
"Move up","上へ移動"
"Move down","下へ移動"
"Edit Menu Item","メニュー項目を編集"
"Navigation Label","ナビゲーションラベル"
"Title Attribute","タイトルの属性"
"CSS Classes (optional)","CSS class (オプション)"
"The description will be displayed in the menu if the current theme supports it.","使用中のテーマが対応している場合はメニューに説明が表示されます。"
"Original: %s","元の名前: %s"
"Home: %s","ホーム: %s"
"Theme Locations","テーマの場所"
"Custom Links","カスタムリンク"
"The current theme does not natively support menus, but you can use the &#8220;Custom Menu&#8221; widget to add any menus you create here to the theme&#8217;s sidebar.","現在のテーマはメニューに対応していませんが、&#8220;カスタムメニュー&#8221; ウィジェットを使い、ここで作成したメニューをテーマのサイドバーに追加できます。"
"Label","ラベル"
"Menu Item","メニュー項目"
"Add to Menu","メニューに追加"
"No items.","項目はありません。"
"Most Recent","最近"
"View All","すべて表示"
"Select menu items (pages, categories, links) from the boxes at left to begin building your custom menu.","メニュー項目 (固定ページ、カテゴリーリンク) を左のボックスから選び、カスタムメニューを作成してください。"
"The Walker class named <strong>%s</strong> does not exist.","<strong>%s</strong> という名前の Walker クラスはありません。"
"Click Save Menu to make pending menu items public.","「メニューを保存」をクリックすると、保留中のメニュー項目を公開します。"
"There are some invalid menu items. Please check or delete them.","無効なメニューアイテムがあります。確認または削除してください。"
"Show advanced menu properties","詳細メニュー設定を表示"
"Link Target","リンクターゲット"
"CSS Classes","CSS クラス"
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=\"http://wordpress.org/support/\">support forums</a>.","予期せぬエラーが発生しました。WordPress.org かこのサーバーの設定で何かがうまくいっていないようです。この問題が引き続き発生するようなら<a href=\"http://ja.forums.wordpress.org/\">フォーラム</a>で相談してみてください。"
"Plugins extend and expand the functionality of WordPress. You may automatically install plugins from the <a href=\"http://wordpress.org/extend/plugins/\">WordPress Plugin Directory</a> or upload a plugin in .zip format via <a href=\"%s\">this page</a>.","プラグインを使って WordPress の機能を拡張できます。<a href=\"http://wordpress.org/extend/plugins/\">WordPress プラグインディレクトリ</a>から自動インストールを行うか、.zip 形式のプラグインを<a href=\"%s\">こちらのページ</a>からアップロードできます。"
"Popular tags","人気のタグ"
"You may also browse based on the most popular tags in the Plugin Directory:","プラグインディレクトリで人気の高いタグからプラグインを見つけることもできます。"
"%s plugin","%s個のプラグイン"
"%s plugins","%s個のプラグイン"
"Keyword","キーワード"
"Search Plugins","プラグインの検索"
"Install a plugin in .zip format","ZIP 形式のプラグインをインストール"
"If you have a plugin in a .zip format, you may install it by uploading it here.","ZIP 形式のプラグインファイルをお持ちの場合、こちらからアップロードしてインストールできます。"
"Plugin zip file","プラグイン zip ファイル"
"If you have marked plugins as favorites on WordPress.org, you can browse them here.","WordPress.org でプラグインをお気に入り (favorite) としてマークすると、ここで一覧表示できます。"
"Your WordPress.org username:","WordPress.org ユーザー名:"
"Get Favorites","お気に入りを取得"
"Installation","インストール"
"Screenshots","スクリーンショット"
"Changelog","更新履歴"
"Other Notes","その他"
"Plugin Install","プラグインインストール"
"Install Update Now","今すぐ更新する"
"Newer Version (%s) Installed","新しいバージョン (%s) がインストールされています"
"Latest Version Installed","最新バージョンがインストールされています"
"FYI","情報"
"Author:","作成者:"
"Last Updated:","最終更新:"
"Requires WordPress Version:","WordPress の必須バージョン:"
"%s or higher","%s以上"
"Compatible up to:","対応する最新バージョン:"
"Downloaded:","ダウンロード回数:"
"WordPress.org Plugin Page &#187;","WordPress.org プラグインページ &#187;"
"Plugin Homepage &#187;","プラグインホームページ &#187;"
"Average Rating","評価の平均"
"<strong>Warning:</strong> This plugin has <strong>not been tested</strong> with your current version of WordPress.","<strong>注意:</strong> このプラグインは現在使用している WordPress のバージョンでは<strong>テストされていません</strong>。"
"<strong>Warning:</strong> This plugin has <strong>not been marked as compatible</strong> with your version of WordPress.","<strong>注意:</strong> このプラグインはお使いのバージョンの WordPress での<strong>互換性は確認されていません</strong>。"
"The <code>%s</code> plugin header is deprecated. Use <code>%s</code> instead.","<code>%s</code> プラグインのヘッダーは廃止予定です。代わりに <code>%s</code> を使ってください。"
"Visit plugin homepage","プラグインのホームページを表示"
"By %s.","投稿者: %s"
"Advanced caching plugin.","高度なキャッシュプラグイン。"
"Custom database class.","カスタムデータベースクラス。"
"Custom database error message.","データベースエラー時のカスタムメッセージ。"
"Custom install script.","カスタムなインストールスクリプト。"
"Custom maintenance message.","メンテナンス中のカスタムメッセージ。"
"External object cache.","外部オブジェクトキャッシュ。"
"Executed before Multisite is loaded.","マルチサイトが読み込まれる前に実行されます。"
"Custom site deleted message.","サイト削除時のカスタムメッセージ。"
"Custom site inactive message.","サイト停止中の際のカスタムメッセージ。"
"Custom site suspended message.","ブログ強制停止時の際のカスタムメッセージ。"
"The plugin generated unexpected output.","プラグインが予期しない出力をしました。"
"One of the plugins is invalid.","プラグインのひとつが不正です。"
"Could not fully remove the plugin(s) %s.","プラグイン %s を完全に削除できませんでした。"
"Invalid plugin path.","無効なプラグインのパスです。"
"Plugin file does not exist.","プラグインファイルが存在しません。"
"The plugin does not have a valid header.","このプラグインには有効なヘッダーがありません。"
"The \"%s\" options group has been removed. Use another settings group.","「%s」オプショングループは削除されました。他の設定グループを使ってください。"
"You are not allowed to edit pages as this user.","固定ページを編集する権限がありません。"
"You are not allowed to edit posts as this user.","投稿を編集する権限がありません。"
"You are not allowed to edit pages.","固定ページを編集する権限がありません。"
"You are not allowed to edit posts.","投稿を編集する権限がありません。"
"Auto Draft","自動下書き"
"You are not allowed to create pages on this site.","このサイトにページを作成する権限がありません。"
"You are not allowed to create posts or drafts on this site.","このサイトに投稿または下書きを作成する権限がありません。"
